Date,Open,High,Low,Close,Volume,Adj Close
0,81.62,82.13,81.6,81.91,58576,81.91
1,81.911,82.53,81.6,82.3,227375,82.3
2,82.29,82.33,81.9266,82.045,134375,82.045
3,82.04,82.04,81.43,81.6,87038,81.6
4,81.63,81.99,81.485,81.9,67437,81.9
5,81.9,82.06,81.69,81.91,84796,81.91
6,81.93,82.2,81.66,81.93,339757,81.93
7,80.95,81.4,80.71,81.34,127502,81.34
8,81.34,81.65,80.99,81.62,124138,81.62
9,81.62,81.74,81.12,81.34,112841,81.34
10,81.34,81.35,80.95,80.96,95015,80.96
11,80.92,80.94,80.22,80.375,119074,80.375
12,80.33,80.56,79.91,79.94,129533,79.94
13,79.97,80.71,79.91,80.61,372116,80.61
14,79.37,81.31,79.12,81.055,184321,81.055
15,81.02,81.11,80.21,80.89,284749,80.89
16,80.84,81.01,80.37,80.37,181753,80.37
17,80.35,80.41,79.67,79.72,137768,79.72
18,79.77,79.8,79.01,79.29,189215,79.29
19,79.33,79.93,79.2,79.66,329361,79.66
20,79.65,79.82,79.4,79.49,512538,79.49
21,80.05,80.5699,79.67,80.54,183701,80.54
22,80.49,80.53,79.92,80.32,258840,80.32
23,80.37,80.45,79.49,80.23,161855,80.23
24,80.2,80.89,80.2,80.44,85515,80.44
25,80.435,80.44,79.84,79.9,117709,79.9
26,79.93,80.12,79.8299,79.94,245629,79.94
27,79.92,80.0,78.97,79.17,356989,79.17
28,79.8,80.0,78.63,78.74,71598,78.74
29,78.74,79.17,78.55,78.62,121443,78.62
30,78.58,79.09,78.27,78.78,96082,78.78
31,78.77,78.87,78.2,78.35,108233,78.35
32,78.44,78.441,77.515,77.62,111927,77.62
33,77.66,78.09,77.5,77.81,201420,77.81
34,77.792,78.82,77.49,78.27,515207,78.27
35,78.91,79.2,78.54,78.81,176925,78.81
36,78.81,78.813,78.18,78.78,127295,78.78
37,78.78,78.78,78.1,78.52,114020,78.52
38,78.54,78.62,77.875,78.15,107561,78.15
39,78.145,78.5,77.95,78.13,105635,78.13
40,78.13,78.62,77.6,78.59,140172,78.59
41,78.57,78.94,78.42,78.66,327695,78.66
42,79.2,79.55,78.945,79.4,106238,79.4
43,79.36,79.485,78.9375,79.15,111409,79.15
44,79.15,79.27,78.26,78.4,262573,78.4
45,78.42,78.75,77.67,77.9035,133585,77.9035
46,77.9,77.94,76.88,76.91,168319,76.91
47,76.91,77.07,76.05,76.9,276963,76.9
48,76.91,77.16,76.475,76.61,457158,76.61
49,76.71,76.71,74.609,74.79,221270,74.79
50,74.74,76.47,74.48,76.09,449144,76.09
51,76.14,76.17,75.057,75.66,235848,75.66
52,75.68,75.84,75.24,75.47,218585,75.47
53,75.42,76.04,75.41,75.99,229521,75.99
54,76.01,76.51,75.9,76.51,267603,76.51
55,76.51,76.96,76.34,76.53,408826,76.53
56,74.36,75.23,74.0,74.1,262722,74.1
57,74.0685,74.68,73.91,74.0,285445,74.0
58,73.97,74.06,73.44,73.52,177846,73.52
59,73.53,73.55,72.74,73.27,155174,73.27
60,73.23,73.62,73.08,73.49,149229,73.49
61,73.49,73.82,73.0101,73.69,192384,73.69
62,73.7,73.86,73.13,73.6,305521,73.6
63,73.93,74.5,73.09,73.5,115165,73.5
64,73.49,73.79,73.32,73.376,211013,73.376
65,73.38,73.63,72.99,73.34,424364,73.34
66,73.34,73.44,72.62,72.8,155674,72.8
67,72.84,73.02,72.3,72.37,140245,72.37
68,72.36,72.41,70.89,71.04,373579,71.04
69,71.01,71.99,70.94,71.6,637787,71.6
70,70.51,70.8786,70.19,70.25,140275,70.25
71,70.27,70.42,69.19,69.26,187259,69.26
72,69.23,69.93,69.05,69.12,252074,69.12
73,69.15,69.22,68.22,69.1254,249806,69.1254
74,69.12,70.21,68.82,69.98,251272,69.98
75,69.96,70.18,69.5,69.9,335750,69.9
76,69.88,71.28,69.78,70.48,627356,70.48
77,70.39,70.8,69.78,70.004,84113,70.004
78,69.99,71.145,69.99,70.555,176915,70.555
79,70.56,70.8,70.15,70.57,165187,70.57
80,70.63,70.98,70.62,70.72,99276,70.72
81,70.77,71.13,70.4,70.61,70217,70.61
82,70.65,70.77,69.99,70.63,152155,70.63
83,70.58,70.76,70.19,70.3,231703,70.3
84,71.33,72.29,71.29,72.22,135798,72.22
85,72.25,72.39,71.52,71.56,126915,71.56
86,71.57,72.0299,71.48,71.88,97177,71.88
87,71.9,72.49,71.89,72.49,252211,72.49
88,72.49,72.82,72.31,72.73,160431,72.73
89,72.71,72.81,72.25,72.47,185078,72.47
90,72.47,72.53,72.04,72.45,274538,72.45
91,72.27,72.76,72.1,72.3,88237,72.3
92,72.25,72.6,72.1,72.23,203806,72.23
93,72.21,72.31,71.826,72.17,134339,72.17
94,72.13,72.2783,71.97,72.275,78014,72.275
95,72.28,72.71,72.11,72.21,144641,72.21
96,72.17,72.44,72.1,72.24,111422,72.24
97,72.25,72.34,71.53,71.75,564038,71.75
98,70.75,71.27,69.94,71.15,204914,71.15
99,71.17,71.63,70.95,71.1,235060,71.1
100,71.1,71.4,70.92,70.94,144125,70.94
101,70.94,71.6,70.94,71.3,205828,71.3
102,71.27,71.41,70.86,70.97,487132,70.97
103,70.985,71.09,70.804,70.875,150332,70.875
104,70.84,71.0,70.67,70.96,293018,70.96
105,70.39,71.02,70.0,70.49,89800,70.49
106,70.41,70.41,69.63,69.97,259415,69.97
107,69.99,70.22,69.8693,70.11,222062,70.11
108,70.14,70.22,69.8504,69.94,195771,69.94
109,69.93,69.96,69.33,69.45,152777,69.45
110,69.44,69.59,68.16,68.32,519539,68.32
111,68.35,68.38,67.53,67.99,749935,67.99
112,68.34,69.04,67.17,67.32,163205,67.32
113,67.36,67.44,66.4547,67.14,284066,67.14
114,67.1,67.42,66.79,66.83,206472,66.83
115,66.82,67.55,66.82,67.23,221953,67.23
116,67.23,67.26,66.65,67.01,199598,67.01
117,67.0,67.36,66.99,67.13,202038,67.13
118,67.11,67.51,66.97,67.38,477384,67.38
119,68.42,69.152,68.19,69.15,160334,69.15
120,69.09,69.44,68.67,68.97,216759,68.97
121,68.97,69.67,68.97,69.58,140451,69.58
122,69.61,69.97,69.53,69.62,119044,69.62
123,69.65,69.732,69.44,69.71,88716,69.71
124,69.69,69.97,69.57,69.75,124052,69.75
125,69.79,70.075,69.74,70.01,480546,70.01
126,69.38,69.975,68.56,69.95,98275,69.95
127,69.88,70.19,69.43,70.1,178252,70.1
128,70.08,70.47,69.99,70.36,198125,70.36
129,70.03,70.29,69.98,70.22,31896,70.22
130,70.23,70.55,70.13,70.49,84929,70.49
131,70.45,70.789,70.17,70.73,109833,70.73
132,70.72,70.89,70.41,70.43,291847,70.43
133,69.86,69.86,69.12,69.43,61203,69.43
134,69.42,69.78,68.99,68.99,129204,68.99
135,69.01,69.57,68.85,68.92,129025,68.92
136,68.935,69.12,68.5,68.9,80272,68.9
137,68.87,68.91,68.38,68.42,111946,68.42
138,68.425,68.5606,67.91,67.95,152293,67.95
139,67.94,67.98,67.58,67.82,581288,67.82
140,68.45,68.87,67.115,67.57,163457,67.57
141,67.52,67.55,66.21,67.24,324461,67.24
142,67.25,67.75,66.51,67.43,120929,67.43
143,67.43,67.66,66.77,67.14,142414,67.14
144,67.13,67.25,66.35,66.35,169361,66.35
145,66.38,67.7,66.37,67.63,199448,67.63
146,67.64,67.89,67.32,67.69,247253,67.69
147,68.06,69.0,68.06,68.58,134030,68.58
148,68.515,69.8,68.36,69.61,211531,69.61
149,69.61,69.61,68.06,68.16,127415,68.16
150,68.16,68.68,68.07,68.43,65024,68.43
151,68.43,68.8,68.09,68.16,131302,68.16
152,68.12,68.48,67.99,68.46,161823,68.46
153,68.47,68.71,68.1,68.6,365748,68.6
154,67.55,67.58,65.955,66.25,174321,66.25
155,66.2,66.76,65.14,65.2,305446,65.2
156,65.2,65.28,63.964,64.31,352096,64.31
157,64.31,64.81,64.1,64.31,291297,64.31
158,64.28,64.36,63.15,63.4499,285755,63.4499
159,63.37,63.53,62.974,63.12,363808,63.12
160,63.12,63.54,62.91,63.14,850898,63.14
161,61.97,62.5,61.1,62.07,250659,62.07
162,62.01,62.19,61.33,61.41,389935,61.41
163,61.46,61.54,60.4,61.03,556125,61.03
164,61.02,61.35,60.53,60.53,278581,60.53
165,60.53,60.59,59.69,59.8025,270617,59.8025
166,59.79,60.03,59.59,59.68,322950,59.68
167,59.67,61.11,59.63,60.96,691494,60.96
168,60.42,62.87,60.03,62.43,165809,62.43
169,62.33,62.77,61.71,61.85,291987,61.85
