Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,69.81,70.51,69.8,70.5,64149,69.81
2015-09-14 11:30:00,69.665,69.94,69.665,69.78,66320,69.665
2015-09-14 12:30:00,69.46,69.61,69.305,69.59,57009,69.46
2015-09-14 13:30:00,69.23,69.48,69.2,69.44,48885,69.23
2015-09-14 14:30:00,69.63,69.78,69.23,69.23,70599,69.63
2015-09-14 15:30:00,69.78,69.81,69.585,69.63,72496,69.78
2015-09-14 16:00:00,69.78,69.835,69.585,69.78,66259,69.78
2015-09-15 10:30:00,70.15,70.205,69.63,69.96,56801,70.15
2015-09-15 11:30:00,70.72,70.755,70.15,70.2,35874,70.72
2015-09-15 12:30:00,70.94,71.01,70.65,70.75,37619,70.94
2015-09-15 13:30:00,71.3,71.3,70.83,70.95,53041,71.3
2015-09-15 14:30:00,71.46,71.5,71.23,71.3,90478,71.46
2015-09-15 15:30:00,71.91,71.99,71.49,71.49,141853,71.91
2015-09-15 16:00:00,71.76,71.925,71.74,71.86,144661,71.76
2015-09-16 10:30:00,71.09,71.7859,70.79,71.67,54920,71.09
2015-09-16 11:30:00,71.32,71.37,70.92,71.11,29514,71.32
2015-09-16 12:30:00,70.9,71.305,70.8375,71.305,37545,70.9
2015-09-16 13:30:00,71.14,71.22,70.88,70.94,87483,71.14
2015-09-16 14:30:00,70.77,71.14,70.7186,71.12,49259,70.77
2015-09-16 15:30:00,70.95,71.04,70.73,70.75,54934,70.95
2015-09-16 16:00:00,70.97,71.065,70.935,70.96,77726,70.97
2015-09-17 10:30:00,71.34,71.59,70.98,70.99,58952,71.34
2015-09-17 11:30:00,71.115,71.4,71.115,71.29,44580,71.115
2015-09-17 12:30:00,71.11,71.17,70.92,71.06,30837,71.11
2015-09-17 13:30:00,71.17,71.23,70.91,71.11,30495,71.17
2015-09-17 14:30:00,71.1,71.4,70.67,71.18,40640,71.1
2015-09-17 15:30:00,71.48,72.255,71.17,71.17,139094,71.48
2015-09-17 16:00:00,71.37,71.71,71.2,71.47,119401,71.37
2015-09-18 10:30:00,70.89,71.76,70.61,70.72,166316,70.89
2015-09-18 11:30:00,70.8625,71.0,70.61,70.91,60654,70.8625
2015-09-18 12:30:00,70.35,71.23,70.23,70.8,88667,70.35
2015-09-18 13:30:00,70.1699,70.52,70.03,70.315,78261,70.1699
2015-09-18 14:30:00,70.93,70.98,70.07,70.18,95667,70.93
2015-09-18 15:30:00,71.03,71.29,70.885,70.98,84905,71.03
2015-09-18 16:00:00,71.07,71.16,70.8,71.03,158025,71.07
2015-09-21 10:30:00,72.45,72.45,71.595,71.76,214824,72.45
2015-09-21 11:30:00,72.45,72.9,72.45,72.66,109282,72.45
2015-09-21 12:30:00,72.1128,72.46,71.94,72.46,95142,72.1128
2015-09-21 13:30:00,72.61,72.665,71.8,72.15,157044,72.61
2015-09-21 14:30:00,72.59,73.04,72.425,72.6,192876,72.59
2015-09-21 15:30:00,72.7499,73.135,72.55,72.57,154441,72.7499
2015-09-21 16:00:00,72.71,72.87,72.436,72.795,246450,72.71
2015-09-22 10:30:00,71.31,72.93,70.832,71.75,592930,71.31
2015-09-22 11:30:00,70.995,71.28,70.485,71.18,432816,70.995
2015-09-22 12:30:00,71.9,71.92,70.995,71.11,220306,71.9
2015-09-22 13:30:00,71.73,71.92,71.45,71.92,163708,71.73
2015-09-22 14:30:00,71.86,71.9,71.42,71.7,175434,71.86
2015-09-22 15:30:00,72.7,72.7,71.63,71.83,174751,72.7
2015-09-22 16:00:00,72.71,72.94,72.53,72.72,232452,72.71
2015-09-23 10:30:00,73.2103,73.39,72.4,72.92,129674,73.2103
2015-09-23 11:30:00,73.175,73.7,73.135,73.2175,104936,73.175
2015-09-23 12:30:00,73.05,73.12,72.62,73.12,83109,73.05
2015-09-23 13:30:00,73.11,73.32,72.99,72.99,90930,73.11
2015-09-23 14:30:00,73.51,73.57,73.08,73.13,81275,73.51
2015-09-23 15:30:00,73.2,73.58,73.11,73.5303,77511,73.2
2015-09-23 16:00:00,73.26,73.33,73.13,73.21,108669,73.26
