Date,Open,High,Low,Close,Volume,Adj Close
0,121.07,121.07,121.07,121.07,24002,121.07
1,120.81,121.79,120.52,121.09,74495,121.09
2,120.38,121.31,120.32,120.94,53190,120.94
3,120.66,121.02,120.41,120.41,61839,120.41
4,120.845,120.95,120.64,120.69,39471,120.69
5,120.92,121.06,120.74,120.82,26851,120.82
6,120.56,120.97,120.56,120.89,25154,120.89
7,120.01,120.66,119.93,120.51,29661,120.51
8,120.47,120.56,119.71,119.9801,31443,119.9801
9,120.93,120.97,120.4289,120.52,16693,120.52
10,120.7,121.09,120.63,120.92,25539,120.92
11,120.801,120.81,120.51,120.63,45176,120.63
12,120.72,120.78,120.41,120.78,36352,120.78
13,120.22,120.83,120.2,120.72,35210,120.72
14,120.105,120.26,119.96,120.21,44058,120.21
15,119.9,120.16,119.84,120.1,29490,120.1
16,119.83,120.2,119.81,119.89,41161,119.89
17,119.915,120.19,119.83,119.83,40098,119.83
18,120.005,120.09,119.84,119.88,39091,119.88
19,119.88,120.13,119.87,120.005,57837,120.005
20,119.85,119.9301,119.56,119.84,73331,119.84
21,119.4,119.85,119.4,119.85,61105,119.85
22,119.71,119.83,119.316,119.39,91515,119.39
23,119.88,119.95,119.57,119.69,33617,119.69
24,120.4,120.46,119.77,119.87,43731,119.87
25,120.75,120.8,120.31,120.44,55515,120.44
26,120.94,121.3,120.61,120.77,354661,120.77
27,119.93,119.93,119.93,119.93,21529,119.93
28,119.5,120.6099,119.37,119.82,71227,119.82
29,119.055,119.95,118.83,119.6,57186,119.6
30,119.2,119.3,118.84,119.01,56677,119.01
31,118.81,119.29,118.711,119.17,27549,119.17
32,118.25,118.85,118.14,118.79,50368,118.79
33,117.64,118.32,117.57,118.32,54106,118.32
34,117.84,117.91,117.58,117.58,34667,117.58
35,117.71,117.977,117.62,117.86,33711,117.86
36,117.58,117.99,117.58,117.74,58456,117.74
37,116.9668,117.66,116.92,117.62,72663,117.62
38,116.42,117.01,116.35,116.92,120767,116.92
39,115.76,116.47,115.73,116.41,101676,116.41
40,116.03,116.285,115.75,115.775,79397,115.775
41,117.045,117.07,115.92,116.0,72966,116.0
42,117.46,117.59,116.98,117.0201,70283,117.0201
43,117.445,117.53,117.0301,117.42,41324,117.42
44,118.215,118.215,117.47,117.47,35318,117.47
45,118.04,118.36,117.99,118.245,50971,118.245
46,118.04,118.1799,117.77,118.09,66535,118.09
47,117.56,118.225,117.55,118.03,82903,118.03
48,117.65,117.94,117.41,117.56,39455,117.56
49,117.85,118.31,117.529,117.63,46349,117.63
50,118.09,118.35,117.72,117.92,58553,117.92
51,119.185,119.275,118.15,118.15,69792,118.15
52,118.86,119.355,118.725,119.25,68903,119.25
53,118.43,118.96,118.32,118.84,125730,118.84
54,119.095,119.095,118.89,118.89,19237,118.89
55,117.99,119.1,117.82,119.06,41115,119.06
56,117.086,118.0899,117.03,117.99,54365,117.99
57,117.63,117.89,117.02,117.085,81657,117.085
58,117.975,118.29,117.63,117.63,57765,117.63
59,117.91,118.43,117.8,117.975,54296,117.975
60,117.32,118.22,117.28,117.9199,58497,117.9199
