Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,47.48,47.885,47.08,47.82,87100,47.48
2015-09-14 11:30:00,48.03,48.5795,47.4625,47.51,109610,48.03
2015-09-14 12:30:00,48.35,48.35,47.65,47.79,51515,48.35
2015-09-14 13:30:00,48.43,48.64,48.31,48.37,49440,48.43
2015-09-14 14:30:00,48.1601,48.48,48.08,48.44,30934,48.1601
2015-09-14 15:30:00,48.335,48.37,48.07,48.16,41791,48.335
2015-09-14 16:00:00,48.11,48.26,48.0,48.26,49620,48.11
2015-09-15 10:30:00,48.7,48.86,47.91,48.18,91075,48.7
2015-09-15 11:30:00,48.48,48.98,48.3801,48.7999,64189,48.48
2015-09-15 12:30:00,48.95,49.105,48.36,48.51,84669,48.95
2015-09-15 13:30:00,48.956,48.99,48.6606,48.955,36492,48.956
2015-09-15 14:30:00,49.35,49.35,48.95,48.9799,73240,49.35
2015-09-15 15:30:00,49.18,49.36,49.14,49.36,81501,49.18
2015-09-15 16:00:00,48.97,49.19,48.89,49.14,74900,48.97
2015-09-16 10:30:00,49.185,49.33,48.485,48.86,118689,49.185
2015-09-16 11:30:00,49.3814,49.98,49.06,49.06,119482,49.3814
2015-09-16 12:30:00,48.974,49.4,48.8,49.4,71942,48.974
2015-09-16 13:30:00,48.92,49.271,48.78,48.96,48560,48.92
2015-09-16 14:30:00,48.47,48.91,48.3,48.82,71596,48.47
2015-09-16 15:30:00,48.425,48.57,48.06,48.41,121825,48.425
2015-09-16 16:00:00,48.2,48.43,48.15,48.29,121094,48.2
2015-09-17 10:30:00,47.878,48.5862,47.58,48.0,108885,47.878
2015-09-17 11:30:00,48.215,48.56,47.72,47.85,47305,48.215
2015-09-17 12:30:00,48.62,48.66,48.18,48.22,85063,48.62
2015-09-17 13:30:00,48.81,49.0,48.495,48.535,87427,48.81
2015-09-17 14:30:00,48.7498,49.165,48.5516,48.9,75729,48.7498
2015-09-17 15:30:00,48.73,49.62,48.48,48.86,106022,48.73
2015-09-17 16:00:00,48.5,48.84,48.44,48.66,81853,48.5
2015-09-18 10:30:00,48.62,48.9046,47.904,48.14,108136,48.62
2015-09-18 11:30:00,48.3965,48.91,48.3321,48.665,66694,48.3965
2015-09-18 12:30:00,48.23,48.84,48.23,48.45,69767,48.23
2015-09-18 13:30:00,48.17,48.52,47.96,48.35,64173,48.17
2015-09-18 14:30:00,48.04,48.41,47.984,48.17,43630,48.04
2015-09-18 15:30:00,48.04,48.33,47.93,48.055,89193,48.04
2015-09-18 16:00:00,48.08,48.08,47.99,47.99,164284,48.08
2015-09-21 10:30:00,48.58,48.82,48.1,48.43,113026,48.58
2015-09-21 11:30:00,48.42,48.83,48.33,48.68,79182,48.42
2015-09-21 12:30:00,48.37,48.43,48.128,48.39,27693,48.37
2015-09-21 13:30:00,48.27,48.38,48.0,48.38,40800,48.27
2015-09-21 14:30:00,47.56,48.34,47.49,48.34,70802,47.56
2015-09-21 15:30:00,48.02,48.08,47.54,47.54,50195,48.02
2015-09-21 16:00:00,47.89,47.99,47.78,47.93,68553,47.89
2015-09-22 10:30:00,47.5999,47.8,46.83,47.25,115552,47.5999
2015-09-22 11:30:00,47.15,47.56,47.02,47.48,50384,47.15
2015-09-22 12:30:00,47.145,47.319,47.05,47.22,52048,47.145
2015-09-22 13:30:00,46.68,47.226,46.63,47.145,94542,46.68
2015-09-22 14:30:00,47.05,47.05,46.6891,46.6891,32930,47.05
2015-09-22 15:30:00,47.24,47.25,46.92,47.03,21686,47.24
2015-09-22 16:00:00,47.4,47.46,47.12,47.21,134083,47.4
2015-09-23 10:30:00,47.79,47.79,46.96,47.44,88540,47.79
2015-09-23 11:30:00,47.13,47.86,47.115,47.85,41119,47.13
2015-09-23 12:30:00,46.61,47.19,46.45,47.19,651899,46.61
2015-09-23 13:30:00,46.2756,46.62,46.193,46.547,89516,46.2756
2015-09-23 14:30:00,45.22,46.42,45.22,46.25,108718,45.22
2015-09-23 15:30:00,44.1,45.2575,43.91,45.2575,285954,44.1
2015-09-23 16:00:00,43.78,44.1953,43.7001,44.1953,219517,43.78
2015-09-24 10:30:00,42.35,44.12,42.35,43.15,472028,42.35
2015-09-24 11:30:00,41.48,42.48,41.4101,42.4,224081,41.48
2015-09-24 12:30:00,41.71,41.8004,40.99,41.8004,358169,41.71
2015-09-24 13:30:00,41.96,42.18,41.7099,41.84,353521,41.96
2015-09-24 14:30:00,42.7449,42.7449,41.871,41.97,180500,42.7449
2015-09-24 15:30:00,43.08,43.6474,42.721,42.79,206890,43.08
2015-09-24 16:00:00,43.01,43.1392,42.74,43.08,170340,43.01
2015-09-25 10:30:00,42.1,43.8499,42.031,43.8499,356216,42.1
2015-09-25 11:30:00,42.01,42.174,41.8308,42.174,155785,42.01
2015-09-25 12:30:00,41.716,42.24,41.51,42.12,350569,41.716
2015-09-25 13:30:00,42.25,42.452,41.55,41.6401,195099,42.25
2015-09-25 14:30:00,42.05,42.3499,42.01,42.16,60011,42.05
2015-09-25 15:30:00,41.11,42.06,41.02,41.99,151814,41.11
2015-09-25 16:00:00,41.33,41.3799,41.12,41.2185,195975,41.33
2015-09-28 10:30:00,40.38,41.12,40.19,41.09,77724,40.38
2015-09-28 11:30:00,40.25,40.56,40.03,40.41,56203,40.25
2015-09-28 12:30:00,40.22,40.42,40.1,40.28,49398,40.22
2015-09-28 13:30:00,40.11,40.3,40.01,40.27,40841,40.11
2015-09-28 14:30:00,39.81,41.088,39.61,40.05,74595,39.81
2015-09-28 15:30:00,39.69,40.22,39.65,39.8,38839,39.69
2015-09-28 16:00:00,40.44,40.44,39.69,39.69,133307,40.44
2015-09-29 10:30:00,41.98,42.19,40.43,40.56,94334,41.98
2015-09-29 11:30:00,41.33,42.2,41.06,42.09,42072,41.33
2015-09-29 12:30:00,41.01,41.35,40.67,41.25,22551,41.01
