Date,Open,High,Low,Close,Volume,Adj Close
0,46.4,46.4,46.4,46.4,5665,46.4
1,46.4354,46.85,45.95,46.4,14707,46.4
2,46.36,46.96,46.03,46.86,27466,46.86
3,46.93,46.94,46.39,46.67,14171,46.67
4,46.72,46.72,46.05,46.075,6455,46.075
5,46.18,46.37,46.02,46.15,7833,46.15
6,46.12,46.12,45.53,45.62,10257,45.62
7,45.63,45.7,45.29,45.41,26967,45.41
8,45.37,45.67,45.33,45.48,11162,45.48
9,45.42,45.42,45.0,45.045,24390,45.045
10,45.03,45.34,44.86,45.15,21323,45.15
11,45.18,45.18,44.92,45.13,8100,45.13
12,45.06,45.25,45.0,45.24,17585,45.24
13,45.23,45.25,45.1,45.15,4900,45.15
14,45.1,45.23,45.07,45.2,4686,45.2
15,45.22,45.22,45.01,45.16,2500,45.16
16,45.19,45.34,45.18,45.21,10160,45.21
17,45.19,45.27,45.17,45.2,3600,45.2
18,45.158,45.53,45.158,45.53,41471,45.53
19,45.48,45.67,45.44,45.65,32611,45.65
20,45.64,45.75,45.51,45.7,7317,45.7
21,45.7,45.7,45.41,45.42,3320,45.42
22,45.47,45.47,45.31,45.37,4305,45.37
23,45.43,45.5,45.3,45.31,16434,45.31
24,45.31,45.32,45.22,45.31,10188,45.31
25,45.285,45.42,45.21,45.37,12500,45.37
26,45.38,45.55,45.33,45.5,31316,45.5
27,45.37,45.37,45.37,45.37,4389,45.37
28,45.5,45.5522,45.07,45.11,8900,45.11
29,45.21,45.26,44.91,45.18,10600,45.18
30,45.33,45.61,45.33,45.35,4174,45.35
31,45.44,45.49,45.34,45.38,1700,45.38
32,45.47,45.5,45.33,45.4,1500,45.4
33,45.42,45.6,45.35,45.44,7605,45.44
34,45.41,45.44,45.31,45.36,1700,45.36
35,45.42,45.42,45.2,45.4,37985,45.4
36,45.36,45.38,45.24,45.24,1500,45.24
37,45.22,45.375,45.11,45.31,3332,45.31
38,45.32,45.485,45.22,45.485,1200,45.485
39,45.47,45.47,45.42,45.42,1080,45.42
40,45.4,45.53,45.4,45.42,4300,45.42
41,45.51,45.53,45.45,45.45,1296,45.45
42,45.55,45.63,45.5,45.62,3045,45.62
43,45.74,45.74,45.57,45.63,3000,45.63
44,45.61,45.72,45.55,45.715,1650,45.715
45,45.58,45.58,45.4101,45.4101,1489,45.4101
46,45.44,45.58,45.36,45.47,2710,45.47
47,45.56,45.56,45.3005,45.45,9914,45.45
48,45.45,45.63,45.4,45.59,11021,45.59
49,45.59,45.67,45.5,45.63,8300,45.63
50,45.65,45.75,45.46,45.46,7280,45.46
51,45.475,45.55,45.42,45.49,6586,45.49
52,45.36,45.52,45.34,45.48,8794,45.48
53,45.5,45.53,45.29,45.4,20804,45.4
54,45.47,45.47,45.47,45.47,2705,45.47
55,45.26,45.26,44.08,44.42,19195,44.42
56,44.46,44.46,43.9,43.95,24303,43.95
57,44.0,44.61,43.95,44.39,24816,44.39
58,44.4006,44.46,44.07,44.08,14267,44.08
59,44.18,44.42,44.15,44.4,4207,44.4
60,44.23,44.23,44.05,44.1,5448,44.1
61,44.2464,44.57,44.2464,44.52,7409,44.52
62,44.52,44.98,44.52,44.98,18902,44.98
63,44.95,44.95,44.8,44.87,6200,44.87
64,44.89,44.96,44.85,44.85,2098,44.85
65,44.92,45.34,44.92,45.1701,13794,45.1701
66,45.22,45.26,45.06,45.25,6384,45.25
67,45.26,45.34,45.25,45.25,1600,45.25
68,45.34,45.36,45.27,45.29,4300,45.29
69,45.32,45.39,45.28,45.35,3900,45.35
70,45.34,45.62,45.32,45.46,7770,45.46
71,45.37,45.43,45.3,45.43,3500,45.43
72,45.41,45.52,45.41,45.45,2840,45.45
73,45.45,45.49,45.26,45.27,3900,45.27
74,45.24,45.31,45.19,45.19,3200,45.19
75,45.15,45.52,45.13,45.47,12801,45.47
76,45.53,45.65,45.4,45.46,21836,45.46
77,45.44,45.64,45.44,45.62,7129,45.62
78,45.63,45.66,45.48,45.6,15039,45.6
79,45.62,45.89,45.53,45.89,26798,45.89
80,45.89,45.89,45.65,45.75,48902,45.75
81,45.35,45.35,45.35,45.35,5899,45.35
82,45.34,45.6,45.14,45.3,18771,45.3
83,45.4,45.57,45.26,45.26,3000,45.26
84,45.23,45.25,45.12,45.17,1954,45.17
85,45.07,45.42,45.05,45.42,11627,45.42
86,45.41,45.52,45.18,45.48,20939,45.48
87,45.53,45.53,45.4,45.42,13681,45.42
88,45.42,45.565,45.334,45.42,27823,45.42
89,45.4,45.51,45.38,45.41,5811,45.41
90,45.42,45.57,45.395,45.52,6623,45.52
91,45.51,45.66,45.49,45.49,20824,45.49
92,45.55,45.57,45.345,45.47,3000,45.47
93,45.55,45.55,45.39,45.4,4220,45.4
94,45.4,45.53,45.36,45.4,3500,45.4
95,45.44,45.46,45.33,45.33,1851,45.33
96,45.33,45.42,45.28,45.35,1900,45.35
97,45.29,45.29,45.09,45.09,4665,45.09
98,45.05,45.11,44.98,44.98,3263,44.98
99,44.95,45.18,44.95,45.18,2809,45.18
100,45.18,45.34,44.86,45.0,13675,45.0
101,44.94,45.13,44.93,44.96,36044,44.96
102,44.93,44.93,44.55,44.77,14400,44.77
103,44.76,44.85,44.585,44.69,16999,44.69
104,44.66,44.66,44.43,44.43,16343,44.43
105,44.48,44.69,44.45,44.6,23002,44.6
106,44.62,44.65,44.46,44.57,39450,44.57
107,44.57,44.64,44.342,44.59,118881,44.59
108,45.87,45.87,45.87,45.87,8311,45.87
109,45.71,46.198,45.06,45.13,24932,45.13
110,45.05,45.06,44.63,44.78,12447,44.78
111,44.75,44.75,44.0,44.0,18654,44.0
112,44.08,44.56,44.08,44.21,29537,44.21
113,44.23,44.47,44.01,44.4,25809,44.4
114,44.47,44.47,43.98,44.14,20820,44.14
115,44.22,44.39,44.06,44.35,9825,44.35
116,44.27,44.29,44.09,44.09,5110,44.09
117,44.02,44.02,43.6701,43.77,9570,43.77
118,43.7578,43.7578,43.53,43.53,11177,43.53
119,43.56,43.75,43.51,43.73,7700,43.73
120,43.7,43.82,43.55,43.72,9625,43.72
121,43.75,43.86,43.74,43.8,10000,43.8
122,43.8,43.83,43.6,43.68,3900,43.68
123,43.675,43.82,43.53,43.82,22936,43.82
124,43.82,43.82,43.54,43.68,8300,43.68
125,43.71,43.81,43.54,43.6899,4920,43.6899
126,43.69,43.69,43.48,43.58,15273,43.58
127,43.57,43.765,43.57,43.71,25624,43.71
128,43.67,43.7,43.51,43.69,5700,43.69
129,43.73,43.88,43.6,43.66,7600,43.66
130,43.61,43.73,43.51,43.535,6138,43.535
131,43.5999,43.94,43.5999,43.84,8500,43.84
132,43.85,43.87,43.63,43.7848,19428,43.7848
133,43.8,43.94,43.64,43.64,10456,43.64
134,43.655,43.81,43.57,43.71,92782,43.71
135,43.96,43.96,43.96,43.96,5619,43.96
