Date,Open,High,Low,Close,Volume,Adj Close
0,94.26,94.26,94.26,94.26,5477,94.26
1,94.4461,95.24,93.36,95.24,44250,95.24
2,95.29,96.04,94.9,95.05,111519,95.05
3,94.95,95.38,94.89,95.095,56337,95.095
4,95.0,95.12,94.64,94.64,56465,94.64
5,94.76,94.8,94.32,94.69,25959,94.69
6,94.54,94.74,94.42,94.526,39971,94.526
7,94.505,95.24,94.49,95.14,41768,95.14
8,95.11,95.15,94.76,94.98,48530,94.98
9,94.98,95.06,94.68,94.7225,74621,94.7225
10,94.66,94.8,93.91,94.0,39915,94.0
11,93.93,94.32,93.89,94.28,23256,94.28
12,94.25,94.37,93.6001,93.627,22162,93.627
13,93.7,94.18,93.68,93.83,11286,93.83
14,93.835,94.53,93.775,94.31,18838,94.31
15,94.3,94.7398,94.01,94.01,19520,94.01
16,94.045,94.15,93.83,94.0,32611,94.0
17,94.1179,94.465,93.95,94.46,43834,94.46
18,94.455,95.046,94.31,94.65,16838,94.65
19,94.66,95.07,94.19,94.69,20843,94.69
20,94.76,95.22,94.5,95.1,16407,95.1
21,95.06,95.36,94.42,95.05,18457,95.05
22,94.94,96.0,94.92,95.88,28575,95.88
23,95.81,96.155,95.37,96.11,52755,96.11
24,96.11,96.95,96.05,96.85,66035,96.85
25,96.83,96.96,95.82,95.9025,80625,95.9025
26,95.82,95.93,95.17,95.67,260980,95.67
27,96.11,96.11,96.11,96.11,2749,96.11
28,93.85,96.9,93.85,95.84,36295,95.84
29,95.69,95.99,95.35,95.578,7382,95.578
30,95.4901,96.18,95.36,96.09,6535,96.09
31,96.12,96.57,95.99,96.57,6472,96.57
32,96.42,97.1601,96.35,96.85,14219,96.85
33,96.85,97.31,96.01,96.07,20480,96.07
34,95.98,96.6899,95.905,96.45,13291,96.45
35,96.21,96.52,95.905,95.93,9943,95.93
36,96.09,96.4,95.79,95.84,23184,95.84
37,95.93,97.46,95.93,97.25,25117,97.25
38,97.23,97.8,97.0,97.02,16530,97.02
39,97.05,97.37,96.52,96.83,16584,96.83
40,96.905,97.175,96.48,96.78,12541,96.78
41,96.805,96.83,96.33,96.54,14168,96.54
42,96.695,97.28,96.52,96.52,13966,96.52
43,96.425,96.755,96.07,96.25,11146,96.25
44,96.15,96.44,95.715,96.02,15932,96.02
45,96.0,96.39,95.83,95.99,34488,95.99
46,96.14,96.24,95.44,95.47,45115,95.47
47,95.53,95.82,95.43,95.805,35517,95.805
48,95.82,95.995,95.61,95.77,34134,95.77
49,95.77,95.834,95.065,95.75,25237,95.75
50,95.73,95.87,95.38,95.83,61305,95.83
51,95.6525,95.86,95.5001,95.82,38479,95.82
52,95.7,96.01,95.647,95.9,34945,95.9
53,95.97,96.84,95.58,95.66,250928,95.66
54,105.9,105.9,105.9,105.9,14585,105.9
55,106.63,115.42,102.43,107.94,240543,107.94
56,107.71,107.91,105.62,106.73,61094,106.73
57,106.74,108.0,106.67,107.99,125329,107.99
58,108.0,109.33,107.07,108.5,77157,108.5
59,108.66,109.05,107.89,108.8,42202,108.8
60,108.78,109.0,108.035,108.135,54006,108.135
61,108.24,108.35,106.99,107.96,41731,107.96
62,107.965,108.66,107.8,108.27,26533,108.27
63,108.19,108.46,107.7315,107.75,24706,107.75
64,107.835,107.98,105.9,105.9,46217,105.9
65,105.85,106.25,105.07,106.25,30646,106.25
