Date,Close,High,Low,Open,Volume,Adj Close
2015-11-18 10:30:00,127.61,128.8,127.5,128.8,36250,127.61
2015-11-18 11:30:00,128.98,128.98,127.5,127.903,23459,128.98
2015-11-18 12:30:00,129.28,129.44,128.68,128.68,28206,129.28
2015-11-18 13:30:00,129.53,129.71,129.04,129.35,36631,129.53
2015-11-18 14:30:00,129.35,130.02,128.83,129.67,37680,129.35
2015-11-18 15:30:00,129.86,130.12,129.14,129.14,49071,129.86
2015-11-18 16:00:00,130.07,130.23,129.86,129.86,65098,130.07
2015-11-19 10:30:00,128.11,129.72,128.11,129.21,21705,128.11
2015-11-19 11:30:00,129.062,129.062,127.85,128.2,46817,129.062
2015-11-19 12:30:00,128.07,129.07,127.9,129.0,70313,128.07
2015-11-19 13:30:00,128.48,128.975,128.09,128.09,53432,128.48
2015-11-19 14:30:00,127.46,128.53,127.46,128.33,60776,127.46
2015-11-19 15:30:00,127.8,127.9,127.29,127.65,50633,127.8
2015-11-19 16:00:00,127.73,128.019,127.73,127.875,119381,127.73
2015-11-20 10:30:00,127.88,129.2,126.68,127.495,46685,127.88
2015-11-20 11:30:00,128.59,129.02,127.93,128.2,56705,128.59
2015-11-20 12:30:00,128.09,128.87,128.0,128.59,37713,128.09
2015-11-20 13:30:00,128.08,128.28,127.67,128.28,53295,128.08
2015-11-20 14:30:00,128.36,128.45,127.685,127.9,48711,128.36
2015-11-20 15:30:00,128.77,128.77,128.12,128.31,31839,128.77
2015-11-20 16:00:00,129.12,129.25,128.75,128.75,39166,129.12
2015-11-23 10:30:00,130.17,130.54,129.02,129.22,34291,130.17
2015-11-23 11:30:00,131.94,131.98,130.09,130.09,35853,131.94
2015-11-23 12:30:00,132.03,132.03,131.44,131.92,34021,132.03
2015-11-23 13:30:00,131.84,132.015,131.58,132.015,45490,131.84
2015-11-23 14:30:00,131.04,131.74,130.621,131.65,29230,131.04
2015-11-23 15:30:00,130.77,131.11,130.455,130.8,19262,130.77
2015-11-23 16:00:00,131.12,131.21,130.82,130.97,63236,131.12
2015-11-24 10:30:00,130.2,131.1,129.62,131.1,46790,130.2
