Date,Open,High,Low,Close,Volume,Adj Close
0,41.26,41.35,41.21,41.3,105960,41.3
1,41.3,41.32,41.21,41.3,106349,41.3
2,41.3,41.32,41.21,41.29,53827,41.29
3,41.29,41.339,41.25,41.26,47523,41.26
4,41.28,41.34,41.23,41.27,38143,41.27
5,41.295,41.32,41.22,41.22,24697,41.22
6,41.23,41.3,41.1267,41.29,29935,41.29
7,41.269,41.39,41.26,41.29,79584,41.29
8,41.26,41.26,41.09,41.09,35752,41.09
9,41.1,41.23,41.06,41.16,15267,41.16
10,41.15,41.22,41.1201,41.2,16646,41.2
11,41.2,41.22,41.15,41.19,30413,41.19
12,41.19,41.27,41.16,41.22,17476,41.22
13,41.22,41.29,41.194,41.28,13145,41.28
14,41.28,41.285,41.2072,41.2438,25501,41.2438
15,41.24,41.29,41.22,41.26,24164,41.26
16,41.26,41.29,41.255,41.29,22485,41.29
17,41.29,41.34,41.28,41.3359,20444,41.3359
18,41.34,41.37,41.32,41.365,8168,41.365
19,41.3701,41.39,41.31,41.31,32503,41.31
20,41.3,41.32,41.22,41.24,25936,41.24
21,41.25,41.33,41.23,41.3,36378,41.3
22,41.32,41.32,41.24,41.28,23538,41.28
23,41.28,41.32,41.2722,41.3159,47888,41.3159
24,41.32,41.3898,41.29,41.3898,28380,41.3898
25,41.39,41.47,41.37,41.4,86485,41.4
26,41.15,41.17,41.15,41.15,10678,41.15
27,41.17,41.24,41.0939,41.11,46717,41.11
28,41.0861,41.16,41.01,41.15,36097,41.15
29,41.14,41.252,41.12,41.12,38707,41.12
30,41.13,41.3699,41.11,41.33,29573,41.33
31,41.33,41.36,41.23,41.24,14510,41.24
32,41.24,41.31,41.23,41.3,10164,41.3
33,41.28,41.305,41.19,41.2132,22354,41.2132
34,41.21,41.36,41.2,41.35,42521,41.35
35,41.34,41.39,41.29,41.34,17414,41.34
36,41.32,41.45,41.31,41.38,12279,41.38
37,41.3899,41.42,41.31,41.33,11929,41.33
38,41.3233,41.38,41.315,41.36,8842,41.36
39,41.35,41.45,41.3241,41.42,11361,41.42
40,41.405,41.45,41.3824,41.445,9007,41.445
41,41.45,41.567,41.444,41.53,27521,41.53
42,41.54,41.59,41.515,41.58,34456,41.58
43,41.58,41.59,41.55,41.55,19550,41.55
44,41.545,41.565,41.4526,41.46,20464,41.46
