Date,Open,High,Low,Close,Volume,Adj Close
0,41.39,41.76,41.34,41.68,214577,41.68
1,41.69,41.89,41.61,41.69,216282,41.69
2,41.69,41.755,41.46,41.53,222681,41.53
3,41.5,41.57,41.31,41.32,202476,41.32
4,41.32,41.35,41.165,41.22,204701,41.22
5,41.23,41.5244,41.23,41.41,157075,41.41
6,41.41,41.5,41.21,41.3,311214,41.3
7,41.32,41.4,41.19,41.28,195962,41.28
8,41.285,41.325,40.89,40.9799,672818,40.9799
9,40.96,41.0056,40.6,40.7,313526,40.7
10,40.705,40.83,40.68,40.8,83968,40.8
11,40.79,40.86,40.73,40.78,103134,40.78
12,40.78,40.81,40.66,40.71,125400,40.71
13,40.69,40.7325,40.31,40.42,304900,40.42
14,40.77,40.78,40.535,40.62,135678,40.62
15,40.6,40.65,40.16,40.165,156628,40.165
16,40.178,40.33,40.03,40.12,226838,40.12
17,40.11,40.16,40.0,40.05,146257,40.05
18,40.045,40.08,39.78,39.86,183701,39.86
19,39.87,40.1,39.83,39.95,164842,39.95
20,39.96,40.2,39.79,39.99,435698,39.99
21,40.59,40.72,40.57,40.63,162734,40.63
22,40.64,40.66,40.41,40.43,225126,40.43
23,40.42,40.46,40.13,40.2741,125780,40.2741
24,40.2701,40.39,40.15,40.2,82237,40.2
25,40.2,40.28,40.09,40.17,135453,40.17
26,40.16,40.44,40.06,40.41,209352,40.41
27,40.42,40.56,40.29,40.47,276460,40.47
28,40.68,40.74,40.59,40.67,87004,40.67
29,40.65,40.72,40.36,40.45,176235,40.45
30,40.45,40.51,40.23,40.25,143325,40.25
31,40.2605,40.39,40.2,40.22,65321,40.22
32,40.22,40.28,39.96,39.97,111859,39.97
33,39.95,39.9938,39.47,39.71,338492,39.71
34,39.72,39.79,39.51,39.56,525925,39.56
35,39.64,39.68,39.48,39.55,152599,39.55
36,39.54,40.02,39.48,39.806,260739,39.806
37,39.82,39.97,39.71,39.97,183770,39.97
38,39.9695,40.14,39.8978,40.08,177165,40.08
39,40.07,40.3,40.07,40.2915,121046,40.2915
40,40.291,40.295,40.11,40.205,318556,40.205
41,40.205,40.27,40.0286,40.06,411550,40.06
42,39.24,39.48,39.22,39.32,110406,39.32
43,39.31,39.49,39.087,39.09,358176,39.09
44,39.09,39.15,38.87,39.03,224296,39.03
45,38.99,39.04,38.63,38.775,210421,38.775
46,38.78,38.85,38.62,38.68,334878,38.68
47,38.6999,38.795,38.62,38.73,359452,38.73
48,38.73,38.77,38.58,38.61,401305,38.61
49,40.73,40.76,40.43,40.6,369976,40.6
50,40.608,40.87,40.52,40.61,443339,40.61
51,40.62,40.78,40.54,40.54,519484,40.54
52,40.55,40.55,40.35,40.365,411833,40.365
53,40.37,40.4,40.09,40.33,556471,40.33
54,40.33,40.33,40.09,40.16,258414,40.16
55,40.16,40.5,40.1341,40.365,461856,40.365
56,39.89,40.095,39.83,39.85,155933,39.85
57,39.86,40.03,39.4348,39.44,190112,39.44
58,39.42,39.91,39.42,39.63,286962,39.63
59,39.66,39.7062,39.35,39.67,150339,39.67
60,39.65,40.0498,39.54,40.0,130607,40.0
61,39.99,40.17,39.89,40.1197,185712,40.1197
62,40.12,40.6022,40.08,40.35,285299,40.35
63,40.33,40.42,39.88,39.93,87737,39.93
64,39.93,40.42,39.93,40.14,77368,40.14
65,40.15,40.45,40.1073,40.37,141128,40.37
66,40.4024,40.58,40.3699,40.5,89745,40.5
67,40.5,40.6,40.34,40.51,110480,40.51
68,40.5198,40.53,40.2653,40.34,210480,40.34
69,40.33,40.4001,40.21,40.31,429442,40.31
70,41.26,41.35,41.21,41.3,212309,41.3
71,41.3,41.34,41.21,41.22,164190,41.22
72,41.23,41.39,41.06,41.16,160538,41.16
73,41.15,41.29,41.1201,41.28,77680,41.28
74,41.28,41.34,41.2072,41.3359,92594,41.3359
75,41.34,41.39,41.22,41.3,102985,41.3
76,41.32,41.47,41.24,41.4,186291,41.4
77,41.15,41.24,41.01,41.15,93492,41.15
78,41.14,41.3699,41.11,41.3,92954,41.3
79,41.28,41.45,41.19,41.38,94568,41.38
80,41.3899,41.45,41.31,41.445,41139,41.445
81,41.45,41.59,41.444,41.46,101991,41.46
82,41.45,41.4965,41.395,41.495,170852,41.495
83,41.495,41.53,41.12,41.12,218391,41.12
84,41.48,41.53,41.31,41.31,101435,41.31
85,41.3,41.82,41.3,41.64,148596,41.64
86,41.64,41.74,41.48,41.504,292145,41.504
87,41.5,41.75,41.5,41.64,109391,41.64
88,41.64,41.7,41.57,41.5701,130265,41.5701
89,41.57,41.61,41.48,41.58,117730,41.58
90,41.57,41.8,41.535,41.77,306547,41.77
91,42.05,42.1,41.85,41.85,136470,41.85
92,41.864,41.99,41.78,41.85,113185,41.85
93,41.87,42.05,41.72,42.01,381741,42.01
94,42.02,42.09,41.98,42.0,209416,42.0
95,41.99,42.07,41.91,42.07,119774,42.07
96,42.035,42.1,41.5276,41.56,171624,41.56
97,41.51,41.54,41.19,41.53,336821,41.53
98,41.36,41.38,41.08,41.16,99663,41.16
99,41.16,41.16,40.55,40.9451,243984,40.9451
100,40.94,41.09,40.82,40.82,211718,40.82
101,40.83,40.9951,40.81,40.86,134560,40.86
102,40.86,40.89,40.725,40.74,91945,40.74
103,40.73,40.97,40.73,40.82,106948,40.82
104,40.8249,40.93,40.78,40.835,171375,40.835
105,40.83,41.19,40.8038,41.17,120686,41.17
106,41.18,41.2601,41.01,41.05,136935,41.05
107,41.06,41.46,41.0,41.41,116764,41.41
108,41.41,41.47,41.36,41.41,109177,41.41
109,41.41,41.42,41.3,41.38,134072,41.38
110,41.38,41.38,41.22,41.27,136827,41.27
111,41.27,41.61,41.26,41.59,245487,41.59
112,41.46,41.59,41.39,41.58,155144,41.58
113,41.57,41.69,41.4101,41.63,373505,41.63
114,41.64,41.8,41.56,41.63,191138,41.63
115,41.5,41.5,41.35,41.39,145282,41.39
116,41.4,41.62,41.38,41.62,130855,41.62
117,41.615,41.82,41.6,41.76,201844,41.76
118,41.76,41.88,41.7,41.7,194659,41.7
119,41.17,41.17,40.85,40.87,135971,40.87
120,40.86,40.98,40.735,40.77,376969,40.77
121,40.77,40.9937,40.69,40.764,264694,40.764
122,40.775,40.85,40.67,40.825,112234,40.825
123,40.83,40.85,40.715,40.745,114571,40.745
124,40.765,40.88,40.7,40.805,161084,40.805
125,40.81,40.868,40.715,40.82,188212,40.82
126,40.54,40.59,40.395,40.56,245980,40.56
127,40.55,40.58,40.125,40.54,374580,40.54
128,40.535,40.81,40.44,40.6605,189264,40.6605
129,40.66,40.7456,40.48,40.58,101194,40.58
130,40.59,40.72,40.49,40.53,93507,40.53
131,40.53,41.12,40.51,41.081,194365,41.081
132,41.1,41.15,40.89,41.1,233529,41.1
133,40.41,40.4819,40.24,40.4,205177,40.4
134,40.4,40.88,40.2301,40.67,271329,40.67
135,40.67,40.67,40.4,40.47,133080,40.47
136,40.45,40.6373,40.44,40.54,94092,40.54
137,40.54,40.747,40.54,40.6,83591,40.6
138,40.59,40.67,40.49,40.67,86439,40.67
139,40.68,40.72,40.56,40.59,196406,40.59
140,40.12,40.15,39.96,39.97,161344,39.97
141,39.97,40.04,39.77,39.89,135044,39.89
142,39.89,39.98,39.81,39.97,107347,39.97
143,39.98,40.07,39.85,40.02,104674,40.02
144,40.02,40.06,39.78,39.8451,94547,39.8451
145,39.85,39.905,39.71,39.85,128440,39.85
146,39.84,39.89,39.72,39.845,160019,39.845
147,39.09,39.22,39.0,39.1025,120157,39.1025
148,39.1,39.3499,39.0,39.15,127985,39.15
149,39.16,39.19,38.92,39.06,131784,39.06
150,39.0498,39.16,39.0247,39.07,87339,39.07
151,39.0756,39.09,38.95,38.9599,67514,38.9599
152,38.96,39.13,38.915,39.06,166099,39.06
153,39.06,39.56,39.06,39.36,342707,39.36
154,38.38,38.68,38.33,38.4699,415371,38.4699
155,38.45,38.62,38.37,38.53,377115,38.53
156,38.52,39.04,38.52,38.81,185421,38.81
157,38.81,38.9465,38.775,38.8239,116277,38.8239
158,38.82,38.84,38.64,38.69,191665,38.69
159,38.708,38.84,38.65,38.81,476881,38.81
160,38.81,39.04,38.71,38.8001,320558,38.8001
161,38.43,38.74,38.39,38.66,224927,38.66
162,38.67,38.84,38.57,38.57,205413,38.57
163,38.59,38.7,38.44,38.57,145470,38.57
164,38.58,38.771,38.56,38.66,153115,38.66
165,38.66,38.77,38.57,38.702,284643,38.702
166,38.71,38.89,38.635,38.665,275426,38.665
167,38.67,38.765,38.31,38.41,450903,38.41
168,38.59,38.64,38.2201,38.345,232411,38.345
169,38.35,38.46,38.13,38.22,620187,38.22
170,38.21,38.43,38.18,38.29,175083,38.29
171,38.3,38.41,38.23,38.32,131492,38.32
172,38.32,38.4,38.24,38.3,208351,38.3
173,38.3,38.52,38.15,38.38,241313,38.38
174,38.37,38.5064,38.23,38.4,461140,38.4
175,38.39,38.58,38.39,38.55,378881,38.55
176,38.53,38.58,38.365,38.39,638922,38.39
177,38.395,38.645,38.33,38.49,326644,38.49
178,38.495,38.65,38.48,38.615,91118,38.615
179,38.61,38.66,38.51,38.65,236412,38.65
180,38.65,38.83,38.65,38.81,165271,38.81
181,38.8,38.97,38.77,38.97,188885,38.97
182,38.79,38.94,38.74,38.774,297545,38.774
183,38.76,38.76,38.575,38.59,373094,38.59
184,38.6,38.96,38.545,38.95,355838,38.95
185,38.95,38.96,38.66,38.78,167272,38.78
186,38.775,38.835,38.7,38.8,139274,38.8
187,38.81,38.93,38.79,38.805,132148,38.805
188,38.81,39.01,38.705,38.87,608610,38.87
189,39.2,39.29,39.14,39.15,262927,39.15
190,39.145,39.3798,39.1103,39.33,461171,39.33
191,39.34,39.535,39.34,39.37,321856,39.37
192,39.37,39.43,39.32,39.33,140649,39.33
193,39.32,39.44,39.32,39.36,176879,39.36
194,39.359,39.42,39.315,39.375,303391,39.375
195,39.38,39.43,39.325,39.43,524171,39.43
196,39.5,39.52,39.39,39.45,322409,39.45
197,39.4501,39.6001,39.42,39.52,238427,39.52
198,39.52,39.57,39.27,39.35,283303,39.35
199,39.35,39.37,39.32,39.35,134804,39.35
200,39.3407,39.3615,39.2035,39.24,118257,39.24
201,39.25,39.37,39.2458,39.36,127786,39.36
202,39.355,39.36,39.17,39.19,142647,39.19
203,38.85,38.8978,38.74,38.74,147146,38.74
204,38.74,38.93,38.7,38.86,817976,38.86
