Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,42.565,43.95,42.42,43.95,59245,42.565
2015-09-14 11:30:00,42.85,43.0799,42.46,42.46,14862,42.85
2015-09-14 12:30:00,42.77,42.77,42.5,42.7,37288,42.77
2015-09-14 13:30:00,42.6701,42.83,42.6701,42.83,6260,42.6701
2015-09-14 14:30:00,42.63,42.75,42.53,42.69,14957,42.63
2015-09-14 15:30:00,42.55,42.78,42.53,42.665,19339,42.55
2015-09-14 16:00:00,42.58,42.65,42.5,42.525,32979,42.58
2015-09-15 10:30:00,43.072,43.072,42.15,42.654,47557,43.072
2015-09-15 11:30:00,43.36,43.49,43.1,43.11,12301,43.36
2015-09-15 12:30:00,43.37,43.46,43.25,43.36,11990,43.37
2015-09-15 13:30:00,43.01,43.33,42.98,43.33,15213,43.01
2015-09-15 14:30:00,43.01,43.17,42.96,43.06,15843,43.01
2015-09-15 15:30:00,43.21,43.3,42.93,42.93,10782,43.21
2015-09-15 16:00:00,43.08,43.27,43.0106,43.21,17839,43.08
2015-09-16 10:30:00,43.965,44.31,43.415,43.918,37085,43.965
2015-09-16 11:30:00,45.0,45.11,44.0,44.0,47718,45.0
2015-09-16 12:30:00,44.87,44.98,44.56,44.89,26976,44.87
2015-09-16 13:30:00,44.63,44.95,44.63,44.95,13397,44.63
2015-09-16 14:30:00,44.68,44.76,44.5559,44.5559,14107,44.68
2015-09-16 15:30:00,44.99,45.05,44.58,44.66,27046,44.99
2015-09-16 16:00:00,44.9,45.11,44.9,45.11,33963,44.9
2015-09-17 10:30:00,44.61,44.79,44.01,44.01,21180,44.61
2015-09-17 11:30:00,44.43,44.47,43.91,44.45,16932,44.43
2015-09-17 12:30:00,44.85,44.9,44.43,44.56,11989,44.85
2015-09-17 13:30:00,44.91,44.91,44.67,44.73,2400,44.91
2015-09-17 14:30:00,44.8,45.0,44.43,44.86,12948,44.8
2015-09-17 15:30:00,44.47,45.11,44.27,44.88,18990,44.47
2015-09-17 16:00:00,44.43,44.6,44.4,44.5,20992,44.43
2015-09-18 10:30:00,44.75,44.82,43.97,44.412,23620,44.75
2015-09-18 11:30:00,44.855,44.94,44.49,44.665,21221,44.855
2015-09-18 12:30:00,44.53,45.08,44.52,44.83,13024,44.53
2015-09-18 13:30:00,44.24,44.63,44.24,44.55,12366,44.24
2015-09-18 14:30:00,44.0,44.39,43.94,44.29,10850,44.0
2015-09-18 15:30:00,44.2,44.4,44.07,44.09,16900,44.2
2015-09-18 16:00:00,44.04,44.24,43.98,44.13,15744,44.04
2015-09-21 10:30:00,44.31,45.098,43.58,45.098,30272,44.31
2015-09-21 11:30:00,43.722,44.35,43.63,44.26,31239,43.722
2015-09-21 12:30:00,43.45,43.77,43.38,43.74,13975,43.45
2015-09-21 13:30:00,43.28,43.43,43.23,43.419,11536,43.28
2015-09-21 14:30:00,42.72,43.22,42.66,43.2,17883,42.72
2015-09-21 15:30:00,42.82,43.05,42.75,42.75,11730,42.82
2015-09-21 16:00:00,42.91,42.94,42.57,42.85,29554,42.91
2015-09-22 10:30:00,42.68,43.0013,42.38,42.716,20176,42.68
2015-09-22 11:30:00,42.49,42.75,42.49,42.68,17250,42.49
2015-09-22 12:30:00,42.53,42.61,42.4,42.46,14967,42.53
2015-09-22 13:30:00,42.38,42.66,42.31,42.57,14855,42.38
2015-09-22 14:30:00,42.55,42.57,42.41,42.41,10300,42.55
2015-09-22 15:30:00,42.61,42.68,42.5,42.59,3000,42.61
2015-09-22 16:00:00,42.56,42.66,42.5,42.6,23320,42.56
2015-09-23 10:30:00,42.14,42.93,41.93,42.93,46343,42.14
2015-09-23 11:30:00,42.13,42.44,42.1,42.15,14700,42.13
2015-09-23 12:30:00,41.94,42.09,41.78,42.09,19650,41.94
2015-09-23 13:30:00,41.65,41.912,41.638,41.906,10910,41.65
2015-09-23 14:30:00,41.66,41.94,41.66,41.68,10333,41.66
2015-09-23 15:30:00,41.66,41.8,41.53,41.69,20577,41.66
2015-09-23 16:00:00,41.6,41.72,41.53,41.66,20989,41.6
2015-09-24 10:30:00,41.63,41.9366,41.4245,41.776,20001,41.63
