Date,Open,High,Low,Close,Volume,Adj Close
0,43.575,43.75,43.4,43.74,96105,43.74
1,43.62,43.66,43.45,43.58,240689,43.58
2,43.51,43.67,43.47,43.62,164597,43.62
3,43.48,43.54,43.4,43.52,139869,43.52
4,43.52,43.57,43.4,43.49,247515,43.49
5,43.5201,43.58,43.47,43.53,180859,43.53
6,43.325,43.55,43.295,43.53,565709,43.53
7,43.12,43.22,42.95,42.99,175370,42.99
8,43.1,43.16,42.83,43.12,241284,43.12
9,43.29,43.29,43.0,43.1,250233,43.1
10,43.25,43.43,43.25,43.305,113482,43.305
11,43.35,43.39,43.135,43.24,114725,43.24
12,43.145,43.355,43.08,43.35,173371,43.35
13,42.83,43.19,42.83,43.14,531608,43.14
14,41.77,42.04,41.59,41.86,408776,41.86
15,41.32,41.77,41.3,41.77,630304,41.77
16,41.64,41.7,41.22,41.32,511358,41.32
17,41.47,41.665,41.36,41.64,382387,41.64
18,41.31,41.57,41.295,41.46,394298,41.46
19,41.26,41.37,41.19,41.3,414393,41.3
20,41.59,41.59,41.12,41.255,1187198,41.255
21,41.66,41.97,41.615,41.66,614365,41.66
22,41.79,41.87,41.55,41.66,587497,41.66
23,41.62,41.805,41.53,41.78,452320,41.78
24,41.64,41.65,41.46,41.62,476349,41.62
25,41.73,41.81,41.56,41.65,396430,41.65
26,41.71,41.815,41.65,41.74,339754,41.74
27,41.78,41.82,41.555,41.71,933576,41.71
28,41.15,41.175,40.64,40.92,261640,40.92
29,41.2,41.22,41.01,41.155,425560,41.155
30,41.18,41.43,41.16,41.21,398683,41.21
31,41.22,41.37,41.12,41.18,427795,41.18
32,41.14,41.24,41.06,41.21,840024,41.21
33,40.86,41.27,40.86,41.14,696991,41.14
34,41.19,41.24,40.855,40.86,1151134,40.86
35,40.52,40.71,40.06,40.26,471760,40.26
36,40.45,40.54,40.235,40.52,520234,40.52
37,40.22,40.53,40.22,40.45,496042,40.45
38,40.05,40.3277,40.04,40.22,453723,40.22
39,39.8,40.0501,39.59,40.0459,657056,40.0459
40,39.74,39.9432,39.65,39.8,541190,39.8
41,39.48,39.78,39.43,39.74,1692769,39.74
42,40.08,40.23,39.84,40.22,553741,40.22
43,39.65,40.07,39.57,40.07,560816,40.07
44,39.68,39.76,39.34,39.66,419177,39.66
45,39.69,39.82,39.59,39.69,291038,39.69
46,39.475,39.73,39.43,39.69,505518,39.69
47,39.4,39.59,39.375,39.48,369949,39.48
48,38.9,39.43,38.82,39.39,972855,39.39
49,38.92,39.445,38.89,39.3,309071,39.3
50,38.74,39.06,38.6978,38.9,495711,38.9
51,38.77,38.84,38.5299,38.72,374604,38.72
52,38.66,38.8025,38.58,38.78,283263,38.78
53,38.43,38.695,38.37,38.66,513936,38.66
54,38.6,38.68,38.36,38.42,503554,38.42
55,38.71,38.89,38.39,38.6,1752482,38.6
56,39.49,39.51,39.11,39.46,359977,39.46
57,39.14,39.49,38.96,39.485,485548,39.485
58,38.96,39.17,38.69,39.14,400385,39.14
59,38.76,39.14,38.675,38.97,425474,38.97
60,38.78,38.94,38.66,38.76,267535,38.76
61,38.98,39.01,38.61,38.77,399616,38.77
62,39.4,39.48,38.84,38.97,1372486,38.97
63,39.25,39.75,39.14,39.69,362607,39.69
64,39.04,39.32,38.81,39.22,539601,39.22
65,38.635,39.11,38.59,39.03,482092,39.03
66,38.585,38.8,38.55,38.638,593556,38.638
67,38.365,38.74,38.33,38.58,681871,38.58
68,38.27,38.505,37.975,38.36,1381112,38.36
69,38.1,38.41,38.0,38.2701,1965519,38.2701
70,37.87,38.58,37.75,38.4,474547,38.4
71,38.49,38.78,37.75,37.865,795010,37.865
72,38.49,38.57,38.27,38.49,323177,38.49
73,38.36,38.62,38.335,38.5,420604,38.5
74,38.495,38.64,38.36,38.36,562712,38.36
75,38.57,38.595,38.38,38.5,678873,38.5
76,38.26,38.61,38.25,38.575,1722930,38.575
77,37.19,37.46,37.05,37.14,641375,37.14
78,37.24,37.45,37.01,37.18,532829,37.18
79,37.09,37.35,37.06,37.23,449094,37.23
80,36.98,37.2,36.64,37.09,604792,37.09
81,37.09,37.2,36.82,36.9843,585565,36.9843
82,37.52,37.54,37.03,37.09,462536,37.09
83,37.44,37.58,37.22,37.52,872974,37.52
84,37.63,38.025,37.46,37.99,245904,37.99
85,37.4,37.82,37.3989,37.64,466471,37.64
86,37.33,37.56,37.28,37.4,433683,37.4
87,37.18,37.375,37.08,37.34,254754,37.34
88,37.12,37.34,37.12,37.19,290809,37.19
89,36.88,37.15,36.78,37.12,542945,37.12
90,37.14,37.32,36.855,36.875,877975,36.875
91,36.05,36.44,36.0,36.07,498479,36.07
92,35.51,36.09,35.51,36.05,975892,36.05
93,35.5,35.89,35.44,35.52,482165,35.52
94,35.71,35.71,35.2764,35.5,473865,35.5
95,36.18,36.24,35.59,35.71,1027033,35.71
96,36.31,36.375,36.02,36.17,700547,36.17
97,36.54,37.0,36.235,36.305,1226358,36.305
98,36.3899,36.755,36.22,36.5,554636,36.5
99,36.58,37.0,36.375,36.38,760141,36.38
100,36.72,36.79,36.46,36.59,599877,36.59
101,36.68,36.91,36.57,36.73,493815,36.73
102,36.25,36.76,36.215,36.69,416681,36.69
103,36.17,36.28,35.92,36.2599,774789,36.2599
104,36.06,36.48,36.01,36.165,2098054,36.165
105,35.73,36.76,35.26,36.64,1457985,36.64
