Date,Close,High,Low,Open,Volume,Adj Close
2015-12-10 10:30:00,42.66,42.69,42.08,42.25,710866,42.66
2015-12-10 11:30:00,42.99,43.01,42.64,42.7,410388,42.99
2015-12-10 12:30:00,42.99,42.99,42.8,42.97,318608,42.99
2015-12-10 13:30:00,43.125,43.17,42.87,43.0,292041,43.125
2015-12-10 14:30:00,43.31,43.31,43.04,43.15,295453,43.31
2015-12-10 15:30:00,42.96,43.29,42.89,43.29,457116,42.96
2015-12-10 16:00:00,42.87,43.05,42.79,42.945,501490,42.87
2015-12-11 10:30:00,42.25,42.25,41.93,41.95,473325,42.25
2015-12-11 11:30:00,42.09,42.32,41.87,42.32,309557,42.09
2015-12-11 12:30:00,41.84,42.16,41.765,42.04,337132,41.84
2015-12-11 13:30:00,41.86,42.02,41.77,41.79,225998,41.86
2015-12-11 14:30:00,41.9,42.02,41.86,41.93,217899,41.9
2015-12-11 15:30:00,41.665,41.99,41.52,41.87,328004,41.665
2015-12-11 16:00:00,41.79,41.825,41.62,41.67,313236,41.79
2015-12-14 10:30:00,41.57,42.38,41.57,42.14,685084,41.57
2015-12-14 11:30:00,41.54,41.75,41.38,41.59,538305,41.54
2015-12-14 12:30:00,41.99,42.0,41.33,41.45,548973,41.99
2015-12-14 13:30:00,41.86,42.04,41.71,42.04,376165,41.86
2015-12-14 14:30:00,41.82,41.97,41.7,41.845,568680,41.82
2015-12-14 15:30:00,41.9,41.99,41.74,41.8,451835,41.9
2015-12-14 16:00:00,42.01,42.015,41.8,41.92,437223,42.01
2015-12-15 10:30:00,43.11,43.13,42.7,42.82,712773,43.11
2015-12-15 11:30:00,43.31,43.31,42.95,43.06,350217,43.31
2015-12-15 12:30:00,43.27,43.37,43.075,43.37,462091,43.27
2015-12-15 13:30:00,43.39,43.55,43.305,43.36,334381,43.39
2015-12-15 14:30:00,43.51,43.59,43.35,43.4,326626,43.51
2015-12-15 15:30:00,43.345,43.535,43.32,43.53,432051,43.345
2015-12-15 16:00:00,43.3,43.39,43.245,43.285,594215,43.3
2015-12-16 10:30:00,43.25,43.96,43.15,43.8831,607482,43.25
2015-12-16 11:30:00,42.99,43.3,42.95,43.26,417426,42.99
2015-12-16 12:30:00,43.2,43.26,43.04,43.04,213587,43.2
2015-12-16 13:30:00,43.39,43.39,43.08,43.2,335044,43.39
2015-12-16 14:30:00,43.23,43.9451,43.23,43.39,703185,43.23
2015-12-16 15:30:00,44.08,44.08,43.06,43.06,773178,44.08
2015-12-16 16:00:00,44.08,44.21,44.055,44.09,595414,44.08
2015-12-17 10:30:00,43.94,44.34,43.88,44.24,630020,43.94
2015-12-17 11:30:00,43.8,44.09,43.69,43.955,412964,43.8
2015-12-17 12:30:00,43.64,43.92,43.64,43.74,358163,43.64
2015-12-17 13:30:00,43.62,43.715,43.44,43.64,209442,43.62
2015-12-17 14:30:00,43.61,43.7,43.54,43.6,237985,43.61
2015-12-17 15:30:00,43.42,43.63,43.34,43.63,357161,43.42
2015-12-17 16:00:00,43.3,43.55,43.3,43.365,359238,43.3
2015-12-18 10:30:00,42.7,42.93,42.49,42.92,760800,42.7
2015-12-18 11:30:00,42.855,42.985,42.6,42.72,433152,42.855
2015-12-18 12:30:00,42.52,42.88,42.39,42.8701,393084,42.52
2015-12-18 13:30:00,42.43,42.52,42.34,42.46,257254,42.43
2015-12-18 14:30:00,42.72,42.77,42.37,42.45,322691,42.72
2015-12-18 15:30:00,42.385,42.74,42.33,42.7,523614,42.385
2015-12-18 16:00:00,42.15,42.49,42.15,42.405,537627,42.15
2015-12-21 10:30:00,42.5,42.75,42.35,42.57,402752,42.5
2015-12-21 11:30:00,42.29,42.61,42.2099,42.53,266145,42.29
2015-12-21 12:30:00,42.0,42.24,42.0,42.24,279675,42.0
2015-12-21 13:30:00,42.19,42.26,42.04,42.06,153191,42.19
2015-12-21 14:30:00,42.17,42.33,42.15,42.22,230599,42.17
2015-12-21 15:30:00,42.14,42.19,42.06,42.169,254930,42.14
2015-12-21 16:00:00,42.44,42.44,42.15,42.17,363341,42.44
2015-12-22 10:30:00,42.44,42.775,42.17,42.775,530052,42.44
2015-12-22 11:30:00,42.17,42.44,42.15,42.44,260743,42.17
2015-12-22 12:30:00,42.31,42.42,42.18,42.2,223367,42.31
2015-12-22 13:30:00,42.64,42.64,42.32,42.32,300638,42.64
2015-12-22 14:30:00,42.62,42.725,42.56,42.59,259538,42.62
2015-12-22 15:30:00,42.79,42.86,42.63,42.63,285686,42.79
2015-12-22 16:00:00,42.82,42.86,42.68,42.7915,322131,42.82
2015-12-23 10:30:00,42.9,43.16,42.84,43.07,331548,42.9
2015-12-23 11:30:00,43.19,43.205,42.94,42.97,346259,43.19
2015-12-23 12:30:00,43.32,43.35,43.14,43.23,173508,43.32
2015-12-23 13:30:00,43.235,43.35,43.22,43.31,168070,43.235
2015-12-23 14:30:00,43.29,43.31,43.17,43.23,227925,43.29
2015-12-23 15:30:00,43.3,43.35,43.22,43.34,304051,43.3
2015-12-23 16:00:00,43.35,43.355,43.2,43.26,465933,43.35
2015-12-24 10:30:00,43.34,43.43,43.17,43.38,270913,43.34
2015-12-24 11:30:00,43.47,43.5501,43.34,43.37,195305,43.47
2015-12-24 12:30:00,43.55,43.59,43.45,43.48,153477,43.55
2015-12-24 13:30:00,43.36,43.62,43.36,43.56,237141,43.36
2015-12-28 10:30:00,42.73,43.165,42.73,43.165,293811,42.73
2015-12-28 11:30:00,42.63,42.7531,42.56,42.74,226086,42.63
2015-12-28 12:30:00,42.77,42.81,42.61,42.61,213797,42.77
2015-12-28 13:30:00,43.02,43.02,42.73,42.75,252634,43.02
2015-12-28 14:30:00,43.14,43.14,42.925,43.05,250995,43.14
2015-12-28 15:30:00,43.13,43.17,43.03,43.132,255983,43.13
2015-12-28 16:00:00,43.17,43.19,43.11,43.11,330480,43.17
2015-12-29 10:30:00,43.87,43.885,43.45,43.45,458438,43.87
2015-12-29 11:30:00,43.63,43.86,43.57,43.86,260916,43.63
2015-12-29 12:30:00,43.52,43.66,43.41,43.66,252683,43.52
2015-12-29 13:30:00,43.72,43.74,43.47,43.5,151946,43.72
2015-12-29 14:30:00,43.89,43.89,43.71,43.73,243515,43.89
2015-12-29 15:30:00,43.93,43.945,43.82,43.855,302840,43.93
2015-12-29 16:00:00,43.82,43.935,43.77,43.935,410706,43.82
2015-12-30 10:30:00,43.48,43.64,43.41,43.63,243537,43.48
2015-12-30 11:30:00,43.61,43.66,43.48,43.48,171598,43.61
2015-12-30 12:30:00,43.47,43.57,43.47,43.57,141736,43.47
2015-12-30 13:30:00,43.48,43.54,43.4,43.46,225316,43.48
2015-12-30 14:30:00,43.52,43.575,43.46,43.48,212496,43.52
2015-12-30 15:30:00,43.46,43.55,43.46,43.54,203828,43.46
2015-12-30 16:00:00,43.33,43.45,43.31,43.45,429610,43.33
2015-12-31 10:30:00,42.99,43.18,42.96,43.08,297464,42.99
2015-12-31 11:30:00,43.03,43.19,42.843,42.89,266949,43.03
2015-12-31 12:30:00,43.41,43.42,43.0,43.0,164025,43.41
2015-12-31 13:30:00,43.27,43.39,43.14,43.38,111320,43.27
2015-12-31 14:30:00,43.18,43.38,43.16,43.27,115855,43.18
2015-12-31 15:30:00,43.08,43.19,43.071,43.14,227497,43.08
2015-12-31 16:00:00,42.83,43.19,42.83,43.12,337687,42.83
2016-01-04 10:30:00,41.6,41.99,41.52,41.81,763245,41.6
2016-01-04 11:30:00,41.37,41.57,41.24,41.54,554219,41.37
2016-01-04 12:30:00,41.46,41.69,41.41,41.41,409050,41.46
2016-01-04 13:30:00,41.39,41.54,41.33,41.45,419030,41.39
2016-01-04 14:30:00,41.29,41.415,41.22,41.4,395820,41.29
2016-01-04 15:30:00,41.145,41.305,41.13,41.305,583367,41.145
2016-01-04 16:00:00,41.56,41.575,41.195,41.2,594527,41.56
2016-01-05 10:30:00,41.575,41.92,41.575,41.76,932690,41.575
2016-01-05 11:30:00,41.64,41.865,41.53,41.57,507308,41.64
2016-01-05 12:30:00,41.55,41.72,41.47,41.64,488510,41.55
2016-01-05 13:30:00,41.615,41.76,41.48,41.559,425443,41.615
2016-01-05 14:30:00,41.73,41.805,41.6,41.61,348947,41.73
2016-01-05 15:30:00,41.69,41.75,41.58,41.75,459514,41.69
2016-01-05 16:00:00,41.79,41.8,41.64,41.65,574073,41.79
2016-01-06 10:30:00,41.136,41.2,40.65,40.99,489173,41.136
2016-01-06 11:30:00,41.34,41.425,41.02,41.08,347347,41.34
2016-01-06 12:30:00,41.22,41.32,41.13,41.3,543535,41.22
2016-01-06 13:30:00,41.145,41.36,41.065,41.2,752175,41.145
2016-01-06 14:30:00,41.22,41.27,41.06,41.15,718611,41.22
2016-01-06 15:30:00,41.1,41.22,40.86,41.22,607638,41.1
2016-01-06 16:00:00,41.18,41.21,41.06,41.115,589482,41.18
2016-01-07 10:30:00,40.385,40.69,40.08,40.23,747268,40.385
2016-01-07 11:30:00,40.46,40.52,40.28,40.4,420151,40.46
2016-01-07 12:30:00,40.2499,40.52,40.22,40.47,539687,40.2499
2016-01-07 13:30:00,39.76,40.24,39.71,40.23,631216,39.76
2016-01-07 14:30:00,39.72,39.83,39.63,39.75,535981,39.72
2016-01-07 15:30:00,39.455,39.94,39.455,39.73,736254,39.455
2016-01-07 16:00:00,39.48,39.67,39.48,39.515,604418,39.48
2016-01-08 10:30:00,39.87,40.19,39.73,40.19,873812,39.87
2016-01-08 11:30:00,39.53,39.94,39.51,39.94,451546,39.53
2016-01-08 12:30:00,39.7753,39.81,39.3699,39.54,364408,39.7753
2016-01-08 13:30:00,39.49,39.75,39.48,39.75,411156,39.49
2016-01-08 14:30:00,39.4,39.59,39.39,39.49,390686,39.4
2016-01-08 15:30:00,39.26,39.57,39.26,39.41,451534,39.26
2016-01-08 16:00:00,38.83,39.23,38.83,39.23,233685,38.83
2016-01-11 10:30:00,38.91,39.395,38.75,39.39,557288,38.91
2016-01-11 11:30:00,38.605,39.03,38.59,38.95,455571,38.605
2016-01-11 12:30:00,38.655,38.84,38.55,38.57,298929,38.655
2016-01-11 13:30:00,38.51,38.71,38.51,38.67,419048,38.51
2016-01-11 14:30:00,38.6,38.64,38.37,38.55,532398,38.6
2016-01-11 15:30:00,38.6815,38.7,38.41,38.59,513942,38.6815
2016-01-11 16:00:00,38.735,38.87,38.68,38.68,981161,38.735
2016-01-12 10:30:00,39.07,39.49,39.05,39.19,606398,39.07
2016-01-12 11:30:00,38.88,39.2,38.85,39.13,427656,38.88
2016-01-12 12:30:00,38.88,39.12,38.7,38.85,496214,38.88
2016-01-12 13:30:00,38.68,38.905,38.67,38.89,257405,38.68
2016-01-12 14:30:00,38.81,38.93,38.63,38.71,384394,38.81
2016-01-12 15:30:00,39.2,39.21,38.83,38.83,579467,39.2
2016-01-12 16:00:00,39.44,39.47,39.12,39.13,634680,39.44
