Date,Open,High,Low,Close,Volume,Adj Close
0,62.36,62.41,62.315,62.38,75344,62.38
1,62.45,62.75,61.58,62.36,264148,62.36
2,62.45,62.68,61.82,62.43,188143,62.43
3,62.9,63.07,62.34,62.45,216691,62.45
4,62.95,63.34,62.66,62.898,150561,62.898
5,62.52,63.02,62.38,62.93,161846,62.93
6,61.96,62.81,61.95,62.5,136876,62.5
7,62.0001,62.16,61.87,61.99,125508,61.99
8,61.98,62.18,61.54,61.99,158408,61.99
9,62.0799,62.149,61.45,62.01,129698,62.01
10,61.62,62.18,61.38,62.08,106555,62.08
11,61.54,61.69,61.385,61.63,73490,61.63
12,61.54,61.6,61.27,61.51,99625,61.51
13,61.37,61.61,61.34,61.54,65257,61.54
14,61.29,61.4466,61.12,61.365,93323,61.365
15,61.37,61.5397,61.18,61.31,86032,61.31
16,61.145,61.65,61.04,61.37,81257,61.37
17,60.95,61.28,60.92,61.16,76979,61.16
18,60.985,61.2284,60.8757,60.94,87794,60.94
19,60.36,60.98,60.34,60.94,113242,60.94
20,60.4977,60.51,60.1423,60.34,122392,60.34
21,60.01,60.54,59.97,60.48,103651,60.48
22,60.32,60.4699,59.8727,60.0,122832,60.0
23,60.49,60.71,60.21,60.31,146251,60.31
24,60.76,60.85,60.05,60.505,227280,60.505
25,60.76,60.8494,60.4,60.78,262916,60.78
26,60.38,61.02,60.35,60.7498,858594,60.7498
27,59.07,59.42,59.07,59.37,77184,59.37
28,60.215,60.94,58.5,59.31,349773,59.31
29,59.93,60.58,59.63,60.2136,196950,60.2136
30,59.52,59.92,59.25,59.8606,268275,59.8606
31,59.705,59.8362,59.21,59.46,166048,59.46
32,59.21,59.68,58.93,59.68,160946,59.68
33,58.8201,59.25,58.72,59.22,146602,59.22
34,59.55,59.68,58.86,58.87,116872,58.87
35,60.27,60.31,59.54,59.57,187892,59.57
36,60.04,60.68,60.04,60.27,117588,60.27
37,59.66,60.154,59.41,60.06,95799,60.06
38,59.6001,59.88,59.33,59.675,74331,59.675
39,59.24,59.6,59.05,59.56,122540,59.56
40,59.23,59.43,59.11,59.24,82256,59.24
41,59.89,60.04,59.15,59.21,100889,59.21
42,59.5959,60.24,59.5959,59.94,133025,59.94
43,59.83,60.09,59.4,59.633,138108,59.633
44,60.495,60.75,59.82,59.82,308421,59.82
45,60.24,60.5904,60.12,60.4728,451843,60.4728
