Date,Open,High,Low,Close,Volume,Adj Close
0,78.04,78.12,74.07,74.15,733253,74.15
1,74.124,75.48,73.85,75.07,925868,75.07
2,75.08,75.14,74.61,74.81,397169,74.81
3,74.8,74.8075,73.36,73.84,909555,73.84
4,73.86,74.22,73.52,73.88,559736,73.88
5,73.91,74.19,72.78,72.98,640253,72.98
6,73.0,73.72,72.8,73.29,1270062,73.29
7,71.55,71.55,69.25,70.4416,1209204,70.4416
8,70.44,72.06,70.42,70.98,1009217,70.98
9,70.975,71.09,69.7,69.72,890064,69.72
10,69.72,70.35,69.72,70.175,649809,70.175
11,70.175,70.24,68.9101,68.93,665032,68.93
12,68.94,69.23,68.34,68.4154,680982,68.4154
13,68.41,69.31,68.33,69.15,1929086,69.15
14,66.6,68.6,66.1,68.045,1323928,68.045
15,68.09,69.83,67.562,69.8115,1040164,69.8115
16,69.8499,70.28,69.26,69.88,987744,69.88
17,69.9,70.19,68.34,68.5489,611126,68.5489
18,68.52,68.55,67.23,67.29,330748,67.29
19,67.25,67.99,66.5,67.46,653711,67.46
20,67.49,67.81,66.85,67.16,1006085,67.16
21,68.56,69.12,68.05,68.63,1330403,68.63
22,68.645,68.74,67.4,67.792,1168630,67.792
23,67.82,68.03,66.55,67.28,703914,67.28
24,67.31,67.79,67.03,67.3,495629,67.3
25,67.29,67.62,67.1,67.33,413782,67.33
26,67.31,67.72,67.05,67.48,670065,67.48
27,67.48,67.79,66.82,66.89,1499870,66.89
28,67.18,68.0,65.76,66.01,587408,66.01
29,65.96,66.78,64.98,65.0,833091,65.0
30,64.995,65.95,64.93,65.7955,652097,65.7955
31,65.81,65.98,65.37,65.9,538468,65.9
32,65.92,66.28,65.3401,65.44,510630,65.44
33,65.43,65.92,65.35,65.62,476186,65.62
34,65.62,66.515,65.18,66.05,981969,66.05
35,66.72,67.81,66.66,67.065,313984,67.065
36,67.15,67.33,66.63,66.9,345966,66.9
37,66.89,66.89,66.12,66.32,373795,66.32
