Date,Open,High,Low,Close,Volume,Adj Close
0,19.27,19.27,19.27,19.27,5421,19.27
1,19.245,19.39,19.19,19.31,46658,19.31
2,19.36,19.52,19.25,19.27,53149,19.27
3,19.27,19.28,19.07,19.11,218746,19.11
4,19.11,19.115,18.9,18.995,62209,18.995
5,18.99,18.99,18.74,18.75,123915,18.75
6,18.755,18.76,18.57,18.58,52776,18.58
7,18.57,18.7,18.57,18.68,72723,18.68
8,18.68,18.73,18.655,18.69,51226,18.69
9,18.69,18.74,18.63,18.63,41791,18.63
10,18.62,18.63,18.49,18.51,28353,18.51
11,18.51,18.56,18.44,18.46,20906,18.46
12,18.45,18.48,18.36,18.36,38404,18.36
13,18.36,18.42,18.36,18.38,32988,18.38
14,18.37,18.6,18.37,18.58,28905,18.58
15,18.57,18.59,18.525,18.525,38582,18.525
16,18.53,18.56,18.44,18.54,30956,18.54
17,18.55,18.69,18.53,18.69,49471,18.69
18,18.69,18.79,18.69,18.73,28288,18.73
19,18.72,18.79,18.66,18.76,49544,18.76
20,18.76,18.81,18.72,18.76,42178,18.76
21,18.77,18.83,18.72,18.785,36065,18.785
22,18.78,18.83,18.73,18.81,65679,18.81
23,18.8,18.84,18.74,18.795,112383,18.795
24,18.8,19.09,18.8,19.07,95831,19.07
25,19.07,19.08,18.98,19.01,104875,19.01
26,19.0,19.005,18.915,18.92,254373,18.92
27,19.03,19.03,19.03,19.03,8628,19.03
28,18.635,19.4416,18.635,18.84,23650,18.84
29,18.82,18.9,18.7001,18.83,13999,18.83
30,18.83,19.03,18.8,18.97,29059,18.97
31,18.9501,18.96,18.78,18.91,30546,18.91
32,18.9,18.95,18.85,18.94,27360,18.94
33,18.93,18.99,18.83,18.83,20611,18.83
34,18.84,19.01,18.78,18.99,44527,18.99
35,18.98,19.04,18.92,18.95,38054,18.95
36,18.98,19.1,18.93,19.05,38683,19.05
37,19.05,19.22,19.05,19.19,16594,19.19
38,19.22,19.28,19.14,19.15,17573,19.15
39,19.14,19.215,19.13,19.21,17228,19.21
40,19.21,19.23,19.125,19.16,19613,19.16
41,19.16,19.16,19.09,19.12,15589,19.12
42,19.12,19.25,19.12,19.19,13841,19.19
43,19.18,19.18,19.07,19.07,21248,19.07
44,19.08,19.13,18.98,19.1,20929,19.1
45,19.1,19.145,19.02,19.05,21287,19.05
46,19.05,19.07,18.9,18.92,94428,18.92
47,18.92,18.93,18.84,18.91,27296,18.91
48,18.93,19.03,18.93,18.9975,14710,18.9975
49,19.0,19.0501,18.92,18.99,45959,18.99
50,19.0,19.0,18.88,18.94,28540,18.94
51,18.94,18.97,18.89,18.93,21246,18.93
52,18.94,19.01,18.94,18.98,40837,18.98
53,18.99,18.99,18.88,18.89,159072,18.89
54,19.2,19.2,19.2,19.2,5571,19.2
55,19.265,19.54,19.185,19.51,42676,19.51
56,19.51,19.56,19.34,19.53,43050,19.53
57,19.53,19.61,19.33,19.52,58507,19.52
58,19.52,19.53,19.3301,19.43,48413,19.43
59,19.435,19.465,19.3,19.3,24538,19.3
60,19.2976,19.32,19.06,19.075,68559,19.075
61,19.08,19.13,18.98,19.02,38381,19.02
62,19.03,19.21,19.03,19.2,29720,19.2
63,19.2,19.21,19.09,19.17,14952,19.17
64,19.18,19.2,19.13,19.145,15151,19.145
65,19.15,19.16,19.04,19.1,28808,19.1
66,19.1001,19.125,19.07,19.0801,21114,19.0801
67,19.085,19.15,19.08,19.13,25428,19.13
68,19.1376,19.23,19.1376,19.22,15453,19.22
69,19.22,19.22,19.08,19.1,35003,19.1
70,19.1006,19.16,19.1,19.155,14092,19.155
