Date,Open,High,Low,Close,Volume,Adj Close
0,21.51,21.96,21.47,21.58,34323,21.58
1,21.59,21.69,21.46,21.5,87005,21.5
2,21.78,21.78,21.55,21.59,82172,21.59
3,21.79,21.85,21.76,21.78,49543,21.78
4,21.75,21.81,21.73,21.78,45600,21.78
5,21.68,21.7528,21.61,21.7528,67747,21.7528
6,21.45,21.69,21.45,21.68,388318,21.68
7,21.07,21.34,21.03,21.16,83524,21.16
8,21.14,21.2,20.96,21.07,292738,21.07
9,21.28,21.32,21.09,21.14,151616,21.14
10,21.3,21.34,21.2,21.28,94481,21.28
11,21.4325,21.48,21.29,21.3,135164,21.3
12,21.56,21.57,21.43,21.44,206314,21.44
13,21.59,21.6,21.47,21.55,661326,21.55
14,21.34,21.65,21.28,21.59,67643,21.59
15,21.49,21.51,21.23,21.36,253776,21.36
16,21.14,21.52,21.125,21.48,104334,21.48
17,21.04,21.14,20.985,21.14,90173,21.14
18,21.19,21.23,21.015,21.04,110589,21.04
19,21.235,21.27,21.145,21.19,87211,21.19
20,21.23,21.275,21.22,21.23,414385,21.23
21,20.86,21.045,20.8,20.95,67497,20.95
22,20.725,20.87,20.71,20.85,123992,20.85
23,20.62,20.83,20.61,20.72,80340,20.72
24,20.595,20.67,20.57,20.62,87535,20.62
25,20.85,20.88,20.595,20.6,463402,20.6
26,20.785,20.89,20.78,20.85,211395,20.85
27,20.78,20.88,20.74,20.78,743998,20.78
28,20.22,20.48,20.2,20.39,132835,20.39
29,20.24,20.24,20.02,20.22,233615,20.22
30,20.17,20.29,20.1,20.25,261955,20.25
31,19.96,20.18,19.925,20.165,190463,20.165
32,19.72,19.98,19.72,19.97,138835,19.97
33,19.84,19.865,19.72,19.72,398895,19.72
34,19.79,19.94,19.77,19.84,575750,19.84
35,19.79,20.07,19.78,19.88,107132,19.88
36,19.66,19.8,19.57,19.8,174761,19.8
37,19.74,19.74,19.565,19.65,106507,19.65
38,19.8,19.87,19.73,19.73,96262,19.73
39,19.77,19.85,19.75,19.8,139777,19.8
40,19.66,19.8,19.655,19.77,125400,19.77
