Date,Open,High,Low,Close,Volume,Adj Close
0,109.92,110.73,109.54,110.1,152541,110.1
1,110.1,110.72,109.79,110.6,302915,110.6
2,110.6,110.63,110.18,110.36,154995,110.36
3,110.33,110.46,110.21,110.46,126747,110.46
4,110.47,110.62,110.12,110.48,148377,110.48
5,110.4517,110.6474,110.27,110.55,152829,110.55
6,110.52,110.68,110.21,110.49,357295,110.49
7,109.34,109.79,108.89,109.52,87927,109.52
8,109.5,109.74,109.25,109.29,163589,109.29
9,109.28,109.71,109.22,109.22,119667,109.22
10,109.23,109.46,109.11,109.27,116220,109.27
11,109.26,109.28,108.95,109.13,115037,109.13
12,109.14,109.39,108.57,108.64,162935,108.64
13,108.63,109.19,108.58,109.06,491986,109.06
14,107.34,108.44,106.67,108.36,202526,108.36
15,108.32,108.32,107.48,107.93,203759,107.93
16,107.96,108.0,107.23,107.23,177140,107.23
17,107.2,107.325,106.72,106.76,158160,106.76
18,106.77,106.79,106.03,106.49,216565,106.49
19,106.47,106.85,106.18,106.48,213139,106.48
20,106.48,106.92,106.11,106.4401,538389,106.4401
21,107.01,107.28,106.5,107.09,175556,107.09
22,107.1425,107.2,106.4802,106.9324,185107,106.9324
23,106.97,107.13,106.42,106.92,168812,106.92
24,106.94,107.2499,106.87,107.06,125511,107.06
25,107.05,107.26,106.79,107.14,136128,107.14
26,107.19,107.44,106.56,106.61,180725,106.61
27,106.59,106.75,105.83,105.99,480572,105.99
28,106.47,106.86,105.66,105.8,110843,105.8
29,105.77,106.62,105.62,106.05,150606,106.05
30,105.99,106.47,105.6501,106.4,110250,106.4
31,106.41,106.57,106.11,106.47,125778,106.47
32,106.5,106.55,105.71,105.92,124089,105.92
33,105.92,106.48,105.81,106.09,169066,106.09
34,106.11,107.28,106.03,106.79,408918,106.79
35,107.69,107.92,107.05,107.15,187781,107.15
36,107.15,107.24,106.61,107.22,183690,107.22
37,107.22,107.25,106.59,107.05,150882,107.05
38,107.02,107.25,106.87,106.985,171784,106.985
39,106.98,107.39,106.84,107.17,159127,107.17
40,107.14,107.3,106.67,107.2,188951,107.2
41,107.19,108.2,107.03,108.03,518407,108.03
42,108.27,108.83,108.17,108.35,209501,108.35
43,108.34,108.67,107.99,108.44,302967,108.44
44,108.43,108.52,107.51,107.56,305448,107.56
45,107.555,107.81,106.87,107.03,220774,107.03
46,106.99,107.05,106.2,106.34,240381,106.34
47,106.325,106.69,105.83,106.29,393194,106.29
48,106.27,106.77,105.93,106.06,572708,106.06
49,105.94,106.78,105.83,106.41,176956,106.41
50,106.385,107.85,106.36,107.39,279796,107.39
51,107.36,107.56,106.96,107.42,124123,107.42
52,107.45,107.71,107.12,107.35,93376,107.35
53,107.34,107.9,107.31,107.64,123216,107.64
54,107.67,107.96,107.34,107.903,127477,107.903
55,107.92,108.01,106.9,106.96,435885,106.96
56,103.28,105.73,103.28,104.5,260587,104.5
57,104.5075,105.72,104.36,104.86,222579,104.86
58,104.83,105.16,104.52,104.6,236174,104.6
59,104.6,104.82,104.05,104.61,223498,104.61
60,104.59,104.64,104.185,104.62,204183,104.62
61,104.6,105.36,104.37,105.36,219930,105.36
62,105.35,105.51,104.84,105.11,355166,105.11
63,106.61,106.67,105.65,106.32,221655,106.32
64,106.31,106.36,105.58,105.75,306677,105.75
65,105.73,106.05,105.45,105.76,218890,105.76
66,105.75,105.95,105.53,105.85,244861,105.85
67,105.86,106.07,105.64,105.86,190927,105.86
68,105.84,105.88,105.28,105.51,256196,105.51
69,105.495,106.15,105.38,105.74,559789,105.74
70,104.89,104.95,104.4,104.7,198220,104.7
71,104.65,104.69,103.45,103.57,391333,103.57
72,103.6,103.78,103.06,103.13,227975,103.13
73,103.13,103.28,102.68,103.2501,289272,103.2501
74,103.3,103.49,102.69,103.46,285172,103.46
75,103.44,103.76,103.21,103.5,455316,103.5
76,103.51,104.44,103.33,103.65,861342,103.65
77,103.86,105.1,101.23,101.7,480797,101.7
78,101.7,102.24,101.44,101.62,573471,101.62
79,101.63,103.43,101.3,103.32,383433,103.32
80,103.39,103.43,102.02,103.14,327036,103.14
81,103.1,103.18,102.41,103.06,230928,103.06
82,103.05,103.16,102.35,102.85,229470,102.85
83,102.87,103.07,102.49,102.68,414992,102.68
84,103.63,103.9,102.81,103.5,184646,103.5
85,103.51,103.53,102.35,102.5699,426807,102.5699
86,102.54,102.83,102.08,102.12,344267,102.12
87,102.11,102.55,102.1,102.51,228862,102.51
88,102.52,103.11,102.47,103.03,147458,103.03
89,103.02,103.32,102.77,103.05,189721,103.05
90,103.05,103.22,102.68,103.15,484679,103.15
91,102.53,103.0,101.65,101.96,239417,101.96
92,101.94,102.305,101.55,102.2,388673,102.2
93,102.2,102.725,102.02,102.72,295778,102.72
94,102.7,103.06,102.52,103.01,234759,103.01
95,103.0,103.4,102.82,102.87,228719,102.87
96,102.87,103.12,102.46,102.55,273793,102.55
97,102.54,102.63,102.0,102.06,618067,102.06
98,102.26,103.317,102.18,103.25,170257,103.25
99,103.27,103.88,103.22,103.46,231618,103.46
100,103.46,103.71,103.29,103.5001,177511,103.5001
101,103.51,104.0,103.5,103.6901,183439,103.6901
102,103.71,103.82,103.4415,103.48,151482,103.48
103,103.47,103.48,103.119,103.237,181587,103.237
104,103.235,103.26,102.9,103.24,325897,103.24
105,103.07,103.41,102.96,103.18,73486,103.18
106,103.17,103.22,102.81,102.99,149268,102.99
107,103.01,104.455,102.98,104.4,186177,104.4
108,104.41,104.75,104.2,104.2,108311,104.2
109,104.19,104.31,103.96,104.18,119658,104.18
110,104.1799,104.37,102.99,103.17,196979,103.17
111,103.16,103.38,102.73,103.31,429404,103.31
112,103.79,104.235,103.27,104.01,100610,104.01
113,103.99,104.05,103.3,103.59,145548,103.59
114,103.58,103.91,103.06,103.06,163525,103.06
115,103.06,104.37,103.04,104.18,102918,104.18
116,104.18,104.38,103.81,104.14,114552,104.14
117,104.135,104.78,104.11,104.54,147717,104.54
118,104.54,104.817,104.35,104.41,304648,104.41
119,105.28,105.56,104.97,105.48,112302,105.48
120,105.49,105.77,105.18,105.51,178245,105.51
121,105.52,106.17,105.52,106.12,133126,106.12
122,106.145,106.344,105.98,106.12,132320,106.12
123,106.13,106.5825,105.98,106.41,126905,106.41
124,106.39,106.63,106.3301,106.56,140329,106.56
125,106.56,107.07,106.5,107.02,493811,107.02
126,106.79,107.06,106.17,106.58,159249,106.58
127,106.595,106.7,106.21,106.695,207623,106.695
128,106.68,107.04,106.46,107.03,147532,107.03
129,106.36,106.46,106.23,106.27,73759,106.27
130,106.3,106.545,106.24,106.43,133168,106.43
131,106.45,106.82,106.38,106.71,169987,106.71
132,106.73,107.35,106.6307,107.01,475283,107.01
133,105.5,106.12,105.5,105.99,125181,105.99
134,105.97,106.05,105.5,105.59,318485,105.59
135,105.6,106.31,105.555,106.0802,146938,106.0802
136,106.08,106.23,105.62,106.0,132534,106.0
137,106.01,106.254,105.82,105.91,119514,105.91
138,105.92,106.44,105.89,106.13,181462,106.13
139,106.11,106.24,105.79,106.05,325070,106.05
140,106.35,106.525,105.72,106.0,112153,106.0
141,105.96,106.025,104.74,105.26,391331,105.26
142,105.255,105.77,104.86,105.6871,175493,105.6871
143,105.73,105.88,105.31,105.62,105454,105.62
144,105.66,105.75,105.27,105.3,134366,105.3
145,105.32,107.16,105.32,107.08,197232,107.08
146,107.07,107.51,106.64,106.9,445712,106.9
147,106.76,107.57,106.69,107.19,125297,107.19
148,107.23,107.57,106.59,107.4,209550,107.4
149,107.345,107.39,106.6,106.63,134290,106.63
150,106.68,107.35,106.63,107.083,102339,107.083
151,107.08,107.46,106.91,106.94,152524,106.94
152,106.95,106.98,106.59,106.98,146335,106.98
153,106.98,107.54,106.77,107.49,383660,107.49
154,107.49,108.0,107.32,107.57,227741,107.57
155,107.59,107.96,106.75,106.84,297156,106.84
156,106.87,107.21,106.32,106.72,157518,106.72
157,106.77,106.81,106.06,106.27,350023,106.27
158,106.25,106.46,106.03,106.25,284751,106.25
159,106.28,106.315,106.05,106.12,228936,106.12
160,106.12,106.37,106.01,106.31,629470,106.31
161,105.18,106.0,105.08,105.12,346917,105.12
162,105.09,105.32,104.81,105.195,550906,105.195
163,105.25,105.3,104.29,104.54,278006,104.54
164,104.6,104.96,104.57,104.595,165643,104.595
165,104.62,104.7,103.97,104.05,316427,104.05
166,104.06,104.61,103.93,104.52,316241,104.52
167,104.52,105.95,104.46,105.61,758702,105.61
168,103.95,105.97,103.77,105.8,160338,105.8
169,105.8025,106.08,105.2698,105.31,211028,105.31
170,105.3,105.75,104.99,105.09,207442,105.09
171,105.1,105.43,104.983,105.42,123936,105.42
172,105.4,105.49,104.95,105.28,150615,105.28
173,105.27,105.83,105.26,105.738,159455,105.738
174,105.76,106.14,105.63,105.92,503639,105.92
175,106.35,107.45,105.95,107.4,162443,107.4
176,107.405,107.647,106.68,106.71,289226,106.71
177,106.77,106.84,106.19,106.59,123935,106.59
178,106.6,106.81,106.27,106.8,93139,106.8
179,106.81,106.82,106.135,106.225,112898,106.225
180,106.24,106.48,106.03,106.12,133366,106.12
181,106.13,106.37,105.6,105.69,368718,105.69
182,103.73,104.56,103.3907,104.19,194102,104.19
183,104.2,104.22,103.5,103.5475,269114,103.5475
184,103.56,103.56,103.0701,103.37,229158,103.37
185,103.4,103.63,103.22,103.57,159085,103.57
186,103.55,104.039,103.48,103.7999,134991,103.7999
187,103.78,104.46,103.2501,104.09,488629,104.09
188,104.11,104.21,103.62,103.73,468055,103.73
189,104.82,105.65,104.18,105.49,236309,105.49
190,105.47,106.19,105.2968,106.03,306659,106.03
191,106.01,106.75,106.01,106.59,147388,106.59
192,106.61,106.77,106.44,106.48,137674,106.48
193,106.48,106.64,106.36,106.6063,131538,106.6063
194,106.61,107.1,106.59,107.01,141341,107.01
195,107.005,107.58,107.0,107.49,463746,107.49
196,108.27,108.5,106.61,106.86,253077,106.86
197,106.86,107.31,106.77,106.86,267976,106.86
198,106.885,107.25,106.81,107.23,228826,107.23
199,107.22,107.45,106.96,107.12,242930,107.12
200,107.125,107.56,107.1,107.19,209455,107.19
201,107.2,107.27,106.94,107.07,243159,107.07
202,107.0899,107.39,106.99,107.32,352355,107.32
203,108.0,108.57,107.63,108.24,124933,108.24
204,108.245,108.98,108.15,108.77,251754,108.77
