Date,Open,High,Low,Close,Volume,Adj Close
0,189.88,189.97,189.88,189.95,36970,189.95
1,188.14,191.0,188.14,189.9039,38507,189.9039
2,190.7772,191.41,188.08,188.51,58648,188.51
3,193.58,193.74,190.84,190.84,78590,190.84
4,192.18,193.31,191.5701,192.8725,53225,192.8725
5,192.12,192.68,192.005,192.49,54105,192.49
6,193.29,193.3,192.11,192.11,40055,192.11
7,192.87,193.38,192.7101,193.38,38541,193.38
8,193.2,193.2699,192.49,192.8,27832,192.8
9,192.792,193.68,192.755,193.27,44805,193.27
10,192.72,193.34,192.365,193.016,29487,193.016
11,192.237,193.14,192.18,192.65,13333,192.65
12,191.14,192.19,191.0,192.05,41670,192.05
13,190.26,191.31,190.14,191.3,39269,191.3
14,190.4951,190.6399,190.11,190.327,25190,190.327
15,190.74,190.9,190.42,190.52,51258,190.52
16,191.6949,191.81,190.495,190.935,38484,190.935
17,191.2,192.0,191.2,191.675,35748,191.675
18,190.71,191.46,190.395,191.22,16138,191.22
19,191.45,191.66,190.71,190.71,17271,190.71
20,192.23,192.37,191.55,191.67,82637,191.67
21,192.21,192.88,192.14,192.146,30819,192.146
22,192.35,192.44,192.05,192.29,37922,192.29
23,192.045,192.71,191.95,192.35,35477,192.35
24,191.56,192.16,191.37,192.02,13919,192.02
25,191.6,191.96,191.42,191.7899,10440,191.7899
26,190.735,191.67,190.65,191.53,12186,191.53
27,190.6,190.95,190.44,190.8,38991,190.8
28,190.44,190.88,190.4,190.7235,19567,190.7235
29,191.04,191.6899,190.4,190.54,24130,190.54
30,190.93,191.27,190.71,191.0452,10394,191.0452
31,191.4372,191.4372,190.81,190.96,20815,190.96
32,190.85,191.4899,190.74,191.46,25892,191.46
33,191.45,191.47,190.88,190.89,8061,190.89
34,191.69,191.96,191.35,191.46,56548,191.46
35,191.49,191.61,191.0601,191.5,14837,191.5
36,192.02,192.33,191.51,191.51,45703,191.51
37,191.65,192.21,191.58,192.05,12815,192.05
38,191.832,191.93,191.23,191.7079,22993,191.7079
39,191.91,192.2,191.78,191.83,13849,191.83
40,191.68,191.9799,191.12,191.9799,13600,191.9799
41,191.43,191.6719,191.24,191.53,8070,191.53
42,191.313,191.51,191.23,191.34,8136,191.34
43,191.265,191.67,191.18,191.412,8184,191.412
44,190.84,191.32,190.84,191.32,20329,191.32
45,190.75,191.2473,190.67,190.82,23275,190.82
46,191.09,191.19,190.5,190.9799,29164,190.9799
47,190.85,191.08,190.76,190.89,3930,190.89
48,190.26,190.85,190.22,190.85,20075,190.85
49,190.06,190.5824,190.0201,190.4,7944,190.4
50,189.92,190.44,189.86,190.04,17866,190.04
51,190.12,190.4299,189.8,189.92,7320,189.92
52,190.255,190.38,190.09,190.09,6992,190.09
53,189.89,190.2929,189.52,190.2333,11097,190.2333
54,189.3032,190.0399,189.0,189.86,28253,189.86
55,189.16,189.65,188.93,189.2048,22749,189.2048
56,188.66,189.161,188.66,189.12,14938,189.12
