Date,Open,High,Low,Close,Volume,Adj Close
0,16.16,16.33,15.87,16.0115,2478238,16.0115
1,16.0184,16.18,15.76,15.78,2192337,15.78
2,15.78,15.8,15.53,15.77,2341676,15.77
3,15.76,15.79,15.48,15.52,1898237,15.52
4,15.52,15.75,15.49,15.66,1246187,15.66
5,15.655,15.85,15.59,15.6,1464972,15.6
6,15.59,15.9,15.59,15.823,992751,15.823
7,15.82,16.04,15.78,16.0301,1345230,16.0301
8,16.0355,16.32,16.02,16.135,2440539,16.135
9,16.1353,16.15,15.8487,15.98,1079006,15.98
10,15.98,16.21,15.975,16.19,996974,16.19
11,16.19,16.32,16.12,16.175,1171974,16.175
12,16.1792,16.45,16.17,16.32,1699948,16.32
13,16.32,16.95,16.26,16.845,2323007,16.845
14,16.84,17.06,16.73,17.0,2454022,17.0
15,17.0,17.33,16.7301,17.3,2428991,17.3
16,17.291,18.31,17.291,17.76,7983207,17.76
17,17.75,19.04,17.55,17.69,7542630,17.69
18,17.68,17.79,17.25,17.27,6799928,17.27
19,17.2766,17.73,17.024,17.5099,3426651,17.5099
20,17.51,17.56,17.1,17.44,1681944,17.44
21,17.435,17.65,17.18,17.45,1668094,17.45
22,17.46,17.85,17.42,17.5822,1740970,17.5822
23,17.586,17.96,17.531,17.6,1976959,17.6
24,17.6,17.71,17.3278,17.44,1813789,17.44
25,17.43,17.5,17.32,17.3878,2801235,17.3878
26,17.44,17.44,17.41,17.42,9052,17.42
27,17.42,17.49,16.92,16.96,2727112,16.96
28,16.955,17.2972,16.8,17.07,1722680,17.07
29,17.0701,17.53,17.04,17.485,1659312,17.485
30,17.48,17.68,17.125,17.4,1122828,17.4
31,17.4001,17.5,17.255,17.488,768030,17.488
32,17.49,17.66,17.46,17.4627,941224,17.4627
33,17.47,17.77,17.39,17.5956,887787,17.5956
34,17.58,17.645,17.39,17.46,647465,17.46
35,17.466,17.72,17.415,17.565,642599,17.565
36,17.5661,17.915,17.56,17.789,950757,17.789
37,17.8,18.2,17.8,17.94,1478833,17.94
38,17.95,18.16,17.94,18.04,862048,18.04
39,18.04,18.32,18.0,18.12,996507,18.12
40,18.12,18.18,17.96,17.98,661448,17.98
41,17.97,18.15,17.95,18.04,603072,18.04
42,18.03,18.12,17.76,17.78,614781,17.78
43,17.78,17.84,17.66,17.79,587157,17.79
44,17.7801,17.95,17.765,17.86,455811,17.86
45,17.866,17.88,17.6,17.66,694226,17.66
46,17.651,17.7,17.5,17.63,1156860,17.63
47,17.6399,18.0386,17.63,17.98,765640,17.98
48,17.98,18.07,17.84,18.0,512761,18.0
49,18.0,18.0,17.87,17.95,633025,17.95
50,17.95,17.97,17.84,17.86,490497,17.86
51,17.86,17.99,17.86,17.92,743142,17.92
52,17.91,17.91,17.81,17.82,1266681,17.82
53,18.29,18.43,18.16,18.2799,1327450,18.2799
54,18.27,18.51,18.15,18.436,1109595,18.436
55,18.44,18.55,18.305,18.545,973418,18.545
56,18.54,18.56,18.18,18.24,1061175,18.24
57,18.25,18.37,17.97,18.04,1240998,18.04
58,18.05,18.14,17.881,17.89,891513,17.89
59,17.881,17.94,17.73,17.77,842005,17.77
60,17.7699,18.0,17.76,17.96,748508,17.96
61,17.96,18.03,17.81,17.87,423804,17.87
62,17.86,17.925,17.75,17.805,567189,17.805
63,17.8,17.8678,17.74,17.85,335490,17.85
64,17.845,17.91,17.795,17.8925,239252,17.8925
65,17.9,17.97,17.82,17.89,252076,17.89
66,17.89,17.93,17.84,17.918,181684,17.918
67,17.911,17.95,17.81,17.945,336200,17.945
68,17.949,17.979,17.88,17.88,224274,17.88
69,17.885,17.9166,17.85,17.88,157221,17.88
70,17.89,17.945,17.86,17.945,166476,17.945
71,17.94,18.0,17.85,17.98,308209,17.98
72,17.98,17.995,17.8801,17.92,211931,17.92
73,17.92,17.9399,17.8075,17.85,250476,17.85
74,17.84,17.9166,17.8361,17.885,193888,17.885
75,17.883,17.93,17.815,17.85,276102,17.85
76,17.855,17.94,17.82,17.92,245506,17.92
77,17.93,17.96,17.87,17.955,414219,17.955
78,17.96,17.96,17.82,17.84,1678872,17.84
79,16.8,16.8,16.79,16.79,2748,16.79
80,16.8,17.09,16.51,16.8399,5542217,16.8399
81,16.8399,17.08,16.71,16.855,2835271,16.855
82,16.855,17.29,16.78,17.125,3552480,17.125
83,17.12,17.45,17.09,17.285,2234332,17.285
84,17.295,17.36,17.12,17.25,1363211,17.25
85,17.255,17.31,17.05,17.12,1004660,17.12
86,17.12,17.14,17.05,17.09,921424,17.09
87,17.08,17.22,17.07,17.12,608513,17.12
88,17.125,17.24,17.07,17.08,845109,17.08
89,17.08,17.14,17.06,17.1,704341,17.1
90,17.11,17.17,17.04,17.083,634020,17.083
91,17.0866,17.1924,17.02,17.1,579381,17.1
92,17.09,17.19,17.09,17.169,245447,17.169
93,17.17,17.41,17.17,17.245,1061063,17.245
94,17.245,17.34,17.245,17.32,393628,17.32
95,17.33,17.35,17.21,17.235,331562,17.235
