Date,Open,High,Low,Close,Volume,Adj Close
0,35.71,35.71,35.71,35.71,5500,35.71
1,35.7725,35.8,35.68,35.72,929093,35.72
2,35.8443,35.85,35.77,35.78,519365,35.78
3,35.8301,35.84,35.76,35.84,510198,35.84
4,35.845,35.85,35.77,35.8362,390103,35.8362
5,35.83,35.88,35.83,35.845,430981,35.845
6,35.8,35.855,35.7799,35.8368,353306,35.8368
7,35.8,35.83,35.75,35.8099,287901,35.8099
8,35.76,35.82,35.75,35.7951,221936,35.7951
9,35.765,35.8,35.74,35.76,242269,35.76
10,35.8,35.81,35.75,35.77,230090,35.77
11,35.8432,35.86,35.8068,35.809,201868,35.809
12,35.81,35.85,35.81,35.845,317820,35.845
13,35.825,35.83,35.79,35.82,269225,35.82
14,35.8501,35.86,35.81,35.82,428161,35.82
15,35.88,35.88,35.85,35.86,409012,35.86
16,35.855,35.88,35.82,35.88,191411,35.88
17,35.85,35.87,35.84,35.85,230592,35.85
18,35.8522,35.87,35.84,35.849,235338,35.849
19,35.88,35.88,35.84,35.86,240115,35.86
20,35.9,35.91,35.87,35.88,414060,35.88
21,35.905,35.92,35.89,35.89,240219,35.89
22,35.89,35.91,35.89,35.905,188585,35.905
23,35.919,35.92,35.89,35.89,313837,35.89
24,35.9028,35.92,35.88,35.91,381765,35.91
25,35.925,35.93,35.89,35.91,509775,35.91
26,35.9235,35.94,35.92,35.93,322922,35.93
27,35.9142,35.9228,35.86,35.92,310112,35.92
28,35.97,35.97,35.911,35.92,483887,35.92
29,35.98,35.99,35.95,35.97,610829,35.97
30,35.98,36.0,35.97,35.98,236750,35.98
31,35.985,36.0,35.98,35.982,280481,35.982
32,35.98,36.0,35.97,35.985,232816,35.985
33,35.99,36.0,35.98,35.98,250630,35.98
34,36.0,36.01,35.98,35.99,1086069,35.99
35,36.0,36.0,35.99,36.0,351308,36.0
36,36.0,36.0,35.99,36.0,330138,36.0
37,35.995,36.0,35.98,36.0,277756,36.0
38,35.965,36.0,35.96,36.0,723342,36.0
39,36.0165,36.03,35.96,35.96,620364,35.96
40,36.027,36.05,36.01,36.01,551590,36.01
41,36.0,36.03,36.0,36.025,255649,36.025
42,36.04,36.04,36.0,36.005,355306,36.005
43,36.01,36.04,36.0,36.0301,290481,36.0301
44,35.99,36.01,35.98,36.002,340086,36.002
45,35.9899,36.01,35.98,35.99,225174,35.99
46,36.0,36.0,35.9835,35.985,197542,35.985
47,35.9851,36.0,35.98,35.9964,218269,35.9964
48,35.99,36.0,35.97,35.99,344151,35.99
49,35.98,35.995,35.95,35.99,347027,35.99
50,35.97,36.0,35.97,35.97,187526,35.97
51,36.0,36.0,35.97,35.9799,290783,35.9799
52,36.028,36.03,35.99,36.0,274566,36.0
53,35.995,36.03,35.98,36.03,404580,36.03
54,36.0,36.02,35.99,35.9942,281211,35.9942
55,35.961,36.01,35.96,36.0065,406251,36.0065
56,36.01,36.01,35.97,35.975,194897,35.975
57,36.01,36.01,36.0,36.01,243726,36.01
58,35.995,36.01,35.99,36.0,278930,36.0
59,35.98,36.01,35.98,36.0,320363,36.0
60,36.02,36.03,35.985,35.985,345325,35.985
61,36.03,36.03,35.99,36.01,285971,36.01
62,36.035,36.04,36.02,36.03,282708,36.03
63,36.05,36.05,36.03,36.035,278333,36.035
64,36.05,36.06,36.04,36.04,372419,36.04
65,36.025,36.05,36.02,36.045,291852,36.045
66,36.045,36.05,36.01,36.02,470044,36.02
67,36.035,36.05,36.0,36.05,386013,36.05
68,36.029,36.05,36.02,36.04,374568,36.04
69,36.02,36.03,36.0,36.025,343337,36.025
70,36.015,36.02,36.0,36.02,300096,36.02
71,36.0004,36.02,35.98,36.015,574492,36.015
72,36.025,36.04,36.0031,36.01,454853,36.01
73,36.0132,36.04,36.01,36.02,527000,36.02
74,35.985,36.03,35.98,36.015,733276,36.015
75,36.03,36.04,35.98,35.99,766776,35.99
76,35.999,36.04,35.97,36.035,932690,36.035
77,35.98,36.005,35.95,36.005,1383824,36.005
78,36.04,36.04,35.97,35.98,3347330,35.98
79,36.05,36.05,35.99,36.04,6475,36.04
80,35.99,36.11,35.985,36.05,1896583,36.05
81,36.0899,36.09,35.8828,35.985,461596,35.985
82,36.118,36.12,35.995,36.0835,447403,36.0835
83,36.15,36.15,36.11,36.11,332017,36.11
84,36.0961,36.17,36.08,36.145,290844,36.145
85,36.085,36.12,36.08,36.09,305258,36.09
86,36.0935,36.11,36.015,36.085,655451,36.085
87,36.059,36.14,36.05,36.09,383565,36.09
88,36.09,36.13,36.05,36.06,337988,36.06
89,36.07,36.15,36.07,36.09,347285,36.09
90,36.1,36.12,36.07,36.08,364328,36.08
91,36.08,36.13,36.05,36.095,386349,36.095
92,36.075,36.1,36.06,36.09,229201,36.09
93,36.08,36.1,36.07,36.075,358535,36.075
94,36.13,36.13,36.071,36.08,321688,36.08
95,36.085,36.14,36.07,36.135,399065,36.135
96,36.045,36.12,36.03,36.0801,406266,36.0801
97,36.07,36.08,36.03,36.045,265865,36.045
98,36.0025,36.08,36.0,36.07,405166,36.07
99,36.0135,36.05,35.97,36.0088,277739,36.0088
100,36.07,36.08,36.0,36.01,301516,36.01
101,36.1,36.1,36.04,36.08,289742,36.08
102,36.1,36.11,36.055,36.0956,290243,36.0956
103,36.18,36.18,36.09,36.095,407124,36.095
104,36.22,36.23,36.175,36.175,411568,36.175
105,36.2399,36.25,36.2,36.215,330278,36.215
106,36.19,36.24,36.18,36.235,261890,36.235
107,36.233,36.25,36.19,36.19,204387,36.19
108,36.26,36.26,36.23,36.235,315296,36.235
109,36.29,36.3,36.2539,36.26,306353,36.26
110,36.211,36.29,36.211,36.2899,388604,36.2899
111,36.25,36.25,36.18,36.215,626016,36.215
112,36.28,36.3,36.245,36.25,311817,36.25
113,36.25,36.29,36.205,36.28,199542,36.28
114,36.2499,36.28,36.21,36.2401,325925,36.2401
115,36.25,36.25,36.24,36.25,16954,36.25
116,36.22,36.28,36.22,36.25,217842,36.25
117,36.23,36.24,36.2,36.22,199087,36.22
118,36.25,36.28,36.232,36.232,208828,36.232
119,36.32,36.32,36.24,36.2419,252726,36.2419
120,36.27,36.33,36.27,36.32,315760,36.32
121,36.23,36.28,36.22,36.271,360575,36.271
122,36.2937,36.3,36.2,36.235,302476,36.235
123,36.2601,36.3,36.25,36.295,172131,36.295
124,36.31,36.31,36.24,36.2637,327453,36.2637
125,36.26,36.32,36.26,36.305,197066,36.305
126,36.28,36.29,36.26,36.26,234936,36.26
127,36.295,36.3,36.26,36.28,201388,36.28
128,36.329,36.33,36.29,36.3,292109,36.3
129,36.315,36.33,36.27,36.32,327485,36.32
130,36.36,36.39,36.31,36.31,459161,36.31
131,36.38,36.4,36.35,36.36,236484,36.36
132,36.355,36.39,36.32,36.385,263485,36.385
133,36.35,36.38,36.34,36.35,306116,36.35
134,36.35,36.36,36.34,36.34,247027,36.34
135,36.35,36.36,36.32,36.35,365527,36.35
136,36.335,36.36,36.315,36.34,275106,36.34
137,36.3435,36.35,36.31,36.34,259238,36.34
138,36.375,36.38,36.33,36.3425,337516,36.3425
139,36.355,36.38,36.34,36.3739,313975,36.3739
140,36.3499,36.37,36.34,36.355,305439,36.355
141,36.33,36.35,36.29,36.345,370077,36.345
142,36.3525,36.36,36.335,36.335,182256,36.335
143,36.3239,36.36,36.31,36.355,366138,36.355
144,36.335,36.34,36.31,36.32,175168,36.32
145,36.31,36.35,36.31,36.335,311613,36.335
146,36.27,36.34,36.27,36.31,423713,36.31
147,36.245,36.28,36.22,36.277,459061,36.277
148,36.274,36.275,36.23,36.25,298339,36.25
149,36.3,36.32,36.24,36.28,745543,36.28
150,36.35,36.35,36.29,36.3,303795,36.3
151,36.345,36.35,36.31,36.346,349034,36.346
152,36.33,36.35,36.33,36.35,355842,36.35
153,36.29,36.36,36.29,36.335,601447,36.335
154,36.32,36.34,36.29,36.2956,411156,36.2956
155,36.25,36.325,36.24,36.32,511229,36.32
156,36.2,36.27,36.19,36.255,734829,36.255
157,36.15,36.23,36.14,36.205,1330742,36.205
158,36.0474,36.18,35.98,36.14,1234407,36.14
159,35.89,36.04,35.85,36.035,483905,36.035
160,35.865,35.89,35.79,35.89,577579,35.89
161,35.83,35.9158,35.82,35.865,449354,35.865
162,35.92,35.935,35.8071,35.825,361190,35.825
163,35.8499,35.95,35.84,35.91,404456,35.91
164,35.9,35.9,35.83,35.8441,333940,35.8441
165,35.925,35.98,35.89,35.898,433582,35.898
166,35.89,35.93,35.8872,35.93,313599,35.93
167,35.93,35.93,35.86,35.886,212787,35.886
168,35.94,35.97,35.93,35.93,277566,35.93
