Date,Open,High,Low,Close,Volume,Adj Close
0,34.54,34.65,34.39,34.56,2893608,34.56
1,34.45,34.56,34.43,34.545,2198630,34.545
2,34.555,34.57,34.42,34.4499,2309530,34.4499
3,34.625,34.66,34.54,34.56,1599763,34.56
4,34.56,34.625,34.52,34.62,1279560,34.62
5,34.435,34.58,34.41,34.5636,1724935,34.5636
6,34.4,34.51,34.39,34.43,4715198,34.43
7,34.1,34.24,34.02,34.08,4068927,34.08
8,34.07,34.22,34.0,34.105,4224006,34.105
9,34.04,34.08,34.01,34.07,3446446,34.07
10,34.17,34.18,34.01,34.0301,2569307,34.0301
11,34.15,34.24,34.12,34.17,2539519,34.17
12,34.1399,34.18,34.09,34.15,2740945,34.15
13,34.35,34.35,34.05,34.13,6237138,34.13
14,34.25,34.44,34.22,34.35,2655368,34.35
15,34.31,34.31,34.12,34.255,3432048,34.255
16,34.4,34.44,34.24,34.31,3289435,34.31
17,34.385,34.41,34.31,34.4,2380744,34.4
18,34.516,34.5599,34.38,34.38,2918618,34.38
19,34.584,34.65,34.5,34.5128,3001747,34.5128
20,34.59,34.69,34.51,34.58,8416711,34.58
21,34.01,34.0361,33.72,33.82,4679657,33.82
22,34.045,34.21,33.98,34.02,3875160,34.02
23,34.02,34.19,33.96,34.045,2498316,34.045
24,33.9944,34.09,33.98,34.02,1469567,34.02
25,33.95,34.02,33.945,33.99,1990281,33.99
26,33.955,34.11,33.915,33.94,4067372,33.94
27,34.07,34.13,33.94,33.96,4934073,33.96
28,33.91,34.0,33.62,33.62,2994199,33.62
29,34.03,34.0961,33.9,33.91,2790130,33.91
30,33.97,34.08,33.96,34.02,3075556,34.02
31,33.89,34.03,33.85,33.97,2195192,33.97
32,33.69,33.89,33.67,33.885,2942892,33.885
33,33.71,33.84,33.63,33.6917,3261724,33.6917
34,33.53,33.78,33.51,33.71,11251864,33.71
35,33.865,33.88,33.65,33.77,2864476,33.77
36,33.74,33.865,33.655,33.86,2830319,33.86
37,33.7,33.78,33.54,33.7499,2694846,33.7499
38,33.8799,33.91,33.685,33.6922,2270254,33.6922
39,33.87,33.96,33.825,33.875,3164400,33.875
40,33.73,33.94,33.72,33.879,2618302,33.879
41,33.53,33.819,33.41,33.73,7488563,33.73
42,33.7,33.79,33.6,33.76,2504412,33.76
43,33.57,33.73,33.555,33.69,2648667,33.69
44,33.81,33.82,33.535,33.565,3035270,33.565
45,33.7225,33.85,33.62,33.81,2460275,33.81
46,33.6499,33.76,33.6,33.73,2274004,33.73
47,33.795,33.84,33.6425,33.645,3641210,33.645
48,33.96,34.1,33.725,33.795,7058900,33.795
49,34.095,34.19,34.03,34.1,3252917,34.1
50,33.965,34.127,33.85,34.09,4095821,34.09
51,33.88,34.0,33.665,33.965,3401648,33.965
52,33.8,33.89,33.7048,33.88,1876910,33.88
53,33.735,33.86,33.69,33.8,2542844,33.8
54,33.8299,33.88,33.66,33.73,2292481,33.73
55,33.91,33.99,33.76,33.83,4176912,33.83
56,34.145,34.18,33.92,34.01,3131984,34.01
57,34.25,34.29,34.12,34.14,4909210,34.14
58,34.13,34.2963,34.11,34.24,4484265,34.24
59,34.06,34.18,34.03,34.13,3280623,34.13
60,33.86,34.07,33.85,34.06,3263956,34.06
61,33.805,34.0261,33.77,33.86,4653243,33.86
62,33.76,33.95,33.73,33.8034,8755967,33.8034
63,34.075,34.16,33.75,33.88,3363596,33.88
64,34.425,34.53,34.045,34.075,7294187,34.075
65,34.32,34.45,34.23,34.43,4617283,34.43
66,34.27,34.39,34.25,34.3299,2811109,34.3299
67,34.42,34.43,34.26,34.2765,2122048,34.2765
68,34.485,34.5,34.37,34.42,3205049,34.42
69,34.29,34.55,34.22,34.49,7609283,34.49
70,34.1505,34.34,33.61,33.66,8346940,33.66
71,34.02,34.21,33.96,34.1501,5350214,34.1501
72,33.97,34.0999,33.9225,34.02,4002603,34.02
73,33.87,33.995,33.77,33.97,3866886,33.97
74,33.87,33.92,33.77,33.88,4920049,33.88
75,34.055,34.06,33.84,33.87,4230297,33.87
76,34.005,34.05,33.92,34.04,6146881,34.04
77,34.21,34.39,34.16,34.21,3349780,34.21
78,34.18,34.39,34.11,34.21,4736810,34.21
79,34.3735,34.42,34.16,34.18,3868925,34.18
80,34.49,34.5,34.345,34.38,4865563,34.38
81,34.47,34.5,34.4,34.5,3035182,34.5
82,34.34,34.48,34.29,34.47,3953975,34.47
83,34.51,34.6,34.31,34.34,9359276,34.34
84,34.155,34.35,34.1,34.14,4598769,34.14
85,33.886,34.23,33.88,34.16,6436742,34.16
86,33.825,33.96,33.75,33.885,6670421,33.885
87,33.7575,33.83,33.43,33.82,7040504,33.82
88,33.8,33.87,33.61,33.7585,5286111,33.7585
89,33.8,33.87,33.715,33.796,5152676,33.796
90,33.9,34.0761,33.74,33.7955,11129544,33.7955
91,33.9347,34.25,33.79,33.99,3006103,33.99
92,34.39,34.4,33.92,33.93,5043341,33.93
93,34.6275,34.64,34.34,34.39,5918573,34.39
94,34.77,34.88,34.6201,34.625,6298340,34.625
95,34.62,34.83,34.455,34.77,4602192,34.77
96,34.6348,34.67,34.4,34.6104,4765182,34.6104
97,34.53,34.67,34.48,34.632,6820312,34.632
98,34.92,34.98,34.7,34.88,3789637,34.88
99,34.98,34.99,34.86,34.9101,4196408,34.9101
100,34.87,35.05,34.8,34.985,5271246,34.985
101,34.995,35.0,34.86,34.865,2622609,34.865
102,35.125,35.13,34.97,34.99,2964157,34.99
103,35.1699,35.18,35.05,35.1201,4567133,35.1201
104,35.14,35.17,35.07,35.16,6073755,35.16
105,34.88,35.2,34.77,35.19,3385072,35.19
106,35.1,35.13,34.86,34.87,3669434,34.87
107,35.26,35.28,35.03,35.105,3499567,35.105
108,35.26,35.27,35.13,35.26,3605559,35.26
109,35.19,35.43,35.18,35.25,3372405,35.25
110,35.135,35.28,35.11,35.185,2580945,35.185
111,35.03,35.14,34.93,35.13,6554890,35.13
112,35.005,35.26,34.93,35.03,4574747,35.03
113,35.135,35.31,35.005,35.0099,5094090,35.0099
114,35.04,35.31,34.98,35.15,4364057,35.15
115,35.304,35.31,35.02,35.04,3555015,35.04
116,35.415,35.45,35.25,35.305,3484700,35.305
117,35.52,35.57,35.38,35.415,6840097,35.415
118,35.42,35.53,35.32,35.52,5049394,35.52
119,35.33,35.35,34.9,34.99,7983209,34.99
120,35.08,35.34,35.02,35.34,6276730,35.34
121,35.4401,35.46,34.95,35.08,6105288,35.08
122,35.5575,35.61,35.4,35.448,5021818,35.448
123,35.72,35.74,35.53,35.5561,4734325,35.5561
124,35.315,35.8,35.3,35.72,6606723,35.72
125,35.49,35.52,35.11,35.31,8711475,35.31
126,35.49,35.79,35.49,35.77,2345485,35.77
127,35.374,35.56,35.24,35.5,3821025,35.5
128,35.24,35.48,35.21,35.37,2528359,35.37
129,35.5,35.61,35.245,35.25,2437245,35.25
130,35.52,35.675,35.4,35.5,2115552,35.5
131,35.59,35.69,35.53,35.53,3168976,35.53
132,35.53,35.7,35.53,35.6,7117577,35.6
133,35.8,35.88,35.68,35.71,3138546,35.71
134,35.8522,35.88,35.74,35.8099,3265623,35.8099
135,35.98,36.0,35.84,35.86,4252856,35.86
136,36.04,36.05,35.96,35.982,5315449,35.982
137,36.0,36.04,35.95,36.0301,3401396,36.0301
138,36.045,36.06,35.96,36.0065,3770819,36.0065
139,36.04,36.05,35.95,36.05,10124255,36.05
140,36.085,36.17,35.8828,36.04,3740176,36.04
141,36.07,36.15,36.015,36.085,4455586,36.085
142,36.29,36.3,35.97,36.07,3801302,36.07
143,36.23,36.33,36.2,36.25,1571772,36.25
144,36.35,36.4,36.2,36.235,3320290,36.235
145,36.31,36.38,36.29,36.34,3509080,36.34
146,36.15,36.36,36.14,36.31,6524730,36.31
147,35.8499,36.18,35.79,36.14,3510891,36.14
148,35.975,36.0,35.83,35.8441,3843583,35.8441
149,35.96,36.1,35.92,35.97,2875885,35.97
150,36.03,36.04,35.9,35.96,2186263,35.96
151,36.02,36.195,36.0072,36.025,3258301,36.025
152,36.03,36.16,35.97,36.03,3339053,36.03
153,36.05,36.08,35.925,36.0299,5691857,36.0299
154,36.115,36.2,36.05,36.12,3213495,36.12
155,36.11,36.15,35.94,36.11,5227519,36.11
156,36.16,36.2,35.9,36.105,4340467,36.105
157,36.235,36.25,36.1063,36.15,2596461,36.15
158,36.26,36.35,36.22,36.2392,2892417,36.2392
159,36.7701,36.78,36.255,36.2659,6512301,36.2659
160,36.73,36.8,36.59,36.775,9768106,36.775
161,36.7,36.82,36.58,36.73,2808768,36.73
162,36.495,36.73,36.46,36.705,5730575,36.705
163,36.285,36.53,36.27,36.495,4064700,36.495
