Date,Open,High,Low,Close,Volume,Adj Close
0,114.67,115.15,114.46,114.62,202902,114.62
1,114.62,115.07,114.56,114.895,186633,114.895
2,114.86,115.04,114.56,114.855,152782,114.855
3,114.83,115.05,114.4,114.66,122714,114.66
4,114.69,114.99,114.5801,114.75,90983,114.75
5,114.77,114.93,114.55,114.72,87956,114.72
6,114.72,114.78,114.36,114.505,112909,114.505
7,114.51,114.747,114.395,114.46,158834,114.46
8,114.46,114.5399,113.94,114.185,123876,114.185
9,114.19,114.63,114.02,114.44,103105,114.44
10,114.4275,114.9486,114.4275,114.92,68917,114.92
11,114.9,115.06,114.7001,115.02,58090,115.02
12,115.04,115.04,114.54,114.59,57735,114.59
13,114.59,114.77,114.58,114.7,58291,114.7
14,114.66,114.72,114.42,114.55,75498,114.55
15,114.57,114.6902,114.55,114.68,61201,114.68
16,114.69,114.725,114.5435,114.63,59232,114.63
17,114.63,114.75,114.6,114.68,58435,114.68
18,114.67,114.87,114.62,114.87,84657,114.87
19,114.8545,114.87,114.44,114.47,56823,114.47
20,114.45,114.52,114.16,114.29,96725,114.29
21,114.27,114.4,114.17,114.25,76467,114.25
22,114.26,114.4,113.97,114.05,96984,114.05
23,114.05,114.19,113.89,114.1677,106257,114.1677
24,114.17,114.38,113.96,114.36,167832,114.36
25,114.39,114.41,114.16,114.32,300639,114.32
26,114.52,115.31,114.52,115.31,300,115.31
27,115.1,115.1,113.82,114.27,165453,114.27
28,114.37,114.44,112.85,113.36,132276,113.36
29,113.34,113.35,112.89,112.93,73311,112.93
30,112.97,113.81,112.86,113.76,67894,113.76
31,113.79,113.85,113.59,113.82,61666,113.82
32,113.79,114.05,113.59,113.59,48202,113.59
33,113.61,113.745,113.51,113.65,56197,113.65
34,113.63,113.87,113.5033,113.59,48016,113.59
35,113.61,113.94,113.44,113.67,49964,113.67
36,113.7,114.05,113.63,113.86,38056,113.86
37,113.84,113.89,113.67,113.7,40918,113.7
38,113.71,114.05,113.66,114.01,83687,114.01
39,113.994,114.25,113.91,114.18,65753,114.18
40,114.21,114.21,113.86,114.05,47439,114.05
41,114.09,114.312,114.01,114.25,67901,114.25
42,114.25,114.26,114.06,114.0899,50432,114.0899
43,114.09,114.24,114.07,114.085,93759,114.085
44,114.08,114.08,113.83,113.84,50412,113.84
45,113.845,114.02,113.68,113.94,76039,113.94
46,114.0,114.0,113.74,113.8251,57585,113.8251
47,113.845,113.92,113.72,113.83,60421,113.83
48,113.8095,114.12,113.8095,114.09,93631,114.09
49,114.07,114.19,113.6,113.73,98258,113.73
50,113.75,113.8,113.34,113.55,113701,113.55
51,113.53,113.68,113.265,113.325,169497,113.325
52,113.34,113.65,113.28,113.43,272426,113.43
53,112.91,113.45,112.25,112.73,237051,112.73
54,112.72,113.06,111.76,112.18,111248,112.18
55,112.27,112.8599,112.15,112.76,220257,112.76
