Date,Open,High,Low,Close,Volume,Adj Close
0,41.47,41.72,41.44,41.52,521150,41.52
1,41.52,41.53,41.29,41.5,1328324,41.5
2,41.5,41.51,41.3,41.395,760081,41.395
3,41.39,41.47,41.19,41.47,477327,41.47
4,41.46,41.72,41.45,41.64,688329,41.64
5,41.64,41.71,41.565,41.64,712927,41.64
6,41.64,41.68,41.46,41.68,1615658,41.68
7,41.04,41.2165,40.81,41.14,467542,41.14
8,41.13,41.32,41.09,41.32,894583,41.32
9,41.31,41.57,41.21,41.23,769031,41.23
10,41.23,41.45,41.15,41.28,618411,41.28
11,41.27,41.31,41.18,41.23,356763,41.23
12,41.2306,41.37,40.96,40.98,634820,40.98
13,40.97,41.12,40.95,41.07,1727697,41.07
14,40.31,40.64,40.23,40.58,692787,40.58
15,40.585,40.675,40.37,40.6,777414,40.6
16,40.59,40.62,40.37,40.37,710183,40.37
17,40.37,40.48,40.28,40.3101,588250,40.3101
18,40.318,40.32,39.89,40.1,795053,40.1
19,40.1,40.35,40.09,40.29,2040330,40.29
20,40.3,40.45,40.05,40.26,2883310,40.26
21,40.64,40.71,40.29,40.42,807799,40.42
22,40.41,40.42,40.11,40.205,1148863,40.205
23,40.21,40.31,40.0,40.19,1021884,40.19
24,40.2,40.39,40.17,40.32,708873,40.32
25,40.31,40.34,40.15,40.2,492496,40.2
26,40.205,40.28,40.07,40.14,900840,40.14
27,40.14,40.17,39.62,39.71,2148651,39.71
28,40.01,40.11,39.81,39.875,528044,39.875
29,39.87,40.1,39.75,39.815,867366,39.815
30,39.81,39.9276,39.69,39.87,581957,39.87
31,39.87,39.9,39.7,39.75,618657,39.75
32,39.76,39.825,39.48,39.54,594276,39.54
33,39.5409,39.83,39.49,39.73,914983,39.73
34,39.73,40.025,39.54,39.86,1582654,39.86
35,40.4,40.445,40.19,40.4,688159,40.4
36,40.4,40.405,40.0,40.12,942242,40.12
37,40.115,40.15,39.78,39.94,817969,39.94
38,39.93,40.03,39.69,39.815,576855,39.815
39,39.82,39.98,39.75,39.88,607020,39.88
40,39.89,40.21,39.79,40.16,1288760,40.16
41,40.16,40.66,40.04,40.62,3101089,40.62
42,40.92,41.04,40.51,40.58,1135354,40.58
43,40.57,40.59,40.2501,40.42,1246843,40.42
44,40.42,40.42,39.925,39.95,799504,39.95
45,39.96,40.0,39.6858,39.72,816361,39.72
46,39.72,39.795,39.48,39.52,1318226,39.52
47,39.52,39.63,38.95,39.2,1352914,39.2
48,39.21,39.38,38.95,39.02,3476029,39.02
49,39.6,39.65,39.11,39.26,981140,39.26
50,39.27,40.21,39.12,39.87,1746595,39.87
51,39.87,39.93,39.6146,39.77,1094281,39.77
52,39.78,39.98,39.65,39.82,1014421,39.82
53,39.82,40.16,39.805,40.02,930768,40.02
54,40.02,40.08,39.845,40.05,1291044,40.05
55,40.052,40.1,39.81,39.91,4372774,39.91
56,38.01,39.44,37.97,39.105,3001908,39.105
57,39.07,39.26,38.81,39.02,1893743,39.02
58,39.02,39.1,38.69,38.79,1123534,38.79
59,38.79,38.87,38.49,38.79,819393,38.79
60,38.79,38.95,38.68,38.71,1103170,38.71
61,38.72,39.08,38.64,39.075,1040112,39.075
62,39.07,39.11,38.7,39.05,2432521,39.05
63,39.47,39.67,39.36,39.52,1070956,39.52
64,39.515,39.87,39.46,39.505,1631718,39.505
65,39.5,39.625,39.32,39.37,1332112,39.37
66,39.37,39.39,39.045,39.11,970458,39.11
67,39.111,39.21,39.0,39.06,815009,39.06
68,39.05,39.06,38.75,38.84,1302931,38.84
69,38.835,39.34,38.815,39.14,2999254,39.14
70,38.3,38.86,38.27,38.49,1088547,38.49
71,38.5,38.65,38.28,38.29,1519989,38.29
72,38.29,38.73,38.29,38.46,1715088,38.46
73,38.47,38.56,38.26,38.56,1369514,38.56
74,38.56,38.64,38.27,38.49,1506347,38.49
75,38.491,38.62,38.38,38.53,1414507,38.53
76,38.53,39.33,38.465,38.87,3604847,38.87
77,38.94,39.15,38.69,38.865,872805,38.865
78,38.86,39.45,38.84,39.19,1598897,39.19
79,39.2,39.37,39.1,39.35,1225534,39.35
80,39.35,39.44,39.15,39.21,1186484,39.21
81,39.21,39.275,38.81,38.87,1290987,38.87
82,38.875,38.9099,38.495,38.805,1609693,38.805
83,38.82,38.83,38.51,38.52,3537896,38.52
84,39.3,39.33,39.03,39.3,952086,39.3
85,39.31,39.45,39.24,39.36,1249387,39.36
86,39.36,39.41,39.11,39.17,805179,39.17
87,39.17,39.45,39.17,39.4425,738596,39.4425
88,39.44,39.54,39.323,39.515,906411,39.515
89,39.52,39.63,39.33,39.39,1114058,39.39
90,39.385,39.41,39.19,39.37,2162670,39.37
91,39.29,39.35,38.98,39.0196,891070,39.0196
92,39.01,39.17,38.81,38.87,1166415,38.87
93,38.87,38.89,38.63,38.73,943317,38.73
94,38.72,38.92,38.69,38.915,568345,38.915
95,38.915,39.04,38.8,38.81,619927,38.81
96,38.81,38.905,38.57,38.585,1106456,38.585
97,38.585,38.645,38.23,38.3,3696237,38.3
98,38.44,38.67,38.29,38.6,572772,38.6
99,38.61,38.95,38.595,38.83,838926,38.83
100,38.83,38.93,38.76,38.8899,784259,38.8899
101,38.89,39.27,38.88,39.14,834126,39.14
102,39.14,39.22,39.05,39.06,454324,39.06
103,39.06,39.08,38.95,38.97,818176,38.97
104,38.965,39.04,38.86,39.035,974141,39.035
105,39.12,39.3,38.8301,39.3,655519,39.3
106,39.3,39.35,39.06,39.275,705638,39.275
107,39.27,39.79,39.222,39.775,870203,39.775
108,39.78,39.96,39.77,39.79,761818,39.79
109,39.79,39.93,39.72,39.89,559486,39.89
110,39.89,39.99,39.17,39.23,1204311,39.23
111,39.22,39.23,38.89,39.18,1857195,39.18
112,39.51,39.8,39.37,39.68,860314,39.68
113,39.68,39.69,39.0,39.21,1384144,39.21
114,39.2,39.445,39.07,39.08,935225,39.08
115,39.08,39.6,39.08,39.49,788072,39.49
116,39.49,39.525,39.24,39.25,753913,39.25
117,39.26,39.455,39.25,39.315,1050872,39.315
118,39.31,39.34,39.17,39.21,2230884,39.21
119,39.31,39.5753,39.3,39.49,851623,39.49
120,39.49,39.64,39.3,39.37,1345550,39.37
121,39.38,39.44,39.2,39.42,1410791,39.42
122,39.42,39.57,39.37,39.53,875738,39.53
