Date,Open,High,Low,Close,Volume,Adj Close
0,86.04,88.06,85.85,86.99,914311,86.99
1,86.17,86.53,85.86,86.04,447802,86.04
2,86.05,86.23,85.92,86.16,412600,86.16
3,86.06,86.28,86.0,86.04,414971,86.04
4,86.38,86.41,85.9,86.06,335713,86.06
5,86.04,86.37,85.93,86.37,234954,86.37
6,86.05,86.07,85.84,86.04,273985,86.04
7,86.02,86.14,85.87,86.05,240286,86.05
8,85.88,86.08,85.79,86.01,223668,86.01
9,85.94,86.03,85.77,85.87,252502,85.87
10,85.87,86.04,85.77,85.93,172413,85.93
11,85.69,85.875,85.529,85.87,211912,85.87
12,85.8,85.822,85.47,85.69,313330,85.69
13,85.76,85.84,85.7,85.805,240166,85.805
14,85.74,85.87,85.59,85.76,234471,85.76
15,85.83,85.965,85.73,85.74,226248,85.74
16,85.9,85.92,85.75,85.82,130864,85.82
17,86.0,86.13,85.88,85.9,218986,85.9
18,86.03,86.06,85.92,85.99,305059,85.99
19,85.69,86.06,85.69,86.03,193389,86.03
20,85.985,85.99,85.62,85.69,241438,85.69
21,86.25,86.42,85.95,85.983,392890,85.983
22,86.005,86.296,85.91,86.24,504548,86.24
23,85.9925,86.04,85.78,86.01,319691,86.01
24,85.945,86.1025,85.74,85.99,473645,85.99
25,85.63,85.9972,85.54,85.94,915934,85.94
26,86.34,86.35,86.22,86.35,110179,86.35
27,86.06,86.35,85.88,86.35,262139,86.35
28,86.03,86.24,85.87,86.055,300781,86.055
29,86.14,86.22,85.91,86.03,219771,86.03
30,86.03,86.22,85.93,86.12,230496,86.12
31,85.88,86.2199,85.88,86.04,292544,86.04
32,85.39,85.91,85.38,85.87,217906,85.87
33,85.015,85.56,85.01,85.395,222080,85.395
34,85.03,85.04,84.72,85.01,422057,85.01
35,85.32,85.41,85.0143,85.04,207115,85.04
36,85.1,85.45,85.09,85.34,192448,85.34
37,85.01,85.12,84.8401,85.09,192751,85.09
38,85.06,85.08,84.72,85.01,195649,85.01
39,84.8375,85.2125,84.81,85.07,127369,85.07
40,84.91,84.94,84.76,84.83,114028,84.83
41,84.86,84.97,84.74,84.91,153532,84.91
42,85.01,85.2,84.83,84.865,143238,84.865
43,85.02,85.185,85.0,85.015,176697,85.015
44,84.97,85.14,84.9,85.02,124924,85.02
45,84.72,85.04,84.71,84.97,163680,84.97
46,84.67,84.7339,84.59,84.72,203085,84.72
47,84.55,84.8299,84.545,84.67,176974,84.67
48,84.67,84.71,84.47,84.555,241661,84.555
49,84.87,84.88,84.62,84.66,254803,84.66
50,85.3,85.33,84.77,84.86,266254,84.86
51,85.5,85.52,85.24,85.31,295530,85.31
52,85.2,85.67,85.18,85.49,734660,85.49
53,84.36,84.44,84.36,84.44,123617,84.44
54,84.2,84.62,83.74,84.35,224624,84.35
55,83.98,84.37,83.8101,84.21,291620,84.21
56,83.8,84.04,83.61,83.98,299794,83.98
57,83.815,83.86,83.54,83.8,302533,83.8
58,83.75,83.835,83.42,83.82,280255,83.82
59,83.53,83.87,83.51,83.77,290832,83.77
60,83.84,83.85,83.5263,83.53,352692,83.53
61,83.86,83.98,83.78,83.85,308123,83.85
62,83.68,83.985,83.68,83.87,231831,83.87
63,83.7,83.78,83.56,83.68,395960,83.68
64,83.72,83.8,83.63,83.69,543323,83.69
65,83.54,83.815,83.39,83.71,271788,83.71
66,83.665,83.75,83.54,83.54,421422,83.54
67,83.83,83.83,83.46,83.665,318942,83.665
68,83.77,83.9599,83.62,83.83,360657,83.83
69,83.96,84.03,83.75,83.77,325273,83.77
70,84.36,84.3647,83.88,83.96,301411,83.96
71,84.49,84.57,84.22,84.35,263387,84.35
72,84.37,84.62,84.31,84.5,254144,84.5
73,84.19,84.54,84.15,84.36,247952,84.36
74,84.16,84.41,84.14,84.18,276554,84.18
75,84.3799,84.56,84.04,84.17,247693,84.17
76,84.74,84.81,84.29,84.39,256885,84.39
77,85.48,85.57,84.74,84.74,404334,84.74
78,85.09,85.58,85.07,85.49,520739,85.49
79,84.81,85.11,84.7,85.11,525334,85.11
80,84.68,85.19,84.5508,84.83,306601,84.83
81,84.78,85.05,84.54,84.67,193161,84.67
82,85.54,85.55,84.75,84.76,230861,84.76
83,85.74,85.86,85.39,85.53,274678,85.53
84,86.15,86.25,85.59,85.73,224550,85.73
85,85.48,86.41,85.48,86.15,192599,86.15
86,85.88,86.03,85.33,85.49,189407,85.49
87,85.875,86.03,85.7,85.89,308455,85.89
88,86.04,86.32,85.89,85.89,199140,85.89
89,86.5,86.57,86.01,86.03,145728,86.03
90,86.42,86.79,86.42,86.52,165699,86.52
91,86.61,86.61,86.3974,86.4362,115823,86.4362
92,86.42,86.63,86.38,86.62,128555,86.62
93,86.35,86.4319,86.225,86.42,118016,86.42
94,86.31,86.61,86.295,86.36,83304,86.36
95,85.89,86.35,85.89,86.28,102646,86.28
96,86.18,86.29,85.75,85.9,188151,85.9
97,86.1,86.25,85.87,86.16,165294,86.16
98,85.67,86.16,85.646,86.1095,220100,86.1095
99,85.7,85.75,85.49,85.675,175898,85.675
100,85.79,85.88,85.63,85.7,158639,85.7
101,85.88,86.0,85.48,85.8,153156,85.8
102,85.78,85.88,85.46,85.88,155627,85.88
103,85.61,85.815,85.52,85.78,191787,85.78
104,85.87,85.98,85.6,85.6,175737,85.6
105,85.56,85.87,85.55,85.86,384920,85.86
106,86.95,86.95,86.95,86.95,53469,86.95
107,87.17,87.38,86.58,86.96,269990,86.96
108,87.01,87.28,86.88,87.17,171772,87.17
109,87.19,87.19,86.61,87.0,239246,87.0
110,86.89,87.23,86.69,87.19,149585,87.19
111,86.39,86.93,86.34,86.88,109954,86.88
112,86.18,86.41,86.13,86.41,126532,86.41
113,86.11,86.2925,86.03,86.17,138035,86.17
114,86.14,86.35,86.05,86.115,120527,86.115
115,86.05,86.1985,85.93,86.12,110664,86.12
116,86.02,86.1796,85.88,86.05,103851,86.05
117,86.21,86.24,86.01,86.01,108135,86.01
118,86.06,86.23,86.04,86.21,84376,86.21
119,86.22,86.36,86.03,86.07,96759,86.07
120,86.25,86.29,86.1,86.22,61705,86.22
121,86.19,86.35,86.11,86.25,76049,86.25
122,86.26,86.38,86.19,86.2,88175,86.2
123,86.31,86.34,86.24,86.26,57110,86.26
124,86.48,86.52,86.28,86.31,100125,86.31
125,86.69,86.69,86.41,86.48,110629,86.48
126,86.31,86.71,86.31,86.69,128258,86.69
127,86.2698,86.46,86.2582,86.33,132972,86.33
128,86.32,86.41,86.25,86.265,149784,86.265
129,86.12,86.35,86.0801,86.31,144738,86.31
130,86.34,86.35,86.106,86.11,210098,86.11
131,86.3,86.35,86.14,86.35,247946,86.35
132,86.35,86.49,86.28,86.3,425819,86.3
133,85.735,86.15,85.585,85.98,241642,85.98
134,85.915,86.0,85.66,85.75,156068,85.75
135,85.75,86.14,85.75,85.91,286396,85.91
136,85.79,86.065,85.72,85.75,233941,85.75
137,85.65,85.92,85.54,85.8,248613,85.8
138,85.7,85.73,85.4,85.6464,192866,85.6464
139,85.28,85.73,85.24,85.7,246283,85.7
140,85.5,85.545,85.2,85.26,424959,85.26
141,85.28,85.57,85.25,85.48,274528,85.48
142,85.36,85.52,85.26,85.28,208682,85.28
143,85.38,85.47,85.34,85.36,180265,85.36
144,85.323,85.42,85.3,85.36,156534,85.36
145,85.33,85.4475,85.28,85.31,244603,85.31
146,85.35,85.36,85.15,85.32,267409,85.32
147,85.35,85.56,85.28,85.35,361395,85.35
148,85.39,85.58,85.33,85.34,257000,85.34
149,85.485,85.5,85.32,85.4,318532,85.4
150,85.26,85.55,85.22,85.48,345819,85.48
151,85.16,85.275,85.12,85.25,297971,85.25
152,85.19,85.23,85.05,85.1563,296349,85.1563
153,85.1,85.205,85.03,85.18,350454,85.18
154,84.95,85.18,84.95,85.1,612511,85.1
155,85.004,85.17,84.95,84.95,625826,84.95
156,84.955,85.2,84.84,85.01,883020,85.01
157,84.72,84.97,84.69,84.95,680588,84.95
158,84.9,84.945,84.72,84.72,1075730,84.72
159,85.42,85.42,85.29,85.29,73382,85.29
160,85.79,85.82,85.21,85.29,197364,85.29
161,85.68,85.85,85.43,85.82,174859,85.82
162,86.13,86.26,85.67,85.68,214154,85.68
163,86.245,86.47,86.12,86.14,179778,86.14
164,86.1399,86.27,86.02,86.25,261881,86.25
165,86.125,86.1865,86.04,86.14,161059,86.14
166,86.28,86.31,86.01,86.13,193624,86.13
167,86.16,86.41,85.93,86.28,156072,86.28
168,86.01,86.19,85.95,86.15,258696,86.15
169,86.0,86.17,85.96,86.0,126132,86.0
170,86.04,86.07,85.725,85.99,138375,85.99
171,86.065,86.2,85.905,86.04,146932,86.04
172,86.005,86.07,85.9,86.06,132086,86.06
173,85.765,86.06,85.765,86.01,244705,86.01
174,85.66,85.8975,85.6,85.765,126204,85.765
175,85.625,85.77,85.625,85.65,157058,85.65
176,85.715,85.81,85.56,85.64,119127,85.64
177,85.78,85.92,85.715,85.715,149513,85.715
178,85.7,85.82,85.67,85.78,213768,85.78
179,85.76,85.83,85.69,85.71,341204,85.71
180,85.945,85.96,85.77,85.77,126254,85.77
181,85.68,85.95,85.66,85.95,192222,85.95
182,85.63,85.77,85.56,85.67,238692,85.67
183,85.62,85.78,85.44,85.62,418313,85.62
184,85.76,85.79,85.465,85.62,646708,85.62
185,85.68,85.9,85.48,85.76,775495,85.76
186,85.81,86.98,84.75,85.7,542785,85.7
187,86.13,86.55,85.78,85.83,442219,85.83
188,86.47,86.53,86.14,86.15,364158,86.15
189,87.24,87.27,86.43,86.46,431707,86.46
190,87.525,87.57,86.98,87.24,315448,87.24
191,86.97,87.56,86.74,87.53,300875,87.53
192,86.79,87.19,86.765,86.9684,207455,86.9684
193,86.88,86.95,86.75,86.79,304755,86.79
194,87.48,87.49,86.87,86.89,235462,86.89
195,87.1735,87.55,87.15,87.48,179938,87.48
196,87.1,87.25,87.05,87.18,151495,87.18
197,86.98,87.235,86.92,87.11,172885,87.11
198,86.84,87.08,86.84,86.99,175935,86.99
199,86.65,86.94,86.65,86.85,110758,86.85
200,86.69,86.76,86.5,86.65,228703,86.65
201,86.56,86.77,86.56,86.68,103309,86.68
202,86.65,86.69,86.43,86.56,202771,86.56
203,87.2802,87.29,86.64,86.64,203534,86.64
204,86.875,87.43,86.72,87.285,231588,87.285
205,86.64,86.88,86.48,86.82,165782,86.82
206,86.1,86.71,86.01,86.63,162632,86.63
207,86.01,86.23,85.91,86.11,247847,86.11
208,85.58,86.05,85.56,86.02,340888,86.02
209,85.6,85.76,85.38,85.59,300889,85.59
210,85.87,85.98,85.58,85.59,381826,85.59
211,85.82,85.98,85.74,85.89,541172,85.89
212,86.3,86.3,86.3,86.3,300,86.3
213,86.61,86.67,85.92,86.06,346260,86.06
214,86.85,87.2,86.47,86.6,172958,86.6
215,86.71,86.94,86.44,86.84,219379,86.84
216,86.5,86.75,86.42,86.72,199890,86.72
217,86.62,86.65,86.21,86.49,183199,86.49
218,86.7,86.74,86.44,86.61,135456,86.61
219,86.55,86.75,86.54,86.695,158005,86.695
220,86.26,86.59,86.24,86.565,157302,86.565
221,86.11,86.33,86.05,86.26,154626,86.26
222,85.94,86.18,85.94,86.11,173767,86.11
223,86.285,86.3599,85.94,85.94,130235,85.94
224,86.49,86.57,86.235,86.29,81239,86.29
225,86.52,86.62,86.41,86.5,118727,86.5
226,86.45,86.66,86.39,86.5101,99338,86.5101
227,86.65,86.67,86.32,86.455,123554,86.455
228,86.42,86.69,86.06,86.65,142501,86.65
229,86.345,86.56,86.345,86.41,141350,86.41
230,86.18,86.5,86.18,86.35,147769,86.35
231,86.18,86.2222,86.1,86.19,211223,86.19
232,86.46,86.47,86.17,86.19,190409,86.19
233,86.2599,86.5815,86.25,86.45,230529,86.45
234,86.38,86.4,86.19,86.26,172065,86.26
235,86.59,86.65,86.32,86.37,227600,86.37
236,86.39,86.65,86.36,86.61,184095,86.61
