Date,Close,High,Low,Open,Volume,Adj Close
2015-10-20 10:30:00,95.14,95.14,93.2,94.21,814020,95.14
2015-10-20 11:30:00,97.34,97.34,95.21,95.25,898553,97.34
2015-10-20 12:30:00,97.355,97.5798,96.94,97.36,511238,97.355
2015-10-20 13:30:00,96.625,97.42,96.6001,97.3825,272904,96.625
2015-10-20 14:30:00,96.0,96.67,95.951,96.5301,310876,96.0
2015-10-20 15:30:00,95.93,96.1699,95.73,95.98,466006,95.93
2015-10-20 16:00:00,95.6799,95.92,95.6799,95.8925,373849,95.6799
2015-10-21 10:30:00,96.38,96.5291,96.05,96.16,713521,96.38
2015-10-21 11:30:00,97.64,97.89,96.32,96.38,467230,97.64
2015-10-21 12:30:00,97.96,98.03,97.435,97.595,305276,97.96
2015-10-21 13:30:00,98.41,98.65,97.935,97.935,794612,98.41
2015-10-21 14:30:00,98.25,98.34,98.1,98.25,474048,98.25
2015-10-21 15:30:00,98.37,98.41,98.165,98.2466,620221,98.37
2015-10-21 16:00:00,98.12,98.4,97.99,98.31,697084,98.12
2015-10-22 10:30:00,99.188,99.39,98.21,98.21,342449,99.188
2015-10-22 11:30:00,98.99,99.21,98.62,99.1,378260,98.99
2015-10-22 12:30:00,99.84,99.89,99.0,99.0,212032,99.84
2015-10-22 13:30:00,100.04,100.23,99.67,99.81,288005,100.04
2015-10-22 14:30:00,99.05,100.05,98.93,100.05,294821,99.05
2015-10-22 15:30:00,99.89,99.89,99.0399,99.056,437183,99.89
2015-10-22 16:00:00,99.78,99.91,99.63,99.91,334559,99.78
2015-10-23 10:30:00,100.595,100.85,100.44,100.55,397937,100.595
2015-10-23 11:30:00,100.51,100.618,100.264,100.58,352497,100.51
2015-10-23 12:30:00,100.38,100.5,100.2,100.49,206099,100.38
2015-10-23 13:30:00,100.43,100.5,100.33,100.36,197776,100.43
2015-10-23 14:30:00,100.51,100.59,100.385,100.46,253307,100.51
2015-10-23 15:30:00,100.53,100.736,100.48,100.52,255562,100.53
2015-10-23 16:00:00,100.67,100.7,100.525,100.55,199466,100.67
2015-10-26 10:30:00,100.38,100.93,100.25,100.482,162660,100.38
2015-10-26 11:30:00,100.15,100.47,100.15,100.43,111766,100.15
2015-10-26 12:30:00,100.03,100.37,100.02,100.19,100491,100.03
2015-10-26 13:30:00,100.154,100.24,100.04,100.04,93262,100.154
2015-10-26 14:30:00,100.025,100.22,100.01,100.193,111558,100.025
2015-10-26 15:30:00,100.309,100.309,100.021,100.021,143185,100.309
2015-10-26 16:00:00,100.21,100.34,100.175,100.34,160317,100.21
2015-10-27 10:30:00,99.56,99.87,99.46,99.865,121081,99.56
2015-10-27 11:30:00,99.6474,99.8002,99.4799,99.56,102295,99.6474
2015-10-27 12:30:00,99.265,99.75,99.245,99.7,125220,99.265
2015-10-27 13:30:00,98.9201,99.3012,98.8039,99.2817,152317,98.9201
2015-10-27 14:30:00,98.965,99.0,98.72,98.91,124738,98.965
2015-10-27 15:30:00,98.95,99.04,98.84,98.98,197278,98.95
2015-10-27 16:00:00,98.88,99.0,98.805,99.0,177255,98.88
2015-10-28 10:30:00,98.91,99.385,98.89,99.0701,280159,98.91
2015-10-28 11:30:00,99.17,99.3,98.9,98.9,185256,99.17
2015-10-28 12:30:00,99.21,99.36,99.14,99.165,146390,99.21
2015-10-28 13:30:00,99.21,99.32,99.15,99.18,123545,99.21
2015-10-28 14:30:00,98.6016,99.4809,98.23,99.19,172253,98.6016
2015-10-28 15:30:00,98.88,99.06,98.42,98.56,238916,98.88
2015-10-28 16:00:00,99.3,99.3251,98.87,99.02,284191,99.3
2015-10-29 10:30:00,99.03,99.55,98.84,99.295,140484,99.03
2015-10-29 11:30:00,98.86,99.27,98.48,99.0801,155918,98.86
2015-10-29 12:30:00,98.9,98.96,98.64,98.94,86017,98.9
2015-10-29 13:30:00,98.49,99.18,98.49,98.92,433044,98.49
2015-10-29 14:30:00,98.34,98.5021,98.255,98.5021,170044,98.34
2015-10-29 15:30:00,98.8901,98.97,98.285,98.3399,241668,98.8901
2015-10-29 16:00:00,99.035,99.035,98.87,98.87,189858,99.035
2015-10-30 10:30:00,98.968,99.03,98.33,98.77,192502,98.968
2015-10-30 11:30:00,98.74,99.11,98.61,99.0,136311,98.74
2015-10-30 12:30:00,98.728,98.87,98.63,98.72,117147,98.728
2015-10-30 13:30:00,98.78,98.91,98.71,98.72,153220,98.78
2015-10-30 14:30:00,98.845,99.0223,98.76,98.77,234946,98.845
2015-10-30 15:30:00,98.645,98.8566,98.485,98.8265,188356,98.645
2015-10-30 16:00:00,98.44,98.83,98.44,98.605,240530,98.44
2015-11-02 10:30:00,99.23,99.3599,98.535,98.695,183637,99.23
2015-11-02 11:30:00,98.94,99.22,98.89,99.2,149992,98.94
2015-11-02 12:30:00,98.9101,98.985,98.731,98.95,91682,98.9101
2015-11-02 13:30:00,98.9256,99.03,98.8801,98.93,85865,98.9256
2015-11-02 14:30:00,99.07,99.16,98.8501,98.94,138229,99.07
2015-11-02 15:30:00,99.48,99.49,99.025,99.053,201087,99.48
2015-11-02 16:00:00,99.4,99.57,99.39,99.49,204377,99.4
2015-11-03 10:30:00,99.11,99.46,98.87,99.0,139090,99.11
2015-11-03 11:30:00,98.9,99.27,98.82,99.14,111344,98.9
2015-11-03 12:30:00,99.015,99.28,98.8499,98.86,84319,99.015
2015-11-03 13:30:00,99.31,99.31,98.92,99.0101,106063,99.31
2015-11-03 14:30:00,100.1,100.2,99.35,99.35,298572,100.1
2015-11-03 15:30:00,100.195,100.33,100.1,100.146,244873,100.195
2015-11-03 16:00:00,100.01,100.3,99.98,100.2,208972,100.01
2015-11-04 10:30:00,100.88,100.93,100.29,100.29,147091,100.88
2015-11-04 11:30:00,100.445,101.04,100.29,100.84,132838,100.445
2015-11-04 12:30:00,100.42,100.517,100.27,100.45,126130,100.42
2015-11-04 13:30:00,100.21,100.56,100.02,100.417,128276,100.21
2015-11-04 14:30:00,100.494,100.64,100.2,100.24,282397,100.494
2015-11-04 15:30:00,100.31,100.565,100.245,100.55,164144,100.31
2015-11-04 16:00:00,100.36,100.36,100.18,100.295,128671,100.36
2015-11-05 10:30:00,100.03,100.726,100.03,100.52,173758,100.03
2015-11-05 11:30:00,100.08,100.23,99.73,99.96,120908,100.08
2015-11-05 12:30:00,100.68,100.69,100.04,100.09,145099,100.68
2015-11-05 13:30:00,100.713,100.97,100.615,100.69,166338,100.713
2015-11-05 14:30:00,100.757,100.902,100.73,100.79,145514,100.757
2015-11-05 15:30:00,100.94,100.94,100.665,100.74,204475,100.94
2015-11-05 16:00:00,100.82,100.98,100.79,100.925,189373,100.82
2015-11-06 10:30:00,99.65,100.64,99.32,99.96,213813,99.65
2015-11-06 11:30:00,99.95,100.15,99.66,99.66,127279,99.95
2015-11-06 12:30:00,100.19,100.36,99.96,99.96,111084,100.19
2015-11-06 13:30:00,100.4,100.46,100.06,100.2,82552,100.4
2015-11-06 14:30:00,100.7,100.795,100.33,100.404,151954,100.7
2015-11-06 15:30:00,100.52,100.74,100.46,100.74,153320,100.52
2015-11-06 16:00:00,100.79,100.79,100.525,100.525,186816,100.79
2015-11-09 10:30:00,99.9,100.81,99.795,100.695,181845,99.9
2015-11-09 11:30:00,99.37,99.98,99.27,99.86,194535,99.37
2015-11-09 12:30:00,99.4378,99.56,99.29,99.41,144478,99.4378
2015-11-09 13:30:00,99.35,99.69,99.22,99.4,112664,99.35
2015-11-09 14:30:00,99.49,99.6,99.36,99.39,120815,99.49
2015-11-09 15:30:00,99.4301,99.51,99.23,99.4732,156727,99.4301
2015-11-09 16:00:00,99.69,99.9262,99.5,99.51,224582,99.69
