Date,Open,High,Low,Close,Volume,Adj Close
0,5.1,5.1,5.1,5.1,17939,5.1
1,5.025,5.15,5.01,5.1,145928,5.1
2,5.155,5.16,5.02,5.03,145344,5.03
3,5.19,5.2,5.13,5.16,184209,5.16
4,5.14,5.21,5.14,5.19,56009,5.19
5,5.1,5.15,5.1,5.14,857218,5.14
6,5.1,5.14,5.09,5.1,75432,5.1
7,5.09,5.12,5.08,5.105,73074,5.105
8,5.09,5.09,5.04,5.085,59532,5.085
9,5.065,5.09,5.055,5.085,50096,5.085
10,5.05,5.07,5.025,5.07,554613,5.07
11,5.055,5.06,5.03,5.05,46114,5.05
12,5.045,5.06,5.02,5.06,50182,5.06
13,5.03,5.06,5.015,5.05,50834,5.05
14,5.03,5.03,5.01,5.0201,15925,5.0201
15,5.02,5.03,5.01,5.03,31285,5.03
16,4.985,5.02,4.98,5.02,313741,5.02
17,4.95,5.0,4.95,4.985,52895,4.985
18,4.94,4.9515,4.93,4.94,87359,4.94
19,4.88,4.95,4.88,4.945,79089,4.945
20,4.93,4.935,4.88,4.88,48999,4.88
21,4.885,4.93,4.88,4.93,35822,4.93
22,4.88,4.91,4.86,4.88,105969,4.88
23,4.865,4.89,4.84,4.88,171726,4.88
24,4.92,4.92,4.85,4.86,74662,4.86
25,4.93,4.93,4.91,4.915,71363,4.915
26,4.94,4.97,4.92,4.93,734785,4.93
27,4.88,4.88,4.88,4.88,19661,4.88
28,4.82,4.88,4.76,4.88,92207,4.88
29,4.79,4.845,4.77,4.81,153019,4.81
30,4.79,4.81,4.76,4.8,32496,4.8
31,4.75,4.79,4.74,4.79,54264,4.79
32,4.83,4.83,4.745,4.75,176025,4.75
33,4.795,4.835,4.79,4.83,139586,4.83
34,4.78,4.8,4.765,4.8,266405,4.8
35,4.785,4.79,4.775,4.78,47992,4.78
36,4.765,4.8,4.76,4.785,89062,4.785
37,4.76,4.77,4.74,4.765,41239,4.765
38,4.721,4.77,4.72,4.765,51521,4.765
39,4.705,4.73,4.7,4.725,37635,4.725
40,4.7,4.71,4.7,4.71,15703,4.71
41,4.705,4.71,4.69,4.7,108749,4.7
42,4.7,4.71,4.69,4.7,115456,4.7
43,4.725,4.74,4.695,4.695,81936,4.695
44,4.745,4.765,4.72,4.72,150161,4.72
45,4.7415,4.77,4.73,4.745,647046,4.745
46,4.745,4.76,4.725,4.74,620428,4.74
47,4.755,4.79,4.74,4.745,261692,4.745
48,4.74,4.76,4.72,4.755,79463,4.755
49,4.76,4.77,4.735,4.74,321756,4.74
50,4.765,4.78,4.75,4.76,121036,4.76
51,4.81,4.81,4.76,4.77,538452,4.77
52,4.78,4.81,4.77,4.805,244284,4.805
53,4.73,4.78,4.72,4.77,876646,4.77
54,4.75,4.75,4.75,4.75,8625,4.75
55,4.77,4.9,4.74,4.9,244602,4.9
56,4.685,4.77,4.675,4.77,216572,4.77
57,4.745,4.755,4.685,4.685,232507,4.685
58,4.7125,4.75,4.68,4.741,146966,4.741
59,4.745,4.75,4.7,4.71,140216,4.71
60,4.72,4.77,4.72,4.75,163298,4.75
61,4.73,4.76,4.71,4.73,323412,4.73
62,4.7,4.75,4.7,4.735,228422,4.735
63,4.74,4.76,4.71,4.71,114211,4.71
64,4.755,4.76,4.735,4.74,261373,4.74
65,4.745,4.76,4.73,4.755,211214,4.755
66,4.745,4.76,4.74,4.7499,58845,4.7499
67,4.755,4.76,4.745,4.745,44058,4.745
68,4.75,4.76,4.73,4.76,189171,4.76
69,4.765,4.78,4.74,4.7499,119474,4.7499
70,4.745,4.77,4.73,4.76,217486,4.76
71,4.725,4.75,4.71,4.745,67566,4.745
