Date,Open,High,Low,Close,Volume,Adj Close
0,5.86,5.87,5.81,5.85,86745,5.85
1,5.845,5.86,5.825,5.835,233077,5.835
2,5.835,5.84,5.75,5.76,363340,5.76
3,5.76,5.77,5.64,5.64,500094,5.64
4,5.645,5.645,5.51,5.52,298712,5.52
5,5.525,5.66,5.52,5.65,332565,5.65
6,5.645,5.65,5.58,5.58,1392047,5.58
7,5.55,5.62,5.54,5.61,124286,5.61
8,5.61,5.61,5.5,5.51,255182,5.51
9,5.515,5.53,5.42,5.505,344811,5.505
10,5.5,5.51,5.465,5.47,216047,5.47
11,5.47,5.53,5.43,5.52,274435,5.52
12,5.52,5.54,5.46,5.53,366524,5.53
13,5.53,5.54,5.5,5.5,730289,5.5
14,5.54,5.58,5.46,5.49,95626,5.49
15,5.48,5.6,5.47,5.55,348305,5.55
16,5.545,5.56,5.46,5.47,216868,5.47
17,5.48,5.495,5.38,5.395,146267,5.395
18,5.4,5.4,5.34,5.39,182499,5.39
19,5.38,5.48,5.375,5.44,288397,5.44
20,5.45,5.5,5.395,5.48,985344,5.48
21,5.52,5.59,5.52,5.53,46625,5.53
22,5.53,5.54,5.41,5.45,97331,5.45
23,5.45,5.45,5.34,5.41,280340,5.41
24,5.41,5.435,5.37,5.385,190381,5.385
25,5.39,5.405,5.36,5.37,123970,5.37
26,5.36,5.37,5.33,5.35,234926,5.35
27,5.3575,5.45,5.33,5.44,666898,5.44
28,5.45,5.54,5.45,5.4899,48477,5.4899
29,5.49,5.51,5.375,5.415,69219,5.415
30,5.415,5.445,5.31,5.3125,258673,5.3125
31,5.31,5.355,5.3,5.31,211725,5.31
32,5.31,5.37,5.26,5.265,275650,5.265
33,5.265,5.295,5.235,5.2825,289612,5.2825
34,5.28,5.29,5.23,5.26,1172220,5.26
35,5.26,5.3,5.19,5.195,127450,5.195
36,5.2,5.295,5.18,5.22,335479,5.22
37,5.22,5.245,5.09,5.18,351112,5.18
38,5.18,5.2,5.11,5.14,220014,5.14
39,5.14,5.22,5.14,5.2075,216386,5.2075
40,5.21,5.22,5.175,5.205,191617,5.205
41,5.2,5.21,5.15,5.18,703729,5.18
42,5.12,5.14,5.05,5.055,187872,5.055
43,5.05,5.16,5.01,5.15,743351,5.15
44,5.1599,5.19,5.1,5.12,1199784,5.12
45,5.12,5.16,5.1033,5.145,530117,5.145
46,5.15,5.15,5.06,5.09,269746,5.09
47,5.085,5.089,5.0,5.075,805485,5.075
48,5.075,5.1,5.04,5.06,1614371,5.06
49,5.1,5.16,5.01,5.155,309211,5.155
50,5.16,5.21,5.09,5.1,1172868,5.1
51,5.105,5.12,5.025,5.05,737315,5.05
52,5.05,5.06,5.01,5.03,163055,5.03
53,5.03,5.03,4.93,4.94,485280,4.94
54,4.945,4.95,4.86,4.88,269879,4.88
55,4.88,4.97,4.84,4.94,1052536,4.94
56,4.88,4.88,4.76,4.79,264887,4.79
57,4.8,4.835,4.74,4.795,402371,4.795
58,4.8,4.8,4.74,4.76,444698,4.76
59,4.765,4.77,4.69,4.705,213608,4.705
60,4.7,4.77,4.69,4.7415,994599,4.7415
61,4.74,4.79,4.72,4.76,1283339,4.76
62,4.76,4.81,4.72,4.73,1780418,4.73
63,4.75,4.9,4.675,4.685,469799,4.685
64,4.685,4.77,4.68,4.72,682987,4.72
65,4.73,4.76,4.7,4.755,927418,4.755
66,4.755,4.76,4.73,4.75,503288,4.75
67,4.7499,4.78,4.71,4.735,488950,4.735
68,4.735,4.76,4.675,4.76,269598,4.76
69,4.755,4.755,4.71,4.73,1056511,4.73
70,4.83,4.95,4.735,4.945,267887,4.945
71,4.95,4.97,4.87,4.885,433200,4.885
72,4.89,4.96,4.84,4.95,387163,4.95
73,4.95,4.96,4.92,4.94,162360,4.94
74,4.935,4.94,4.91,4.935,165588,4.935
75,4.94,4.94,4.8735,4.905,232748,4.905
76,4.9,4.92,4.88,4.9,407350,4.9
77,4.89,4.96,4.89,4.95,145062,4.95
78,4.94,4.995,4.87,4.885,184653,4.885
79,4.88,4.92,4.85,4.91,266629,4.91
80,4.9,4.94,4.87,4.905,333468,4.905
81,4.91,4.925,4.86,4.86,252727,4.86
82,4.865,4.89,4.855,4.87,121406,4.87
83,4.87,4.92,4.85,4.91,689237,4.91
84,4.95,4.98,4.9,4.93,142917,4.93
85,4.93,4.97,4.88,4.88,160040,4.88
86,4.885,4.96,4.885,4.935,236782,4.935
87,4.94,4.99,4.935,4.945,182590,4.945
88,4.945,4.95,4.92,4.95,139827,4.95
89,4.95,4.96,4.87,4.895,200029,4.895
90,4.895,4.91,4.835,4.9,441445,4.9
91,4.9,4.97,4.88,4.95,64363,4.95
92,4.94,4.94,4.87,4.88,132911,4.88
93,4.89,4.96,4.875,4.91,179080,4.91
94,4.91,4.96,4.91,4.93,123086,4.93
95,4.94,4.94,4.85,4.88,134418,4.88
96,4.89,4.94,4.82,4.88,262055,4.88
97,4.88,4.88,4.835,4.87,595549,4.87
98,4.9,4.96,4.85,4.86,229201,4.86
99,4.86,4.86,4.75,4.81,450769,4.81
100,4.8199,4.84,4.8,4.805,267519,4.805
101,4.81,4.85,4.8,4.83,139329,4.83
102,4.84,4.86,4.8,4.82,104526,4.82
103,4.825,4.84,4.78,4.8,237126,4.8
104,4.8,4.81,4.75,4.79,680969,4.79
105,4.83,4.88,4.8,4.82,401676,4.82
106,4.825,4.85,4.8,4.82,1167298,4.82
107,4.83,4.85,4.82,4.84,558538,4.84
108,4.835,4.85,4.83,4.83,748561,4.83
109,4.835,4.89,4.83,4.87,270268,4.87
110,4.865,4.91,4.85,4.905,460847,4.905
111,4.91,5.03,4.865,5.0,1551861,5.0
112,4.96,4.98,4.9,4.95,295611,4.95
113,4.95,4.97,4.88,4.905,418384,4.905
114,4.9,4.92,4.88,4.92,548142,4.92
115,4.92,4.92,4.895,4.9,228043,4.9
116,4.905,4.93,4.9,4.91,309112,4.91
117,4.92,5.0,4.91,4.975,545651,4.975
118,4.98,5.02,4.95,5.01,1096992,5.01
119,4.98,5.015,4.93,4.935,299437,4.935
120,4.94,4.96,4.88,4.895,460601,4.895
121,4.89,4.97,4.88,4.945,284336,4.945
122,4.9425,4.95,4.9,4.93,602500,4.93
123,4.93,4.94,4.89,4.9,242147,4.9
124,4.905,4.945,4.9,4.915,488899,4.915
125,4.92,5.04,4.88,5.03,1641902,5.03
126,5.24,5.77,5.13,5.66,1801039,5.66
127,5.65,5.71,5.595,5.7,1648758,5.7
128,5.7,5.77,5.63,5.68,1382953,5.68
129,5.6801,5.85,5.605,5.84,782632,5.84
130,5.84,6.04,5.82,6.01,1214201,6.01
131,6.019,6.03,5.87,5.905,1590837,5.905
132,5.905,5.97,5.835,5.85,2741110,5.85
133,5.85,6.08,5.77,6.05,409155,6.05
134,6.06,6.075,5.97,6.031,588854,6.031
135,6.035,6.04,5.985,6.0,617849,6.0
136,6.0,6.05,5.985,5.995,869328,5.995
137,5.995,6.01,5.97,5.985,428158,5.985
138,5.99,6.0,5.96,5.99,345990,5.99
139,5.99,6.05,5.98,6.0,1551537,6.0
140,5.95,6.105,5.94,6.09,415958,6.09
141,6.085,6.11,5.95,5.96,714803,5.96
142,5.96,6.0,5.935,5.995,431502,5.995
143,5.995,6.05,5.99,6.03,274951,6.03
144,6.03,6.04,5.99,6.025,437557,6.025
145,6.025,6.035,5.98,5.985,220627,5.985
146,5.98,6.0,5.94,5.95,968655,5.95
147,5.9,5.95,5.792,5.92,134272,5.92
148,5.92,5.975,5.9,5.91,228231,5.91
149,5.915,5.99,5.87,5.97,389773,5.97
150,5.98,5.98,5.9,5.905,164948,5.905
151,5.91,5.915,5.8,5.82,170546,5.82
152,5.82,5.82,5.75,5.76,213987,5.76
153,5.765,5.83,5.76,5.79,673705,5.79
154,5.74,5.93,5.72,5.92,351034,5.92
155,5.915,5.975,5.79,5.795,372509,5.795
156,5.79,5.92,5.79,5.875,406384,5.875
157,5.88,5.93,5.86,5.9,218574,5.9
158,5.905,5.91,5.79,5.82,247196,5.82
159,5.825,5.865,5.81,5.85,235530,5.85
160,5.84,5.97,5.84,5.88,794131,5.88
161,5.92,6.0,5.84,5.97,154753,5.97
162,5.975,6.08,5.91,5.94,453544,5.94
163,5.945,5.97,5.92,5.9535,347310,5.9535
164,5.96,6.0,5.91,6.0,255330,6.0
165,5.995,6.0,5.96,5.975,103277,5.975
166,5.975,5.99,5.935,5.935,595977,5.935
167,5.93,5.96,5.87,5.89,1522037,5.89
168,5.8,5.93,5.8,5.91,120447,5.91
169,5.9,5.92,5.84,5.845,306587,5.845
170,5.86,5.9,5.82,5.9,235498,5.9
171,5.89,5.9,5.83,5.855,203004,5.855
172,5.86,5.87,5.82,5.83,141637,5.83
173,5.83,5.9,5.81,5.89,345165,5.89
174,5.885,5.885,5.81,5.83,1051088,5.83
175,5.87,5.93,5.8,5.805,267382,5.805
176,5.805,5.86,5.78,5.8135,248158,5.8135
177,5.82,5.895,5.82,5.87,267416,5.87
178,5.87,5.91,5.85,5.89,308707,5.89
179,5.88,5.92,5.86,5.865,237813,5.865
180,5.86,5.98,5.855,5.98,224782,5.98
181,5.975,6.01,5.93,5.95,416609,5.95
182,6.0,6.045,5.95,5.96,127033,5.96
183,5.96,5.985,5.905,5.91,218900,5.91
184,5.92,5.96,5.9,5.95,237504,5.95
185,5.95,6.04,5.95,6.035,107929,6.035
186,6.04,6.08,5.97,5.975,255804,5.975
187,5.975,6.085,5.97,6.085,251354,6.085
188,6.08,6.1,6.02,6.05,1785672,6.05
189,6.1,6.1,6.04,6.065,221397,6.065
190,6.065,6.17,6.04,6.13,387903,6.13
191,6.13,6.16,6.08,6.095,254031,6.095
192,6.095,6.17,6.07,6.17,199281,6.17
193,6.17,6.17,6.13,6.14,195747,6.14
194,6.14,6.165,6.11,6.11,176027,6.11
195,6.115,6.145,6.1,6.11,1059726,6.11
196,6.14,6.195,6.07,6.195,217913,6.195
197,6.195,6.21,6.15,6.17,250753,6.17
198,6.17,6.23,6.16,6.215,169771,6.215
199,6.22,6.25,6.19,6.22,142733,6.22
200,6.215,6.28,6.21,6.27,143236,6.27
201,6.275,6.33,6.26,6.3178,190675,6.3178
202,6.315,6.34,6.29,6.34,693510,6.34
203,6.26,6.33,6.235,6.24,111366,6.24
204,6.24,6.26,6.19,6.23,152914,6.23
