Date,Open,High,Low,Close,Volume,Adj Close
0,14.22,14.5,14.1,14.12,678592,14.12
1,14.12,14.2,14.03,14.19,422549,14.19
2,14.195,14.23,14.1,14.105,471056,14.105
3,14.11,14.11,13.94,14.005,538020,14.005
4,14.02,14.035,13.91,13.92,256430,13.92
5,13.93,13.94,13.88,13.881,273834,13.881
6,13.881,13.89,13.79,13.8101,186869,13.8101
7,13.82,13.89,13.8,13.845,126874,13.845
8,13.85,13.86,13.69,13.72,267210,13.72
9,13.72,13.76,13.65,13.69,199252,13.69
10,13.68,13.71,13.585,13.64,185553,13.64
11,13.65,13.735,13.61,13.7,96939,13.7
12,13.7,13.7,13.57,13.59,182309,13.59
13,13.6,13.61,13.55,13.6,164332,13.6
14,13.605,13.61,13.5,13.58,128830,13.58
15,13.59,13.64,13.565,13.62,115569,13.62
16,13.615,13.62,13.535,13.555,137784,13.555
17,13.56,13.61,13.55,13.595,114543,13.595
18,13.6,13.7,13.6,13.7,124232,13.7
19,13.7,13.73,13.65,13.66,128798,13.66
20,13.66,13.705,13.59,13.59,139741,13.59
21,13.59,13.625,13.525,13.56,166439,13.56
22,13.57,13.62,13.53,13.615,128140,13.615
23,13.62,13.72,13.61,13.7127,134671,13.7127
24,13.72,13.86,13.67,13.8599,267816,13.8599
25,13.86,13.89,13.81,13.83,499676,13.83
26,13.81,13.96,13.76,13.81,356710,13.81
27,13.81,13.81,13.6,13.635,394780,13.635
28,13.63,13.63,13.46,13.54,321942,13.54
29,13.54,13.7,13.49,13.6,208764,13.6
30,13.6,13.77,13.6,13.66,234226,13.66
31,13.665,13.68,13.57,13.59,128535,13.59
32,13.59,13.74,13.575,13.71,322929,13.71
33,13.72,13.82,13.72,13.82,192294,13.82
34,13.81,13.815,13.72,13.72,136559,13.72
35,13.71,13.825,13.71,13.76,137088,13.76
36,13.76,13.77,13.74,13.74,74582,13.74
37,13.74,13.755,13.69,13.72,150367,13.72
38,13.725,13.87,13.72,13.87,107496,13.87
39,13.87,13.91,13.81,13.815,114300,13.815
40,13.83,13.87,13.825,13.845,156660,13.845
41,13.84,13.85,13.8,13.8,67645,13.8
42,13.805,13.84,13.805,13.81,60783,13.81
43,13.81,13.84,13.725,13.745,105712,13.745
44,13.74,13.82,13.73,13.8,78920,13.8
45,13.8,13.82,13.74,13.78,66103,13.78
46,13.79,13.82,13.75,13.75,92406,13.75
47,13.76,13.78,13.74,13.76,111089,13.76
48,13.7599,13.77,13.7,13.7,103370,13.7
