Date,Close,High,Low,Open,Volume,Adj Close
2015-11-25 10:30:00,60.31,60.6699,60.05,60.0915,139390,60.31
2015-11-25 11:30:00,60.2399,60.27,60.05,60.235,121810,60.2399
2015-11-25 12:30:00,60.14,60.26,60.01,60.26,140685,60.14
2015-11-25 13:30:00,60.04,60.18,60.0,60.145,67340,60.04
2015-11-25 14:30:00,60.07,60.0898,59.893,60.04,104218,60.07
2015-11-25 15:30:00,60.06,60.09,59.95,60.08,148856,60.06
2015-11-25 16:00:00,59.95,60.075,59.93,60.06,236362,59.95
2015-11-27 10:30:00,60.51,60.56,60.09,60.178,141996,60.51
2015-11-27 11:30:00,60.32,60.56,60.13,60.56,73064,60.32
2015-11-27 12:30:00,60.35,60.44,60.2,60.25,124015,60.35
2015-11-27 13:30:00,60.45,60.45,60.23,60.37,184164,60.45
2015-11-30 10:30:00,60.37,60.68,59.67,60.51,246111,60.37
2015-11-30 11:30:00,60.65,60.69,60.35,60.35,414056,60.65
2015-11-30 12:30:00,61.1,61.3475,60.7,60.7,314341,61.1
2015-11-30 13:30:00,60.94,61.16,60.73,61.07,143459,60.94
2015-11-30 14:30:00,61.0388,61.24,60.8501,60.935,193778,61.0388
2015-11-30 15:30:00,61.12,61.2975,61.09,61.09,251327,61.12
2015-11-30 16:00:00,61.38,61.4,61.15,61.15,361377,61.38
2015-12-01 10:30:00,60.835,61.14,60.2,61.14,343291,60.835
2015-12-01 11:30:00,60.94,61.18,60.67,60.775,208712,60.94
2015-12-01 12:30:00,60.8,61.0211,60.61,61.0211,141561,60.8
2015-12-01 13:30:00,61.24,61.44,60.84,60.85,236667,61.24
2015-12-01 14:30:00,61.41,61.51,61.11,61.24,161348,61.41
2015-12-01 15:30:00,61.8,61.85,61.43,61.44,297483,61.8
2015-12-01 16:00:00,62.2,62.65,61.83,61.85,565375,62.2
2015-12-02 10:30:00,61.57,62.0,61.57,61.71,289847,61.57
2015-12-02 11:30:00,61.7,61.82,61.44,61.59,228619,61.7
2015-12-02 12:30:00,61.11,61.6503,60.95,61.6503,197175,61.11
2015-12-02 13:30:00,60.9,61.05,60.75,61.04,111962,60.9
2015-12-02 14:30:00,60.82,61.12,60.75,60.89,161198,60.82
2015-12-02 15:30:00,60.5875,60.88,60.58,60.75,285299,60.5875
2015-12-02 16:00:00,60.66,60.66,60.55,60.62,286961,60.66
2015-12-03 10:30:00,59.65,60.96,59.65,60.96,206916,59.65
2015-12-03 11:30:00,59.68,59.84,59.52,59.58,179975,59.68
2015-12-03 12:30:00,59.53,59.685,59.41,59.62,175709,59.53
2015-12-03 13:30:00,59.49,59.58,59.2,59.52,207637,59.49
2015-12-03 14:30:00,59.35,59.52,59.34,59.46,197067,59.35
2015-12-03 15:30:00,58.95,59.49,58.83,59.39,466342,58.95
2015-12-03 16:00:00,59.0,59.058,58.9,58.95,298233,59.0
2015-12-04 10:30:00,59.468,60.1,59.27,59.27,101989,59.468
2015-12-04 11:30:00,59.3399,59.66,59.19,59.44,128140,59.3399
2015-12-04 12:30:00,58.97,59.37,58.87,59.35,124722,58.97
2015-12-04 13:30:00,59.49,59.55,58.97,58.97,162591,59.49
2015-12-04 14:30:00,59.38,59.51,59.17,59.51,130581,59.38
2015-12-04 15:30:00,59.66,59.7696,59.41,59.44,86392,59.66
2015-12-04 16:00:00,59.64,59.66,59.52,59.57,124200,59.64
2015-12-07 10:30:00,60.565,60.96,60.05,60.68,278105,60.565
2015-12-07 11:30:00,60.17,60.87,59.78,60.44,327642,60.17
2015-12-07 12:30:00,60.26,60.4099,59.8427,60.18,179873,60.26
2015-12-07 13:30:00,60.62,60.69,60.17,60.27,111282,60.62
2015-12-07 14:30:00,60.64,60.87,60.53,60.6,134326,60.64
2015-12-07 15:30:00,60.79,60.79,60.54,60.68,204950,60.79
2015-12-07 16:00:00,60.8,60.89,60.71,60.75,213905,60.8
2015-12-08 10:30:00,60.06,60.5025,59.88,60.12,221390,60.06
2015-12-08 11:30:00,60.46,60.56,59.97,60.07,191190,60.46
2015-12-08 12:30:00,60.58,60.6,60.21,60.46,107634,60.58
2015-12-08 13:30:00,60.48,60.65,60.383,60.54,108439,60.48
2015-12-08 14:30:00,60.37,60.83,60.37,60.54,197191,60.37
2015-12-08 15:30:00,60.18,60.3501,60.11,60.33,166341,60.18
2015-12-08 16:00:00,60.05,60.34,60.04,60.18,216823,60.05
2015-12-09 10:30:00,59.7,60.11,59.35,59.97,219219,59.7
2015-12-09 11:30:00,59.45,59.94,59.3355,59.81,207959,59.45
2015-12-09 12:30:00,58.77,59.58,58.68,59.45,152589,58.77
2015-12-09 13:30:00,58.64,58.92,58.52,58.72,233513,58.64
2015-12-09 14:30:00,58.68,58.83,58.6,58.75,175354,58.68
2015-12-09 15:30:00,58.81,58.85,58.62,58.75,167011,58.81
2015-12-09 16:00:00,58.7899,58.81,58.66,58.79,261518,58.7899
2015-12-10 10:30:00,59.51,59.53,58.97,59.015,185076,59.51
2015-12-10 11:30:00,58.7,59.6,58.7,59.54,143723,58.7
2015-12-10 12:30:00,58.7584,58.9759,58.66,58.72,121323,58.7584
2015-12-10 13:30:00,58.8,58.91,58.59,58.77,123570,58.8
2015-12-10 14:30:00,58.9,58.92,58.75,58.8,91450,58.9
2015-12-10 15:30:00,58.73,59.23,58.62,58.9175,194350,58.73
2015-12-10 16:00:00,58.77,58.81,58.72,58.77,240161,58.77
2015-12-11 10:30:00,59.045,59.27,58.38,58.38,188862,59.045
2015-12-11 11:30:00,58.4,59.07,58.33,59.07,130977,58.4
2015-12-11 12:30:00,58.59,58.598,58.3575,58.4,194113,58.59
2015-12-11 13:30:00,58.57,58.69,58.53,58.56,56291,58.57
2015-12-11 14:30:00,59.2043,59.47,58.59,58.6299,339965,59.2043
2015-12-11 15:30:00,58.8153,59.46,58.8,59.19,200835,58.8153
2015-12-11 16:00:00,58.93,58.95,58.84,58.885,198243,58.93
2015-12-14 10:30:00,58.7,59.78,58.66,59.75,349308,58.7
2015-12-14 11:30:00,57.3,58.68,57.19,58.68,472632,57.3
2015-12-14 12:30:00,57.45,57.45,56.8501,57.19,464361,57.45
2015-12-14 13:30:00,56.92,57.675,56.92,57.55,431333,56.92
2015-12-14 14:30:00,57.05,57.1,56.8501,56.8501,253725,57.05
2015-12-14 15:30:00,57.14,57.16,56.93,57.02,313187,57.14
2015-12-14 16:00:00,57.275,57.275,57.11,57.16,212003,57.275
2015-12-15 10:30:00,58.04,58.405,57.73,57.73,218208,58.04
2015-12-15 11:30:00,58.01,58.08,57.6301,58.05,242717,58.01
2015-12-15 12:30:00,58.33,58.33,57.94,57.96,200980,58.33
2015-12-15 13:30:00,58.11,58.57,58.11,58.35,99671,58.11
2015-12-15 14:30:00,58.1,58.42,58.09,58.15,114394,58.1
2015-12-15 15:30:00,58.02,58.3396,58.02,58.16,130681,58.02
2015-12-15 16:00:00,58.02,58.08,57.97,57.99,190909,58.02
2015-12-16 10:30:00,58.555,58.71,58.36,58.52,119055,58.555
2015-12-16 11:30:00,58.18,58.55,57.99,58.49,140153,58.18
2015-12-16 12:30:00,58.0,58.28,57.96,58.28,246482,58.0
2015-12-16 13:30:00,57.95,58.28,57.95,58.05,149080,57.95
2015-12-16 14:30:00,58.06,58.42,57.8,57.94,133232,58.06
2015-12-16 15:30:00,58.12,58.55,57.955,57.955,139507,58.12
2015-12-16 16:00:00,57.94,58.16,57.94,58.12,238904,57.94
2015-12-17 10:30:00,57.42,58.185,57.3994,58.14,271273,57.42
2015-12-17 11:30:00,57.16,57.45,57.11,57.39,199222,57.16
2015-12-17 12:30:00,57.03,57.12,56.98,57.11,173661,57.03
2015-12-17 13:30:00,57.22,57.29,57.0,57.0362,200831,57.22
2015-12-17 14:30:00,57.41,57.44,57.22,57.245,136667,57.41
2015-12-17 15:30:00,57.3,57.49,57.22,57.42,98426,57.3
2015-12-17 16:00:00,57.12,57.3662,57.115,57.26,171591,57.12
2015-12-18 10:30:00,56.49,56.91,56.43,56.91,258662,56.49
2015-12-18 11:30:00,56.55,56.6206,56.39,56.5096,149704,56.55
2015-12-18 12:30:00,56.69,56.71,56.5,56.5525,94897,56.69
2015-12-18 13:30:00,56.69,56.87,56.62,56.69,71359,56.69
2015-12-18 14:30:00,56.69,56.75,56.56,56.73,108154,56.69
2015-12-18 15:30:00,56.595,56.82,56.5,56.68,261746,56.595
2015-12-18 16:00:00,56.78,57.01,56.61,56.63,141572,56.78
2015-12-21 10:30:00,56.35,56.97,56.26,56.93,136650,56.35
2015-12-21 11:30:00,55.88,56.41,55.74,56.41,306699,55.88
2015-12-21 12:30:00,55.7,55.83,55.485,55.83,244750,55.7
2015-12-21 13:30:00,55.9,55.94,55.64,55.735,163541,55.9
2015-12-21 14:30:00,55.75,56.01,55.6001,55.93,140995,55.75
2015-12-21 15:30:00,55.8581,55.8581,55.66,55.68,181355,55.8581
2015-12-21 16:00:00,56.1,56.15,55.8,55.8783,191564,56.1
2015-12-22 10:30:00,56.38,56.57,56.053,56.053,209015,56.38
2015-12-22 11:30:00,56.36,56.44,56.28,56.37,158596,56.36
2015-12-22 12:30:00,56.415,56.535,56.35,56.38,164313,56.415
2015-12-22 13:30:00,56.435,56.5,56.41,56.415,131074,56.435
2015-12-22 14:30:00,56.825,56.87,56.41,56.43,230611,56.825
2015-12-22 15:30:00,56.865,57.02,56.85,56.85,189566,56.865
2015-12-22 16:00:00,56.65,56.84,56.56,56.84,218888,56.65
2015-12-23 10:30:00,57.0,57.25,56.45,56.6,149870,57.0
2015-12-23 11:30:00,56.96,57.15,56.81,57.15,176558,56.96
2015-12-23 12:30:00,57.3,57.5,57.12,57.12,121250,57.3
2015-12-23 13:30:00,57.46,57.5,57.32,57.32,74359,57.46
2015-12-23 14:30:00,57.4001,57.5,57.356,57.45,79745,57.4001
