Date,Open,High,Low,Close,Volume,Adj Close
0,44.67,44.67,44.67,44.67,200,44.67
1,44.29,44.64,44.22,44.46,74629,44.46
2,44.19,44.445,44.0,44.37,50639,44.37
3,44.225,44.5,44.15,44.21,50388,44.21
4,44.55,44.63,44.16,44.24,28651,44.24
5,44.39,44.68,44.39,44.57,33346,44.57
6,44.41,44.6,44.41,44.43,26910,44.43
7,44.04,44.45,44.02,44.41,20541,44.41
8,44.17,44.17,43.94,44.02,64632,44.02
9,44.25,44.3,44.0,44.18,58456,44.18
10,44.06,44.3,44.06,44.26,28619,44.26
11,43.91,44.08,43.84,44.07,43318,44.07
12,43.77,43.91,43.62,43.91,28268,43.91
13,43.775,43.89,43.75,43.77,27373,43.77
14,43.82,43.86,43.775,43.79,30103,43.79
15,43.9,43.94,43.8,43.83,11600,43.83
16,43.91,44.02,43.845,43.845,21329,43.845
17,43.87,43.97,43.86,43.92,26465,43.92
18,43.91,43.93,43.78,43.87,25480,43.87
19,43.5,43.94,43.48,43.92,63241,43.92
20,43.53,43.54,43.36,43.5,27811,43.5
21,43.39,43.58,43.39,43.55,33249,43.55
22,43.3,43.39,43.23,43.37,75039,43.37
23,43.37,43.5,43.27,43.31,97443,43.31
24,43.53,43.54,43.27,43.38,86447,43.38
25,43.71,43.72,43.47,43.54,90375,43.54
26,43.68,43.77,43.575,43.7,375510,43.7
27,42.8,43.01,42.63,42.95,45392,42.95
28,42.66,42.93,42.66,42.82,36604,42.82
29,42.6996,42.72,42.52,42.63,46214,42.63
30,42.82,42.94,42.66,42.66,50354,42.66
31,42.7,42.87,42.63,42.82,106340,42.82
32,42.57,42.8,42.54,42.71,46460,42.71
33,42.53,42.62,42.46,42.58,43630,42.58
34,42.66,42.73,42.49,42.54,41423,42.54
35,42.54,42.76,42.54,42.68,29546,42.68
36,42.5,42.62,42.34,42.53,54327,42.53
37,42.45,42.6,42.4,42.51,32930,42.51
38,42.21,42.44,42.131,42.42,20858,42.42
39,42.11,42.29,42.07,42.22,35936,42.22
40,42.43,42.43,42.011,42.09,39858,42.09
41,42.35,42.47,42.31,42.41,39006,42.41
42,42.41,42.43,42.23,42.37,16404,42.37
43,42.82,42.84,42.43,42.43,22000,42.43
44,42.86,42.94,42.75,42.85,22269,42.85
45,42.93,43.0,42.64,42.86,21633,42.86
46,42.81,43.0,42.79,42.92,33860,42.92
47,42.82,42.9,42.72,42.81,33778,42.81
48,43.005,43.13,42.75,42.81,70831,42.81
49,43.25,43.25,42.92,42.99,48118,42.99
50,43.76,43.78,43.26,43.26,57770,43.26
51,43.5,43.77,43.43,43.75,83974,43.75
52,43.39,43.5,43.27,43.5,93323,43.5
53,43.6,43.6,43.3,43.3,21488,43.3
54,42.125,43.6,42.07,43.6,153396,43.6
55,42.305,42.59,42.085,42.09,71616,42.09
56,42.8,42.93,42.32,42.32,115028,42.32
57,43.39,43.42,42.75,42.7801,146234,42.7801
58,43.59,43.63,43.27,43.41,46950,43.41
59,43.43,43.9,43.4,43.59,159024,43.59
