Date,Open,High,Low,Close,Volume,Adj Close
0,47.9,47.99,47.63,47.88,31943,47.88
1,47.74,47.9,47.67,47.85,37805,47.85
2,47.69,47.865,47.64,47.75,132280,47.75
3,47.75,47.84,47.66,47.7,73906,47.7
4,47.57,47.78,47.53,47.77,50849,47.77
5,47.67,47.79,47.57,47.58,42778,47.58
6,47.56,47.8,47.54,47.67,218705,47.67
7,47.53,47.74,47.19,47.45,70177,47.45
8,47.59,47.62,47.35,47.515,213696,47.515
9,47.82,47.82,47.534,47.58,64847,47.58
10,47.99,48.07,47.81,47.83,75333,47.83
11,48.02,48.03,47.88,47.99,114211,47.99
12,47.71,48.03,47.7,48.02,73988,48.02
13,47.42,47.72,47.41,47.72,198137,47.72
14,46.45,46.81,46.23,46.56,132734,46.56
15,46.54,46.7025,46.38,46.465,301268,46.465
16,46.53,46.67,46.31,46.54,164353,46.54
17,46.55,46.69,46.34,46.55,123177,46.55
18,46.47,46.61,46.46,46.56,138622,46.56
19,46.56,46.56,46.36,46.47,385837,46.47
20,46.69,46.7,46.25,46.54,580913,46.54
21,47.25,47.36,46.55,46.82,64386,46.82
22,47.28,47.3,46.99,47.25,257502,47.25
23,47.26,47.32,47.12,47.28,199079,47.28
24,47.14,47.27,46.98,47.27,344714,47.27
25,47.44,47.485,47.15,47.15,200219,47.15
26,47.5,47.52,47.27,47.44,195335,47.44
27,47.52,47.53,47.32,47.5,585809,47.5
28,47.52,47.595,46.72,46.72,89359,46.72
29,47.4,47.64,47.1,47.53,182106,47.53
30,47.3,47.55,47.17,47.4,163744,47.4
31,46.93,47.3,46.93,47.3,78648,47.3
32,46.88,46.99,46.8,46.93,64889,46.93
33,46.86,46.99,46.76,46.88,214591,46.88
34,46.8,46.86,46.66,46.85,425939,46.85
35,46.79,47.08,45.9,45.9,145394,45.9
36,47.08,47.145,46.57,46.73,179148,46.73
37,47.0,47.11,46.87,47.08,314035,47.08
38,46.81,47.07,46.78,47.0,272149,47.0
39,46.55,46.81,46.37,46.81,140065,46.81
40,46.47,46.65,46.34,46.54,137471,46.54
41,46.4,46.605,46.31,46.45,236508,46.45
42,46.92,48.305,46.78,47.14,161213,47.14
43,46.56,46.92,46.45,46.92,164817,46.92
44,46.61,46.63,46.27,46.57,208034,46.57
45,46.46,46.7,46.42,46.62,192002,46.62
46,46.49,46.53,46.38,46.45,112144,46.45
47,46.33,46.51,46.24,46.49,140554,46.49
48,45.99,46.42,45.88,46.34,517888,46.34
49,45.99,46.61,45.99,46.2,133628,46.2
50,46.04,46.39,45.93,46.0,135042,46.0
51,46.34,46.4,45.97,46.015,171193,46.015
52,46.285,46.4,46.18,46.34,253996,46.34
53,45.49,46.33,45.47,46.29,275568,46.29
54,45.565,45.67,45.46,45.5,181674,45.5
55,45.75,45.86,45.425,45.57,735331,45.57
56,46.46,46.465,46.08,46.33,90853,46.33
57,46.4,46.49,46.12,46.42,189896,46.42
58,46.83,46.84,46.36,46.4,408282,46.4
59,46.73,46.84,46.575,46.83,169521,46.83
60,46.52,46.85,46.41,46.73,215194,46.73
61,46.63,46.78,46.38,46.51,308302,46.51
62,46.94,46.99,46.485,46.64,308601,46.64
63,46.35,47.23,46.15,47.02,182150,47.02
64,46.29,46.4125,46.24,46.35,107038,46.35
65,45.745,46.29,45.7011,46.29,132149,46.29
66,45.285,45.84,45.255,45.78,131674,45.78
67,44.97,45.29,44.9168,45.29,339867,45.29
68,44.34,44.97,43.93,44.96,506802,44.96
69,44.38,44.7,44.31,44.3599,807996,44.3599
70,43.94,44.64,43.8775,44.48,97395,44.48
71,44.53,45.0,43.89,43.94,329486,43.94
72,44.82,44.82,44.29,44.53,239213,44.53
73,45.06,45.14,44.81,44.82,166260,44.82
74,45.05,45.24,44.98,45.05,119376,45.05
75,45.14,45.14,44.9,45.04,199282,45.04
76,45.01,45.26,44.97,45.13,618668,45.13
77,44.07,44.38,43.77,43.77,57399,43.77
78,44.48,44.61,43.82,44.04,151240,44.04
79,44.26,44.67,44.25,44.47,132650,44.47
80,43.93,44.28,43.77,44.28,111843,44.28
81,44.11,44.29,43.87,43.93,129958,43.93
82,44.31,44.33,43.93,44.1,188528,44.1
83,44.07,44.41,43.96,44.3,585550,44.3
84,44.19,44.67,44.0,44.67,125468,44.67
85,44.41,44.68,44.15,44.21,139295,44.21
86,44.06,44.45,43.94,44.41,172248,44.41
87,43.82,44.08,43.62,44.07,129062,44.07
88,43.91,44.02,43.78,43.83,84874,43.83
89,43.3,43.94,43.23,43.92,199340,43.92
90,43.68,43.77,43.27,43.31,649775,43.31
91,42.66,43.01,42.63,42.95,81996,42.95
92,42.57,42.94,42.52,42.63,249368,42.63
93,42.5,42.76,42.34,42.58,168926,42.58
94,42.43,42.6,42.011,42.51,129582,42.51
95,42.86,42.94,42.23,42.41,99679,42.41
96,43.005,43.13,42.64,42.86,160102,42.86
97,43.39,43.78,42.92,42.99,283185,42.99
98,42.305,43.6,42.07,43.3,246500,43.3
99,43.43,43.9,42.32,42.32,467236,42.32
100,43.44,43.65,43.16,43.44,177442,43.44
101,43.42,43.58,43.3,43.45,206950,43.45
102,43.28,43.55,42.99,43.43,79065,43.43
103,43.28,43.36,42.97,43.31,138384,43.31
104,43.19,43.49,43.06,43.26,231343,43.26
105,44.51,44.52,43.86,44.0,64581,44.0
106,44.37,44.54,44.29,44.51,106494,44.51
107,44.35,44.41,44.14,44.38,114615,44.38
108,44.64,44.65,44.36,44.36,121529,44.36
109,44.63,44.64,44.48,44.64,46699,44.64
110,44.56,44.75,44.43,44.63,182517,44.63
111,44.69,44.75,44.47,44.56,306859,44.56
112,44.53,44.78,44.01,44.68,65685,44.68
113,44.22,44.61,44.22,44.51,110764,44.51
114,44.07,44.27,44.05,44.21,163267,44.21
115,44.19,44.26,44.06,44.07,125175,44.07
116,44.05,44.31,44.05,44.21,134134,44.21
117,44.11,44.1899,44.02,44.04,111752,44.04
118,43.65,44.14,43.54,44.11,403710,44.11
119,44.1,44.24,43.58,43.73,125114,43.73
120,44.32,44.53,44.13,44.13,154250,44.13
121,44.28,44.46,44.25,44.33,84006,44.33
122,44.78,44.8,44.28,44.28,80187,44.28
123,45.168,45.18,44.79,44.81,200971,44.81
124,45.2,45.26,45.07,45.17,255754,45.17
125,45.15,45.29,45.07,45.2,350986,45.2
126,44.93,44.97,43.94,44.76,224656,44.76
127,44.72,44.96,44.6,44.96,717433,44.96
128,44.75,44.83,44.58,44.74,300589,44.74
129,44.715,44.96,44.7,44.75,200653,44.75
130,44.54,44.79,44.46,44.72,135000,44.72
131,44.13,44.6,44.1,44.56,276176,44.56
132,44.08,44.2,43.81,44.115,584162,44.115
133,45.34,45.34,44.53,44.72,114657,44.72
134,44.49,45.32,44.22,45.3,273041,45.3
135,44.34,44.75,44.33,44.48,155592,44.48
136,44.595,44.79,44.31,44.31,128650,44.31
137,44.26,44.66,44.25,44.61,124661,44.61
138,44.13,44.57,44.11,44.27,148490,44.27
139,44.36,44.44,44.1,44.11,517770,44.11
140,45.65,45.67,44.41,44.57,181780,44.57
141,45.89,46.13,45.38,45.67,423429,45.67
142,46.35,46.41,45.9,45.9,383879,45.9
143,46.3,46.54,46.15,46.35,418285,46.35
144,46.29,46.4,46.22,46.31,153134,46.31
145,46.37,46.47,46.05,46.28,229865,46.28
146,47.04,47.06,46.34,46.37,747920,46.37
147,46.26,46.65,46.01,46.5,218235,46.5
148,46.72,46.808,45.975,46.22,427070,46.22
149,46.81,47.02,46.68,46.73,337536,46.73
150,46.38,46.54,46.34,46.41,75282,46.41
151,46.62,46.75,46.39,46.39,269461,46.39
152,46.76,46.81,46.32,46.61,263648,46.61
153,46.69,46.94,46.64,46.759,576629,46.759
154,46.165,46.63,46.0,46.31,99915,46.31
155,46.02,46.2,45.83,46.15,320271,46.15
156,46.06,46.38,46.01,46.04,248345,46.04
157,45.92,46.15,45.85,46.05,483870,46.05
158,45.695,46.08,45.69,45.93,173353,45.93
159,45.6,45.99,45.6,45.69,558711,45.69
160,45.88,45.97,45.59,45.6,748037,45.6
161,48.365,48.52,46.49,47.46,466067,47.46
162,48.01,48.34,47.3,48.34,965766,48.34
163,48.585,48.64,47.63,48.01,569363,48.01
164,48.12,48.82,47.995,48.57,309063,48.57
165,47.84,48.28,47.75,48.12,344786,48.12
166,47.895,48.02,47.67,47.87,676573,47.87
167,48.11,48.29,47.89,47.9,695446,47.9
168,47.93,48.01,47.2,47.2,168990,47.2
169,47.7,48.02,47.47,47.93,292926,47.93
170,47.52,47.75,47.25,47.73,205286,47.73
171,47.79,47.87,47.48,47.53,156011,47.53
172,47.8,47.96,47.7,47.79,137440,47.79
173,47.88,47.9,47.58,47.8,174948,47.8
174,48.0901,48.13,47.7,47.88,568934,47.88
175,47.62,48.21,47.56,47.84,141441,47.84
176,47.745,48.01,47.63,47.63,242397,47.63
177,47.69,47.82,47.51,47.74,293695,47.74
178,47.4125,47.77,47.39,47.69,268240,47.69
179,47.06,47.42,46.96,47.4,142161,47.4
180,46.61,47.09,46.6,47.06,187380,47.06
181,46.79,46.83,46.4,46.6,603847,46.6
182,45.44,45.97,45.155,45.74,112617,45.74
183,44.83,45.51,44.76,45.37,349174,45.37
184,44.68,44.92,44.275,44.83,302141,44.83
185,44.8,44.92,44.52,44.66,307502,44.66
186,44.75,44.88,44.57,44.84,271881,44.84
187,44.92,45.0899,44.74,44.74,328051,44.74
188,45.67,45.8,44.89,44.91,597883,44.91
189,45.78,45.95,44.58,44.73,99530,44.73
190,44.96,46.34,44.94,45.773,227901,45.773
191,45.33,45.8,44.97,44.97,228792,44.97
192,45.47,45.72,45.29,45.32,162027,45.32
193,45.07,45.51,44.98,45.5,122321,45.5
194,45.08,45.26,44.92,45.07,331419,45.07
195,44.99,45.45,44.92,45.08,471159,45.08
