Date,Open,High,Low,Close,Volume,Adj Close
0,30.53,30.7,30.38,30.52,140200,30.52
1,30.295,30.74,30.26,30.51,232229,30.51
2,30.3,30.44,30.27,30.29,175368,30.29
3,30.44,30.54,30.295,30.3,295986,30.3
4,30.46,30.56,30.37,30.43,166571,30.43
5,30.39,30.55,30.37,30.45,112079,30.45
6,30.05,30.43,30.02,30.39,111641,30.39
7,29.94,30.14,29.93,30.05,106570,30.05
8,30.02,30.065,29.92,29.95,50723,29.95
9,29.94,30.03,29.87,30.02,45137,30.02
10,29.91,29.96,29.84,29.93,42665,29.93
11,29.72,29.905,29.695,29.905,64513,29.905
12,29.61,29.73,29.522,29.72,88087,29.72
13,29.75,29.77,29.61,29.61,54445,29.61
14,29.615,29.77,29.56,29.75,129288,29.75
15,29.835,29.8525,29.605,29.61,159159,29.61
16,30.07,30.125,29.825,29.84,134366,29.84
17,30.08,30.115,29.99,30.06,95872,30.06
18,30.075,30.14,29.9701,30.075,120093,30.075
19,30.01,30.16,30.01,30.075,105365,30.075
20,30.14,30.16,30.0,30.01,84942,30.01
21,30.335,30.35,30.13,30.14,59926,30.14
22,30.26,30.36,30.22,30.33,109854,30.33
23,30.28,30.29,30.11,30.27,90888,30.27
24,30.24,30.28,30.14,30.28,211166,30.28
25,30.24,30.25,30.18,30.22,351520,30.22
26,30.7,30.7,30.7,30.7,10231,30.7
27,30.04,30.71,30.04,30.51,74178,30.51
28,30.15,30.15,29.955,30.05,77575,30.05
29,30.19,30.28,30.07,30.15,76893,30.15
30,30.21,30.265,30.16,30.18,145202,30.18
31,30.16,30.3,30.08,30.21,96236,30.21
32,29.99,30.19,29.98,30.16,70367,30.16
33,29.895,30.01,29.8292,30.0,101567,30.0
34,30.0,30.01,29.89,29.91,60677,29.91
35,30.06,30.065,29.9792,30.0,113808,30.0
36,30.05,30.11,29.995,30.07,109174,30.07
37,30.01,30.07,30.0,30.05,90185,30.05
38,30.01,30.02,29.93,30.0199,56753,30.0199
39,29.99,30.06,29.98,30.01,67331,30.01
40,30.01,30.015,29.95,30.0,49116,30.0
41,29.94,30.06,29.93,30.01,61620,30.01
42,30.04,30.09,29.94,29.94,78739,29.94
43,30.07,30.13,29.995,30.05,213091,30.05
44,30.17,30.17,30.01,30.06,123259,30.06
