Date,Open,High,Low,Close,Volume,Adj Close
0,44.38,44.38,44.38,44.38,300,44.38
1,44.42,44.69,44.39,44.6,1902675,44.6
2,44.6,44.77,44.58,44.585,1312811,44.585
3,44.585,44.74,44.5,44.57,1448363,44.57
4,44.5699,44.755,44.55,44.64,1409800,44.64
5,44.63,44.63,44.3,44.33,1063687,44.33
6,44.33,44.35,44.11,44.1193,902529,44.1193
7,44.11,44.28,44.1037,44.166,896264,44.166
8,44.1696,44.22,44.05,44.06,951874,44.06
9,44.06,44.22,44.05,44.12,691844,44.12
10,44.13,44.22,44.1,44.14,481231,44.14
11,44.14,44.2,44.06,44.195,591737,44.195
12,44.19,44.2,43.94,43.96,943796,43.96
13,43.9577,44.0,43.85,43.87,709276,43.87
14,43.87,44.039,43.79,44.03,723645,44.03
15,44.029,44.095,43.98,44.02,672995,44.02
16,44.02,44.02,43.856,43.96,537915,43.96
17,43.96,44.19,43.94,44.19,768511,44.19
18,44.18,44.24,44.13,44.18,626527,44.18
19,44.18,44.32,44.04,44.266,968644,44.266
20,44.27,44.375,44.25,44.295,1106335,44.295
21,44.299,44.32,44.05,44.105,681007,44.105
22,44.1,44.25,44.07,44.12,700518,44.12
23,44.13,44.28,44.06,44.1699,639174,44.1699
24,44.17,44.66,44.16,44.63,1150615,44.63
25,44.63,44.65,44.48,44.49,1235456,44.49
26,44.49,44.52,44.31,44.43,2036409,44.43
27,45.0,45.0,45.0,45.0,200,45.0
28,45.03,45.33,44.79,44.895,2831968,44.895
29,44.8999,44.94,44.43,44.825,1501572,44.825
30,44.823,45.29,44.78,45.23,1289780,45.23
31,45.2258,45.41,45.151,45.41,1096606,45.41
32,45.41,45.57,45.39,45.517,904344,45.517
33,45.52,45.65,45.45,45.63,1014761,45.63
34,45.63,45.85,45.585,45.7049,1130027,45.7049
35,45.71,45.72,45.5,45.54,1057465,45.54
36,45.54,45.74,45.53,45.615,1111544,45.615
37,45.61,45.85,45.59,45.84,943473,45.84
38,45.85,46.0151,45.84,45.98,1239784,45.98
39,45.986,46.2,45.9,46.12,678788,46.12
40,46.129,46.33,46.07,46.265,710987,46.265
41,46.2699,46.2699,45.995,46.14,1050945,46.14
42,46.1376,46.26,45.99,46.0,831706,46.0
43,45.99,46.0,45.75,45.7566,780318,45.7566
44,45.7561,45.87,45.67,45.7436,903872,45.7436
45,45.7401,45.91,45.61,45.91,572201,45.91
46,45.91,46.005,45.7,45.755,746764,45.755
47,45.76,45.92,45.705,45.9065,559969,45.9065
48,45.905,46.01,45.89,45.965,665862,45.965
49,45.965,46.0887,45.86,46.0565,977760,46.0565
50,46.05,46.08,45.87,45.99,1079244,45.99
51,45.99,46.05,45.92,45.9906,894105,45.9906
52,45.9954,46.17,45.98,46.125,1105936,46.125
53,46.12,46.12,45.86,45.86,1945948,45.86
54,46.41,46.41,46.37,46.37,800,46.37
55,46.43,46.47,46.0,46.2345,1780551,46.2345
56,46.24,46.39,46.14,46.27,984123,46.27
57,46.28,46.37,46.26,46.31,686786,46.31
58,46.31,46.38,46.25,46.32,829262,46.32
59,46.325,46.39,46.25,46.39,753378,46.39
60,46.39,46.64,46.32,46.64,1078826,46.64
61,46.64,46.77,46.61,46.724,903077,46.724
62,46.73,46.89,46.71,46.82,708983,46.82
63,46.819,46.83,46.62,46.7,734308,46.7
64,46.6901,46.85,46.68,46.72,518602,46.72
65,46.72,46.9,46.72,46.86,568937,46.86
66,46.86,46.88,46.8,46.87,442937,46.87
67,46.87,46.87,46.76,46.796,484099,46.796
68,46.795,46.88,46.77,46.8555,385898,46.8555
69,46.859,46.88,46.7836,46.87,429206,46.87
70,46.87,46.95,46.86,46.87,418367,46.87
71,46.87,46.9,46.83,46.8899,507397,46.8899
72,46.89,47.0,46.885,46.991,438544,46.991
73,47.0,47.09,46.94,47.07,658400,47.07
74,47.0757,47.09,47.02,47.02,529707,47.02
75,47.02,47.1,46.92,46.93,833897,46.93
76,46.9201,47.06,46.9,47.02,642248,47.02
77,47.01,47.07,47.0,47.04,722979,47.04
78,47.035,47.09,47.01,47.07,609595,47.07
79,47.08,47.08,46.97,47.05,1008761,47.05
80,47.05,47.12,46.93,47.05,2472794,47.05
81,47.08,47.08,47.08,47.08,100,47.08
82,46.99,47.12,46.54,46.58,1293285,46.58
83,46.58,46.94,46.54,46.89,807832,46.89
84,46.89,47.08,46.87,46.99,476994,46.99
85,46.98,47.24,46.975,47.2249,641220,47.2249
86,47.23,47.26,47.09,47.26,770857,47.26
87,47.25,47.35,47.23,47.33,725544,47.33
88,47.33,47.34,47.23,47.3,458948,47.3
89,47.29,47.5,47.29,47.5,769803,47.5
90,47.5,47.69,47.49,47.65,1013136,47.65
91,47.65,47.69,47.59,47.64,679206,47.64
92,47.64,47.65,47.55,47.55,414161,47.55
93,47.54,47.57,47.53,47.5551,364376,47.5551
94,47.56,47.56,47.48,47.53,349346,47.53
95,47.5301,47.65,47.53,47.64,355457,47.64
96,47.6354,47.7,47.63,47.68,584823,47.68
97,47.675,47.78,47.59,47.61,592753,47.61
98,47.615,47.63,47.45,47.4615,791432,47.4615
99,47.4684,47.49,47.345,47.36,801448,47.36
100,47.35,47.45,47.33,47.395,884954,47.395
101,47.385,47.49,47.3,47.48,570858,47.48
102,47.48,47.485,47.33,47.33,508762,47.33
103,47.3379,47.35,47.28,47.29,795169,47.29
104,47.2994,47.31,47.2,47.215,1292351,47.215
105,47.2125,47.27,47.08,47.09,817306,47.09
106,47.085,47.12,46.98,47.03,1709374,47.03
107,47.04,47.12,47.0,47.045,1739093,47.045
108,47.13,47.546,47.05,47.46,1413330,47.46
109,47.46,47.635,47.385,47.61,746108,47.61
110,47.6001,47.88,47.58,47.8484,1175330,47.8484
111,47.84,47.9,47.76,47.78,578250,47.78
112,47.78,47.816,47.69,47.765,542327,47.765
113,47.76,47.8201,47.69,47.69,550064,47.69
