Date,Open,High,Low,Close,Volume,Adj Close
0,69.35,70.43,68.76,70.43,790219,70.43
1,69.96,69.99,69.12,69.33,487998,69.33
2,70.39,71.19,69.71,69.96,721854,69.96
3,70.71,70.76,70.26,70.34,215336,70.34
4,70.47,70.8,70.45,70.7,232143,70.7
5,70.7,70.79,70.44,70.47,328223,70.47
6,71.1887,71.22,70.63,70.705,492823,70.705
7,71.37,71.4,71.18,71.185,314053,71.185
8,71.385,71.61,71.34,71.38,255637,71.38
9,72.08,72.14,71.38,71.39,377345,71.39
10,71.9854,72.35,71.83,72.07,358443,72.07
11,71.94,72.06,71.84,71.98,183010,71.98
12,72.0,72.05,71.85,71.94,186037,71.94
13,72.0051,72.14,71.92,71.99,190276,71.99
14,72.05,72.1,71.99,72.0,197598,72.0
15,72.3,72.35,72.02,72.05,274250,72.05
16,72.2,72.3,72.06,72.3,145461,72.3
17,72.21,72.3,72.09,72.1922,137172,72.1922
18,72.4301,72.46,72.12,72.21,237418,72.21
19,72.495,72.6,72.43,72.43,262667,72.43
20,72.495,72.58,72.43,72.49,142606,72.49
21,72.56,72.64,72.39,72.49,123672,72.49
22,72.775,72.78,72.51,72.56,118123,72.56
23,72.62,72.81,72.55,72.776,180185,72.776
24,72.65,72.68,72.53,72.62,111977,72.62
25,72.6,72.71,72.53,72.65,107865,72.65
26,72.565,72.6,72.48,72.6,179001,72.6
27,72.495,72.61,72.48,72.56,163639,72.56
28,72.74,72.79,72.47,72.49,128428,72.49
29,72.89,72.91,72.73,72.76,94058,72.76
30,72.78,72.9099,72.73,72.9,127317,72.9
31,72.865,72.91,72.74,72.79,171206,72.79
32,72.935,72.97,72.86,72.86,159781,72.86
33,73.08,73.1,72.935,72.935,193675,72.935
34,73.14,73.14,73.0,73.08,94425,73.08
35,73.24,73.27,73.1201,73.14,135702,73.14
36,73.06,73.37,73.05,73.26,200871,73.26
37,73.12,73.16,72.98,73.05,118211,73.05
38,73.17,73.2,73.1,73.12,89193,73.12
39,73.15,73.22,73.11,73.1718,94011,73.1718
40,73.11,73.21,73.11,73.15,97464,73.15
41,73.19,73.25,73.11,73.11,100904,73.11
42,73.1463,73.3,73.115,73.195,94554,73.195
43,73.03,73.18,72.985,73.15,118420,73.15
44,72.91,73.056,72.8484,73.05,128463,73.05
45,72.86,72.93,72.83,72.92,108021,72.92
46,72.885,72.95,72.81,72.87,101857,72.87
47,72.89,72.99,72.86,72.888,88199,72.888
48,73.0,73.03,72.89,72.89,90536,72.89
49,72.92,73.06,72.86,73.01,122514,73.01
50,73.01,73.11,72.92,72.92,148259,72.92
51,73.165,73.22,72.995,73.02,100029,73.02
52,73.015,73.17,72.9601,73.17,80051,73.17
53,73.01,73.11,72.94,73.02,87562,73.02
54,73.03,73.045,72.87,73.0,135906,73.0
55,72.98,73.06,72.93,73.03,135028,73.03
56,72.92,72.99,72.87,72.97,100538,72.97
57,72.9,73.01,72.87,72.925,131183,72.925
58,72.92,72.95,72.86,72.905,80006,72.905
59,73.085,73.1,72.91,72.923,90766,72.923
60,73.029,73.08,72.92,73.08,84793,73.08
61,72.94,73.03,72.8977,73.02,109609,73.02
62,73.0,73.11,72.91,72.93,100241,72.93
63,73.07,73.09,72.98,72.98,88266,72.98
64,73.07,73.1,72.99,73.07,124183,73.07
65,73.01,73.08,72.86,73.08,112671,73.08
66,73.135,73.1399,72.89,73.0,148071,73.0
67,73.21,73.24,73.055,73.13,155755,73.13
68,73.31,73.325,73.18,73.219,180609,73.219
69,73.545,73.545,73.29,73.31,245384,73.31
70,73.706,73.72,73.55,73.55,256494,73.55
71,73.68,73.78,73.605,73.7,240912,73.7
72,73.73,73.79,73.61,73.68,260875,73.68
73,73.9325,74.0,73.72,73.725,356786,73.725
74,74.1,74.15,73.92,73.93,418482,73.93
75,74.15,74.25,74.05,74.11,560748,74.11
76,74.16,74.25,74.11,74.15,921385,74.15
77,74.25,74.5,73.76,74.16,1247308,74.16
78,73.6,74.26,73.5,74.08,340979,74.08
79,73.8101,73.85,73.46,73.59,205197,73.59
80,73.42,73.82,73.32,73.81,159162,73.81
81,73.27,73.61,73.25,73.42,252648,73.42
82,73.71,73.77,73.25,73.27,191756,73.27
83,73.57,73.74,73.49,73.68,89663,73.68
84,73.33,73.62,73.27,73.58,145946,73.58
85,73.43,73.51,73.3,73.33,94773,73.33
86,74.03,74.06,73.43,73.44,195201,73.44
87,74.11,74.2,73.91,74.05,163025,74.05
88,74.25,74.3,74.01,74.12,195143,74.12
89,74.25,74.3,74.09,74.26,123484,74.26
90,74.2,74.33,74.12,74.25,119520,74.25
91,74.14,74.35,74.14,74.2,155696,74.2
92,74.25,74.27,74.13,74.14,76819,74.14
93,74.07,74.31,74.065,74.25,94972,74.25
94,74.15,74.23,74.04,74.06,82354,74.06
95,74.23,74.3,74.105,74.15,85242,74.15
96,74.12,74.23,74.1,74.23,78547,74.23
97,74.205,74.27,74.11,74.11,109995,74.11
98,74.42,74.42,74.2,74.2,90046,74.2
99,74.415,74.48,74.4,74.41,119979,74.41
100,74.19,74.43,74.18,74.4153,92786,74.4153
