Date,Open,High,Low,Close,Volume,Adj Close
0,73.76,73.92,73.35,73.73,1661028,73.73
1,73.72,75.06,73.54,75.06,1783119,75.06
2,75.06,75.09,74.51,74.51,1292495,74.51
3,74.51,74.69,74.4282,74.46,702383,74.46
4,74.4699,74.49,73.56,73.805,1134219,73.805
5,73.8,74.05,73.4,73.89,1541506,73.89
6,73.89,74.3,73.6,73.8499,2547405,73.8499
7,74.06,74.46,73.8,74.355,1198220,74.355
8,74.34,74.51,73.52,73.67,1551887,73.67
9,73.68,73.79,73.05,73.64,1278999,73.64
10,73.64,74.06,73.61,73.88,738388,73.88
11,73.8727,74.07,73.63,73.7299,627435,73.7299
12,73.73,73.99,73.45,73.62,807971,73.62
13,73.62,73.7299,72.75,72.88,2112443,72.88
14,73.11,73.59,73.03,73.17,879061,73.17
15,73.165,73.75,73.16,73.31,1333493,73.31
16,73.3,73.6999,72.96,73.4,1214488,73.4
17,73.41,73.5,73.095,73.16,1147014,73.16
18,73.17,73.27,72.66,72.83,1583441,72.83
19,72.84,73.46,72.78,73.13,1248010,73.13
20,73.13,74.08,72.85,73.9,3003139,73.9
21,74.52,74.78,74.38,74.58,1391014,74.58
22,74.58,74.68,74.19,74.48,1222685,74.48
23,74.47,74.52,74.06,74.5,1109359,74.5
24,74.499,74.6599,74.16,74.35,809167,74.35
25,74.37,74.71,74.24,74.39,656904,74.39
26,74.38,74.8543,74.02,74.7758,915884,74.7758
27,74.7788,75.0,74.43,74.78,1975269,74.78
28,75.27,75.39,74.84,74.97,1000574,74.97
29,74.965,75.04,74.745,75.0,1064007,75.0
30,74.99,75.004,74.48,74.51,875168,74.51
31,74.51,74.67,73.95,73.97,863721,73.97
32,73.96,74.26,73.42,73.43,939849,73.43
33,73.44,73.82,72.99,73.4,1482954,73.4
34,73.4,73.66,72.99,73.07,2767620,73.07
35,73.15,73.53,72.7,72.93,1210769,72.93
36,72.95,74.52,72.66,74.09,1861779,74.09
37,74.08,74.16,73.54,73.92,863645,73.92
38,73.927,74.24,73.61,73.86,741346,73.86
39,73.87,74.26,73.81,74.18,835447,74.18
40,74.185,74.39,73.92,74.32,1185099,74.32
41,74.32,74.49,73.74,73.94,1866186,73.94
42,71.94,72.95,71.51,72.06,2167406,72.06
