Date,Open,High,Low,Close,Volume,Adj Close
0,15.61,15.61,15.61,15.61,8557,15.61
1,15.62,15.78,15.51,15.65,38494,15.65
2,15.67,15.97,15.66,15.73,63424,15.73
3,15.73,15.74,15.38,15.4701,49689,15.4701
4,15.48,15.64,15.43,15.43,30856,15.43
5,15.43,15.43,15.1702,15.29,74960,15.29
6,15.29,15.31,15.12,15.13,26434,15.13
7,15.13,15.38,15.11,15.335,32988,15.335
8,15.32,15.5199,15.32,15.51,14375,15.51
9,15.48,15.65,15.48,15.5,15618,15.5
10,15.4899,15.53,15.38,15.44,23050,15.44
11,15.47,15.48,15.35,15.42,5325,15.42
12,15.41,15.41,15.27,15.29,5460,15.29
13,15.27,15.3216,15.25,15.29,4662,15.29
14,15.28,15.43,15.27,15.4,12468,15.4
15,15.38,15.44,15.35,15.4,15100,15.4
16,15.4,15.43,15.34,15.4,11200,15.4
17,15.38,15.57,15.37,15.54,24180,15.54
18,15.55,15.75,15.55,15.58,22899,15.58
19,15.58,15.6,15.4,15.48,30622,15.48
20,15.47,15.47,15.37,15.38,18940,15.38
21,15.37,15.44,15.33,15.39,10704,15.39
22,15.38,15.59,15.38,15.57,14220,15.57
23,15.56,15.62,15.55,15.59,15450,15.59
24,15.58,15.75,15.58,15.72,26523,15.72
25,15.72,15.72,15.59,15.6,31482,15.6
26,15.59,15.67,15.51,15.63,70500,15.63
27,15.77,15.77,15.77,15.77,5734,15.77
28,15.95,15.96,15.55,15.55,37326,15.55
29,15.55,15.75,15.5,15.62,13838,15.62
30,15.63,15.9,15.63,15.9,36291,15.9
31,15.92,15.99,15.88,15.91,38098,15.91
32,15.92,15.98,15.85,15.85,21264,15.85
33,15.85,15.9,15.84,15.84,19590,15.84
34,15.84,15.96,15.84,15.96,24400,15.96
35,15.96,15.97,15.9,15.9,8730,15.9
36,15.94,15.94,15.872,15.88,8355,15.88
37,15.88,15.9,15.81,15.9,37900,15.9
38,15.89,15.99,15.89,15.98,23780,15.98
39,15.99,16.0,15.97,16.0,13691,16.0
40,16.0,16.0,15.94,15.94,10760,15.94
41,15.94,15.95,15.91,15.93,13172,15.93
42,15.95,16.0,15.95,15.97,12500,15.97
43,15.97,15.99,15.96,15.96,4530,15.96
44,15.952,15.96,15.93,15.96,8095,15.96
45,15.9581,15.9581,15.91,15.92,2955,15.92
46,15.94,15.94,15.8697,15.8697,2600,15.8697
47,15.87,15.9,15.85,15.9,4686,15.9
48,15.9,15.97,15.9,15.96,5893,15.96
49,15.96,15.98,15.93,15.97,5600,15.97
50,15.93,15.95,15.89,15.95,3767,15.95
51,15.93,15.93,15.8549,15.8549,4300,15.8549
52,15.87,15.9,15.86,15.9,11401,15.9
53,15.88,15.9,15.83,15.84,22044,15.84
54,16.16,16.16,16.0,16.0,6103,16.0
55,15.945,16.57,15.94,16.43,98265,16.43
56,16.44,16.57,16.36,16.57,22480,16.57
57,16.62,16.644,16.5,16.57,5251,16.57
58,16.57,16.58,16.43,16.47,4851,16.47
59,16.48,16.53,16.458,16.49,8350,16.49
60,16.47,16.48,16.37,16.4,6669,16.4
61,16.41,16.43,16.37,16.37,3348,16.37
62,16.35,16.4,16.27,16.28,16717,16.28
63,16.3,16.3,16.23,16.24,3177,16.24
64,16.255,16.27,16.16,16.19,10742,16.19
65,16.16,16.2216,16.15,16.18,4316,16.18
66,16.17,16.19,16.15,16.15,3600,16.15
67,16.16,16.19,16.15,16.16,2641,16.16
68,16.16,16.28,16.16,16.28,2700,16.28
69,16.28,16.29,16.24,16.29,2600,16.29
70,16.3,16.34,16.29,16.33,4175,16.33
71,16.32,16.36,16.32,16.34,4064,16.34
72,16.345,16.36,16.33,16.36,2900,16.36
73,16.35,16.38,16.33,16.37,3410,16.37
74,16.37,16.39,16.34,16.36,6100,16.36
75,16.377,16.377,16.31,16.33,4703,16.33
76,16.34,16.37,16.32,16.33,3372,16.33
77,16.33,16.34,16.28,16.2998,6500,16.2998
78,16.28,16.35,16.25,16.35,6134,16.35
79,16.34,16.34,16.26,16.3,14776,16.3
80,16.31,16.31,16.2,16.21,53996,16.21
81,16.2,16.2,16.2,16.2,6327,16.2
