Date,Open,High,Low,Close,Volume,Adj Close
0,17.8683,18.74,17.75,18.74,231233,18.74
1,18.29,18.35,17.77,17.85,231292,17.85
2,18.66,18.72,18.08,18.27,122281,18.27
3,18.54,18.66,18.51,18.66,76298,18.66
4,18.71,18.77,18.55,18.55,40754,18.55
5,18.7,18.79,18.59,18.7,26245,18.7
6,18.86,18.88,18.69,18.7,174852,18.7
7,19.21,19.4,18.7,18.86,61538,18.86
8,19.26,19.41,19.15,19.21,76523,19.21
9,19.28,19.39,19.2,19.2006,47863,19.2006
10,19.25,19.28,19.19,19.27,14003,19.27
11,19.35,19.35,19.18,19.23,33431,19.23
12,19.29,19.41,19.28,19.35,42684,19.35
13,19.27,19.31,19.21,19.285,101798,19.285
14,19.205,19.27,18.8427,19.2,85412,19.2
15,19.14,19.18,18.98,19.18,45263,19.18
16,19.09,19.16,19.03,19.15,31122,19.15
17,18.99,19.09,18.93,19.07,28522,19.07
18,19.02,19.17,18.86,18.97,185580,18.97
19,19.02,19.33,18.96,19.04,606804,19.04
20,18.94,19.07,18.85,19.0,205428,19.0
21,17.99,18.41,17.75,18.32,200772,18.32
22,18.1,18.15,17.6401,17.95,202798,17.95
23,17.9626,18.11,17.8,18.09,134405,18.09
24,18.03,18.14,17.93,17.95,130543,17.95
25,17.33,18.03,17.33,18.03,61101,18.03
26,17.08,17.34,17.05,17.31,124534,17.31
27,17.05,17.17,17.0,17.06,236569,17.06
28,18.05,18.12,17.53,17.73,105716,17.73
29,17.86,18.07,17.78,18.02,90327,18.02
30,17.67,17.95,17.61,17.87,93579,17.87
31,17.7,17.7504,17.595,17.67,35923,17.67
32,17.55,17.72,17.51,17.6996,25267,17.6996
33,17.56,17.64,17.51,17.56,23055,17.56
34,17.42,17.63,17.41,17.56,81634,17.56
35,16.54,17.42,16.23,17.4,188742,17.4
36,16.49,16.6816,16.34,16.55,208065,16.55
37,16.87,16.88,16.48,16.49,76865,16.49
38,16.6501,17.0,16.3,16.87,247695,16.87
39,16.4475,16.79,16.42,16.678,36363,16.678
40,16.46,16.68,16.4,16.42,53905,16.42
41,16.65,16.73,16.41,16.45,140695,16.45
42,16.9525,17.01,16.82,17.01,57334,17.01
43,16.99,17.0,16.882,16.93,69531,16.93
44,16.97,17.01,16.92,16.98,91306,16.98
45,16.92,16.95,16.773,16.95,62344,16.95
46,16.92,17.0099,16.86,16.92,103902,16.92
47,16.89,16.92,16.74,16.9,24306,16.9
48,16.99,17.0,16.77,16.9,75433,16.9
49,16.9,17.3,16.9,17.05,108141,17.05
50,16.84,16.9099,16.75,16.9,58347,16.9
51,16.65,16.83,16.61,16.83,47871,16.83
52,16.57,16.7,16.54,16.68,41090,16.68
53,16.42,16.64,16.4,16.57,32576,16.57
54,16.41,16.42,16.24,16.4,51703,16.4
55,16.46,16.62,16.39,16.4,61352,16.4
56,16.26,16.82,16.24,16.54,63510,16.54
57,16.76,16.81,16.27,16.3,83072,16.3
58,16.77,16.8,16.6306,16.73,41770,16.73
59,16.78,16.85,16.71,16.78,45590,16.78
60,16.8,16.835,16.75,16.76,50997,16.76
61,16.79,16.92,16.76,16.77,70038,16.77
62,16.79,16.82,16.75,16.79,100307,16.79
63,16.4,16.6,16.1505,16.26,92692,16.26
64,16.22,16.444,16.22,16.38,76971,16.38
65,16.04,16.21,16.04,16.21,67151,16.21
66,15.75,16.05,15.7,16.05,100066,16.05
67,15.8,15.98,15.73,15.73,97787,15.73
68,15.76,15.785,15.62,15.785,63221,15.785
69,15.88,15.93,15.69,15.76,141613,15.76
70,16.016,16.48,15.92,16.35,163598,16.35
71,16.065,16.16,16.0,16.055,76223,16.055
72,16.05,16.12,16.0,16.07,32674,16.07
73,16.01,16.05,15.95,16.05,41380,16.05
74,15.98,16.08,15.9401,16.0,38605,16.0
75,15.87,15.99,15.83,15.98,35258,15.98
76,16.02,16.115,15.85,15.86,109707,15.86
77,15.73,15.97,15.51,15.61,110475,15.61
78,15.13,15.74,15.12,15.73,181939,15.73
79,15.44,15.65,15.11,15.13,86031,15.13
80,15.4,15.48,15.25,15.47,27915,15.47
81,15.58,15.75,15.34,15.38,73379,15.38
82,15.57,15.6,15.33,15.58,74486,15.58
83,15.63,15.75,15.51,15.56,143955,15.56
84,15.62,15.96,15.5,15.77,56898,15.77
85,15.84,15.99,15.63,15.63,115243,15.63
86,15.9,15.97,15.81,15.84,79385,15.84
87,15.93,16.0,15.89,15.89,61403,15.89
88,15.92,16.0,15.91,15.95,28080,15.95
89,15.97,15.98,15.85,15.94,18779,15.94
90,15.84,15.95,15.83,15.93,41512,15.93
91,16.57,16.57,15.94,16.16,126848,16.16
92,16.4,16.644,16.37,16.62,25121,16.62
93,16.19,16.43,16.16,16.41,33984,16.41
94,16.28,16.28,16.15,16.16,13257,16.16
95,16.36,16.36,16.24,16.28,13739,16.28
96,16.33,16.39,16.31,16.35,17585,16.35
97,16.21,16.35,16.2,16.33,81406,16.33
98,16.31,16.37,16.13,16.2,32142,16.2
99,16.32,16.5,16.24,16.31,34386,16.31
100,16.3,16.35,16.27,16.3,16878,16.3
101,16.4,16.41,16.26,16.3,16417,16.3
102,16.3,16.4834,16.24,16.4,20720,16.4
103,16.33,16.34,16.3,16.3,7100,16.3
104,16.31,16.35,16.25,16.35,56016,16.35
105,15.95,16.22,15.9001,16.1,61214,16.1
106,15.71,16.0625,15.7,15.97,77264,15.97
107,15.69,15.77,15.68,15.72,42096,15.72
