Date,Close,High,Low,Open,Volume,Adj Close
2015-11-18 10:30:00,17.33,17.48,17.24,17.4,62498,17.33
2015-11-18 11:30:00,17.2225,17.39,17.2,17.36,38104,17.2225
2015-11-18 12:30:00,17.11,17.25,17.09,17.25,37319,17.11
2015-11-18 13:30:00,17.29,17.29,17.09,17.09,20653,17.29
2015-11-18 14:30:00,17.34,17.36,17.19,17.265,21640,17.34
2015-11-18 15:30:00,17.59,17.77,17.33,17.33,114998,17.59
2015-11-18 16:00:00,17.64,17.68,17.59,17.62,123852,17.64
2015-11-19 10:30:00,17.7988,18.17,17.26,17.75,612176,17.7988
2015-11-19 11:30:00,18.05,18.095,17.71,17.761,195490,18.05
2015-11-19 12:30:00,18.03,18.07,17.92,18.07,53608,18.03
2015-11-19 13:30:00,18.14,18.15,17.98,18.05,75238,18.14
2015-11-19 14:30:00,17.96,18.13,17.92,18.0823,39633,17.96
2015-11-19 15:30:00,18.06,18.06,17.95,17.99,44461,18.06
2015-11-19 16:00:00,18.0,18.1,18.0,18.04,68916,18.0
2015-11-20 10:30:00,17.99,18.15,17.83,17.87,241377,17.99
2015-11-20 11:30:00,17.9,17.99,17.78,17.99,105415,17.9
2015-11-20 12:30:00,17.9,17.98,17.82,17.888,52575,17.9
2015-11-20 13:30:00,17.87,18.0,17.85,17.92,115111,17.87
2015-11-20 14:30:00,17.8,17.89,17.8,17.85,41698,17.8
2015-11-20 15:30:00,17.86,17.87,17.781,17.82,42409,17.86
2015-11-20 16:00:00,17.84,17.86,17.82,17.83,53988,17.84
2015-11-23 10:30:00,17.64,17.82,17.36,17.82,159879,17.64
2015-11-23 11:30:00,17.86,17.86,17.53,17.53,49393,17.86
2015-11-23 12:30:00,17.88,17.96,17.8,17.8303,41254,17.88
2015-11-23 13:30:00,17.92,17.92,17.86,17.88,23804,17.92
2015-11-23 14:30:00,17.91,17.96,17.88,17.92,22718,17.91
2015-11-23 15:30:00,17.94,17.95,17.87,17.9,35248,17.94
2015-11-23 16:00:00,17.93,17.99,17.93,17.93,37711,17.93
