Date,Open,High,Low,Close,Volume,Adj Close
0,77.19,77.72,77.1,77.26,1434065,77.26
1,77.27,77.51,76.9223,77.42,1200077,77.42
2,77.42,77.57,77.09,77.23,841066,77.23
3,77.22,77.225,77.0,77.11,692748,77.11
4,77.12,77.54,77.07,77.5,793491,77.5
5,77.51,78.0,77.48,77.78,966869,77.78
6,77.77,78.14,77.64,78.11,2288394,78.11
7,76.64,77.25,76.59,77.12,1645528,77.12
8,77.128,77.52,76.655,76.85,2590799,76.85
9,76.85,77.54,76.84,77.14,1852891,77.14
10,77.14,77.64,77.06,77.49,1682886,77.49
11,77.49,77.6,76.96,77.0264,1409252,77.0264
12,77.03,77.5,76.86,76.92,1668744,76.92
13,76.91,77.58,76.875,77.49,3627406,77.49
14,76.06,77.35,75.9,77.12,2412815,77.12
15,77.12,77.7499,76.63,77.73,2966213,77.73
16,77.73,77.99,77.1,77.115,2265631,77.115
17,77.11,77.355,76.79,77.15,1312088,77.15
18,77.16,77.16,76.42,76.465,1776445,76.465
19,76.47,76.64,76.04,76.11,2107441,76.11
20,76.12,76.55,75.91,76.26,4511474,76.26
21,76.35,76.65,75.13,75.31,1647540,75.31
22,75.305,75.76,74.75,75.44,3324229,75.44
23,75.44,75.7901,75.0602,75.77,2092532,75.77
24,75.775,75.86,75.35,75.37,1149777,75.37
25,75.37,75.57,75.07,75.32,1493725,75.32
26,75.32,75.63,75.02,75.3,1626708,75.3
27,75.28,75.55,74.5,74.66,3622004,74.66
28,75.01,75.12,74.04,74.375,1506755,74.375
29,74.37,74.8,74.06,74.095,2178149,74.095
30,74.09,74.33,73.92,74.23,1956480,74.23
31,74.24,74.3199,73.16,73.17,2457186,73.17
32,73.17,73.28,72.56,73.0436,3476691,73.0436
33,73.045,73.473,72.91,73.223,2176022,73.223
34,73.2201,74.08,72.77,73.67,4164427,73.67
35,74.12,74.94,73.835,74.675,1945111,74.675
36,74.68,74.69,73.69,73.95,2839295,73.95
37,73.9435,74.22,73.1518,73.62,2606524,73.62
38,73.61,74.22,73.24,73.46,1667914,73.46
39,73.47,74.05,73.38,73.7453,1515514,73.7453
40,73.74,74.65,73.37,74.6,2216439,74.6
41,74.6058,75.42,74.4,75.24,4414058,75.24
42,75.85,77.06,75.38,76.5,2667533,76.5
43,76.49,76.7599,75.58,76.655,4211821,76.655
44,76.66,76.8,76.0,76.09,3048490,76.09
45,76.09,76.39,75.9,76.19,2157860,76.19
