Date,Open,High,Low,Close,Volume,Adj Close
0,29.97,29.98,29.92,29.92,105221,29.92
1,29.96,30.52,29.87,30.173,2188967,30.173
2,30.16,30.21,29.89,30.05,1039893,30.05
3,30.06,30.22,30.055,30.19,450140,30.19
4,30.19,30.19,29.89,29.95,608509,29.95
5,29.955,30.09,29.845,29.92,636577,29.92
6,29.92,29.93,29.75,29.7631,325516,29.7631
7,29.77,29.87,29.63,29.65,338798,29.65
8,29.65,29.77,29.62,29.66,440076,29.66
9,29.67,29.715,29.51,29.6,322888,29.6
10,29.6,29.65,29.5,29.51,231306,29.51
11,29.505,29.6,29.455,29.58,442509,29.58
12,29.575,29.71,29.535,29.7,329880,29.7
13,29.695,29.76,29.61,29.685,215427,29.685
14,29.68,29.71,29.62,29.69,273962,29.69
15,29.695,29.7,29.47,29.54,332169,29.54
16,29.55,29.64,29.51,29.52,255288,29.52
17,29.53,29.55,29.46,29.5,177826,29.5
18,29.5,29.59,29.49,29.55,250868,29.55
19,29.55,29.58,29.45,29.56,274499,29.56
20,29.565,29.62,29.44,29.44,339603,29.44
21,29.44,29.45,29.32,29.32,382745,29.32
22,29.325,29.48,29.325,29.425,377242,29.425
23,29.43,29.46,29.31,29.4,335989,29.4
24,29.4,29.49,29.39,29.485,269933,29.485
25,29.485,29.65,29.435,29.65,769148,29.65
26,29.65,29.765,29.63,29.75,2517168,29.75
27,29.96,30.1,29.95,30.02,173029,30.02
28,30.08,30.2,29.78,30.08,2615949,30.08
29,30.07,30.14,29.78,29.91,1311382,29.91
30,29.91,30.12,29.88,30.029,1313571,30.029
31,30.02,30.39,29.96,30.27,1044845,30.27
32,30.27,30.36,30.12,30.165,427727,30.165
33,30.17,30.265,30.04,30.04,396383,30.04
34,30.04,30.05,29.841,29.855,621680,29.855
35,29.85,29.91,29.805,29.89,484191,29.89
36,29.89,29.89,29.685,29.685,309110,29.685
37,29.69,29.92,29.66,29.855,280576,29.855
38,29.855,29.94,29.82,29.83,263901,29.83
39,29.835,29.93,29.83,29.89,227184,29.89
40,29.895,29.9,29.83,29.86,384725,29.86
41,29.86,29.91,29.82,29.86,243244,29.86
42,29.87,29.94,29.84,29.93,263239,29.93
43,29.935,30.02,29.89,29.94,238187,29.94
44,29.94,30.0,29.88,29.8899,412570,29.8899
45,29.89,29.93,29.75,29.815,267146,29.815
46,29.81,29.92,29.775,29.88,261951,29.88
47,29.88,29.94,29.83,29.905,247281,29.905
48,29.9,30.0,29.885,29.95,172662,29.95
49,29.955,30.0,29.85,29.96,381064,29.96
50,29.96,29.985,29.81,29.85,604472,29.85
51,29.85,29.94,29.755,29.89,653787,29.89
52,29.89,29.92,29.82,29.83,926613,29.83
53,29.84,29.91,29.75,29.78,7286999,29.78
54,29.76,29.84,29.73,29.75,57436,29.75
55,29.75,29.95,29.65,29.83,815001,29.83
56,29.825,29.84,29.62,29.815,1443342,29.815
57,29.81,30.12,29.8,29.99,1168492,29.99
58,29.9899,30.085,29.9,29.93,690942,29.93
59,29.92,30.06,29.9,30.05,626082,30.05
60,30.0499,30.07,29.87,29.91,384320,29.91
61,29.91,30.0,29.87,29.93,466139,29.93
62,29.93,29.94,29.84,29.94,447024,29.94
63,29.93,29.93,29.8,29.86,231342,29.86
64,29.86,29.95,29.85,29.95,175584,29.95
65,29.96,30.03,29.93,30.0299,357371,30.0299
66,30.03,30.075,29.98,30.045,253869,30.045
67,30.045,30.155,30.02,30.05,341727,30.05
68,30.05,30.06,29.94,29.98,148928,29.98
69,29.98,30.04,29.95,29.97,201387,29.97
70,29.98,30.19,29.98,30.13,156478,30.13
71,30.135,30.15,30.06,30.1,226345,30.1
72,30.1,30.19,30.09,30.12,102284,30.12
73,30.12,30.12,29.97,29.98,190042,29.98
74,29.97,30.04,29.88,29.88,179093,29.88
75,29.88,29.95,29.84,29.945,131967,29.945
76,29.94,29.97,29.865,29.87,122013,29.87
77,29.865,29.9089,29.815,29.9,188776,29.9
78,29.9035,29.94,29.845,29.88,236415,29.88
79,29.87,29.995,29.81,29.995,364400,29.995
80,29.99,30.005,29.92,29.98,888025,29.98
81,29.9,29.92,29.85,29.85,54289,29.85
82,29.85,30.25,29.85,30.16,548675,30.16
83,30.17,30.46,30.17,30.4,695917,30.4
84,30.4,30.47,30.17,30.18,567690,30.18
85,30.175,30.18,30.005,30.08,347318,30.08
86,30.1,30.34,30.02,30.33,504357,30.33
87,30.34,30.35,30.225,30.25,435235,30.25
88,30.255,30.385,30.21,30.21,229632,30.21
89,30.2,30.36,30.155,30.315,220350,30.315
90,30.32,30.45,30.305,30.45,278730,30.45
91,30.45,30.47,30.3,30.36,195107,30.36
92,30.355,30.44,30.315,30.435,252859,30.435
93,30.43,30.52,30.4,30.4101,208123,30.4101
94,30.42,30.47,30.37,30.44,203025,30.44
95,30.45,30.53,30.42,30.47,163874,30.47
96,30.46,30.48,30.38,30.4,175992,30.4
97,30.39,30.405,30.19,30.19,168999,30.19
98,30.19,30.2399,30.115,30.14,207763,30.14
99,30.1483,30.29,30.09,30.285,148328,30.285
100,30.28,30.41,29.9,29.99,419568,29.99
101,29.99,30.12,29.99,30.06,328366,30.06
102,30.06,30.11,29.95,30.06,721784,30.06
103,30.06,30.1599,29.93,29.95,450220,29.95
104,29.94,29.945,29.475,29.5,711870,29.5
105,29.5,29.63,29.445,29.53,703007,29.53
106,29.525,29.695,29.515,29.66,548377,29.66
107,29.66,29.78,29.6,29.69,2600619,29.69
108,30.59,30.59,30.58,30.59,111058,30.59
109,30.58,30.63,29.52,29.73,1550771,29.73
110,29.73,29.91,29.27,29.5,948517,29.5
111,29.49,29.525,29.07,29.1,653811,29.1
112,29.11,29.15,28.86,28.95,695325,28.95
113,28.95,29.35,28.88,29.31,780330,29.31
114,29.31,29.36,29.15,29.34,450756,29.34
115,29.33,29.435,29.2575,29.3,433666,29.3
116,29.31,29.43,29.185,29.19,527914,29.19
117,29.19,29.25,29.09,29.16,402153,29.16
118,29.16,29.33,29.11,29.15,402396,29.15
119,29.155,29.395,29.1525,29.365,314054,29.365
120,29.37,29.4399,29.245,29.41,283180,29.41
121,29.405,29.495,29.33,29.35,464072,29.35
122,29.35,29.43,29.1835,29.22,312839,29.22
123,29.22,29.355,29.145,29.35,308770,29.35
124,29.35,29.355,29.13,29.27,203714,29.27
125,29.26,29.36,29.24,29.2501,221768,29.2501
126,29.26,29.29,29.11,29.12,311171,29.12
127,29.11,29.235,29.07,29.08,549464,29.08
128,29.09,29.1,28.88,29.015,385562,29.015
129,29.02,29.04,28.87,28.89,360618,28.89
130,28.9,28.94,28.8,28.89,321180,28.89
131,28.89,28.945,28.79,28.86,649090,28.86
132,28.865,28.905,28.69,28.71,494719,28.71
