Date,Open,High,Low,Close,Volume,Adj Close
0,33.76,34.04,33.71,33.85,423317,33.85
1,33.63,33.84,33.63,33.76,1219873,33.76
2,33.67,33.725,33.56,33.63,636647,33.63
3,33.645,33.8,33.63,33.67,696701,33.67
4,33.648,33.7,33.62,33.65,491728,33.65
5,33.46,33.665,33.44,33.6442,601347,33.6442
6,33.37,33.5353,33.35,33.46,1482664,33.46
7,33.36,33.54,33.18,33.22,574124,33.22
8,33.43,33.49,33.25,33.36,1123689,33.36
9,33.55,33.63,33.42,33.43,857794,33.43
10,33.64,33.67,33.52,33.55,661416,33.55
11,33.62,33.685,33.57,33.635,790611,33.635
12,33.52,33.66,33.52,33.62,1017819,33.62
13,33.26,33.515,33.25,33.51,1887285,33.51
14,31.69,32.35,31.65,32.12,2035450,32.12
15,31.27,31.71,31.27,31.6999,3357542,31.6999
16,31.295,31.35,31.14,31.265,2160496,31.265
17,31.4,31.44,31.21,31.295,1614625,31.295
18,31.51,31.65,31.4,31.4,1575433,31.4
19,31.295,31.525,31.26,31.5,1768922,31.5
20,31.4,31.41,31.19,31.3,8801621,31.3
21,31.67,31.94,31.53,31.55,1377207,31.55
22,32.075,32.08,31.54,31.68,1592270,31.68
23,31.9925,32.15,31.82,32.075,1840305,32.075
24,32.06,32.06,31.845,31.9977,1744090,31.9977
25,32.1,32.1,31.955,32.06,977363,32.06
26,32.17,32.23,32.0015,32.097,1259811,32.097
27,32.2,32.325,32.12,32.175,4727698,32.175
28,32.14,32.3464,31.6,31.67,2376224,31.67
29,32.23,32.27,31.91,32.14,1097888,32.14
30,32.31,32.43,32.185,32.22,1805995,32.22
31,32.31,32.455,32.27,32.3101,1338077,32.3101
32,32.185,32.38,32.16,32.3,553221,32.3
33,32.06,32.36,32.045,32.17,1687750,32.17
34,32.16,32.19,31.98,32.055,5519699,32.055
35,30.72,31.19,30.25,30.97,2975441,30.97
36,30.96,31.08,30.57,30.72,2851331,30.72
37,30.63,31.14,30.615,30.97,1777365,30.97
38,30.71,30.797,30.595,30.635,1711770,30.635
39,30.3,30.72,30.28,30.7,931121,30.7
40,30.2,30.35,30.02,30.3,2175522,30.3
41,30.16,30.41,30.12,30.2,4953134,30.2
42,30.97,31.0,30.29,30.51,2284513,30.51
43,30.38,30.98,30.235,30.965,2253615,30.965
44,30.31,30.45,30.07,30.38,1154767,30.38
45,30.2,30.395,30.18,30.31,1213711,30.31
46,31.15,31.4,30.0,30.205,5923811,30.205
47,31.05,31.54,30.86,31.14,5727869,31.14
48,30.63,31.16,30.535,31.055,5614327,31.055
49,30.27,30.7501,30.2,30.65,1767233,30.65
50,30.27,30.595,30.15,30.27,1895499,30.27
51,30.455,30.6,30.105,30.26,1020834,30.26
52,30.23,30.47,30.18,30.455,1102661,30.455
53,29.88,30.26,29.77,30.23,1587378,30.23
54,30.16,30.29,29.83,29.88,1851691,29.88
55,30.17,30.27,29.74,30.16,4818178,30.16
56,30.76,30.97,30.46,30.58,1207803,30.58
57,30.37,30.87,30.3,30.76,1404714,30.76
58,30.52,30.54,30.21,30.37,945435,30.37
59,30.39,30.64,30.33,30.52,864844,30.52
60,30.41,30.59,30.32,30.4,893404,30.4
61,30.59,30.62,30.24,30.41,1357518,30.41
62,30.69,30.8,30.44,30.59,4288775,30.59
63,30.79,31.17,30.72,30.89,1209091,30.89
64,30.39,30.84,30.28,30.7911,1700531,30.7911
65,30.2,30.57,30.11,30.38,1652568,30.38
66,29.94,30.23,29.91,30.195,1658616,30.195
67,29.665,30.06,29.66,29.94,1399897,29.94
68,29.64,29.78,29.325,29.67,2584444,29.67
69,29.44,29.73,29.36,29.64,5272264,29.64
70,28.99,29.69,28.94,29.69,1552813,29.69
71,29.87,30.17,28.71,28.99,3349287,28.99
72,29.72,29.94,29.55,29.88,1320823,29.88
73,29.885,30.0637,29.6602,29.73,1443887,29.73
74,30.28,30.34,29.84,29.88,1157905,29.88
75,30.53,30.54,30.16,30.28,1589500,30.28
76,30.32,30.57,30.265,30.53,3638306,30.53
77,29.45,29.77,29.02,29.28,2110059,29.28
78,29.09,29.66,29.06,29.45,2189878,29.45
79,28.95,29.12,28.86,29.08,2201795,29.08
80,28.785,29.03,28.625,28.94,1441184,28.94
81,28.964,29.07,28.69,28.79,1355356,28.79
82,29.108,29.13,28.585,28.96,1597483,28.96
83,29.14,29.19,28.97,29.1,5023220,29.1
84,29.56,30.0,29.41,29.84,3695845,29.84
85,29.78,29.9,29.455,29.57,2697953,29.57
86,29.82,29.93,29.55,29.78,2356889,29.78
87,29.735,29.86,29.63,29.82,1306589,29.82
88,29.66,29.82,29.61,29.74,1427841,29.74
89,29.44,29.67,29.31,29.65,2134962,29.65
90,29.74,29.92,29.41,29.44,4766729,29.44
91,28.115,29.01,28.01,28.98,2517808,28.98
92,27.82,28.3,27.71,28.11,3346867,28.11
93,27.88,28.135,27.75,27.82,1832885,27.82
94,27.94,27.94,27.44,27.88,2073822,27.88
95,28.41,28.58,27.7599,27.95,2177427,27.95
96,28.51,28.61,28.1,28.42,2499306,28.42
97,28.78,29.11,28.4873,28.52,4997008,28.52
98,28.38,28.82,28.1899,28.75,2889133,28.75
99,29.13,29.39,28.36,28.38,2911100,28.38
100,29.42,29.48,29.03,29.14,1825468,29.14
101,29.67,29.68,29.414,29.414,1533211,29.414
102,29.43,29.795,29.305,29.66,1695123,29.66
103,29.5,29.54,29.08,29.43,1399732,29.43
104,29.31,29.56,29.28,29.51,2514914,29.51
105,30.05,30.52,29.87,29.97,3334081,29.97
106,29.7631,30.22,29.75,30.06,2020742,30.06
107,29.51,29.87,29.5,29.77,1333068,29.77
108,29.69,29.76,29.455,29.505,1261778,29.505
109,29.55,29.7,29.46,29.695,1016151,29.695
110,29.425,29.62,29.32,29.55,1374089,29.55
111,29.75,29.765,29.31,29.43,3892238,29.43
112,29.91,30.2,29.78,29.96,4100360,29.96
113,30.04,30.39,29.88,29.91,3182526,29.91
114,29.855,30.05,29.66,30.04,1695557,30.04
115,29.86,29.94,29.82,29.855,1119054,29.855
116,29.815,30.02,29.75,29.87,1181142,29.87
117,29.96,30.0,29.775,29.81,1062958,29.81
118,29.78,29.985,29.75,29.96,9471871,29.96
119,29.815,29.95,29.62,29.76,2315779,29.76
120,29.91,30.12,29.8,29.81,2869836,29.81
121,29.95,30.0,29.8,29.91,1320089,29.91
122,29.98,30.155,29.93,29.96,1101895,29.96
123,30.12,30.19,29.95,29.98,686494,29.98
124,29.87,30.12,29.84,30.12,623115,30.12
125,29.98,30.005,29.81,29.865,1677616,29.865
126,30.4,30.46,29.85,29.9,1298881,29.9
127,30.25,30.47,30.005,30.4,1854600,30.4
128,30.36,30.47,30.155,30.255,923819,30.255
129,30.47,30.53,30.315,30.355,827881,30.355
130,30.285,30.48,30.09,30.46,701082,30.46
131,29.95,30.41,29.9,30.28,1919938,30.28
132,29.69,29.945,29.445,29.94,4563873,29.94
133,29.5,30.63,29.27,30.59,2610346,30.59
134,29.34,29.525,28.86,29.49,2580222,29.49
135,29.15,29.435,29.09,29.33,1766129,29.33
136,29.22,29.495,29.1525,29.155,1374145,29.155
137,29.12,29.36,29.11,29.22,1045423,29.22
138,28.89,29.235,28.8,29.11,1616824,29.11
139,28.75,28.945,28.6,28.89,3480755,28.89
140,29.125,29.23,29.0101,29.1,1269397,29.1
141,29.08,29.27,29.03,29.125,2040187,29.125
142,28.635,29.19,28.51,29.08,3143130,29.08
143,28.84,28.92,28.57,28.64,1424277,28.64
144,28.95,28.96,28.73,28.84,2022507,28.84
145,29.22,29.425,28.89,28.95,2015279,28.95
146,29.51,29.51,29.2125,29.22,5789787,29.22
147,29.07,29.3897,28.791,29.27,1551311,29.27
148,29.24,29.32,28.91,29.07,1982851,29.07
149,29.11,29.405,29.08,29.25,1772202,29.25
150,29.07,29.23,29.015,29.11,939953,29.11
151,29.19,29.2,28.95,29.07,1250160,29.07
152,29.69,29.7,29.17,29.19,1470596,29.19
153,29.57,29.785,29.55,29.69,2350582,29.69
154,28.98,29.4,28.9,29.32,2109635,29.32
155,28.75,29.06,28.73,28.98,3380337,28.98
156,28.56,28.93,28.56,28.75,1813561,28.75
157,28.56,28.63,28.41,28.56,1777422,28.56
158,28.415,28.57,28.37,28.56,1683059,28.56
159,28.155,28.51,28.15,28.415,1534239,28.415
160,29.078,30.23,28.13,28.16,20044336,28.16
161,27.59,28.61,27.53,28.446,8343106,28.446
162,27.21,27.65,26.57,27.59,11875265,27.59
163,27.38,27.5,26.74,27.22,6498495,27.22
164,27.215,27.4699,26.92,27.38,3661214,27.38
165,27.04,27.34,26.91,27.21,4252964,27.21
166,27.78,27.82,27.04,27.04,6342609,27.04
167,27.69,27.93,27.42,27.78,10247867,27.78
168,28.07,28.27,27.71,27.91,2688490,27.91
169,28.73,28.9,27.9,28.06,4458575,28.06
