Date,Open,High,Low,Close,Volume,Adj Close
0,72.83,73.2,72.69,72.81,414926,72.81
1,72.84,72.9,71.36,71.73,650503,71.73
2,71.73,72.0,71.31,71.77,471572,71.77
3,71.77,71.89,71.56,71.83,203444,71.83
4,71.835,72.0572,71.51,71.9,260626,71.9
5,71.908,72.52,71.86,72.23,462828,72.23
6,72.23,72.25,71.87,72.03,672103,72.03
7,71.21,71.98,71.2,71.56,410975,71.56
8,71.56,71.96,71.16,71.56,428686,71.56
9,71.55,71.91,71.38,71.5,302765,71.5
10,71.52,71.585,71.08,71.14,283815,71.14
11,71.13,71.3298,70.82,71.19,251333,71.19
12,71.195,71.385,70.96,71.05,336978,71.05
13,71.05,71.64,71.035,71.529,686906,71.529
14,69.81,69.81,68.84,69.43,657771,69.43
15,69.43,70.11,69.14,70.04,1430761,70.04
16,70.04,70.42,69.97,70.065,833446,70.065
17,70.06,70.35,69.99,70.015,499193,70.015
18,70.01,70.16,69.67,70.01,862673,70.01
19,70.0,70.1099,69.51,69.5125,1209726,69.5125
20,69.51,69.57,68.675,69.09,1422835,69.09
21,69.24,69.77,68.52,68.87,538375,68.87
22,68.88,69.05,68.43,68.91,687674,68.91
23,68.905,68.95,68.01,68.9,604521,68.9
24,68.92,69.3,68.84,69.02,274277,69.02
25,69.0299,69.13,68.76,68.88,252797,68.88
26,68.88,68.92,68.28,68.3,312826,68.3
27,68.3,68.53,67.97,68.12,975723,68.12
28,68.51,68.8,68.18,68.68,335380,68.68
29,68.68,68.94,68.32,68.35,498709,68.35
30,68.34,68.62,68.08,68.46,396411,68.46
31,68.46,68.47,68.11,68.17,243645,68.17
32,68.175,68.2133,67.53,67.58,354602,67.58
33,67.57,67.92,67.47,67.5004,569584,67.5004
34,67.5,68.3299,67.26,67.99,1154762,67.99
35,68.57,69.58,68.46,69.49,278821,69.49
36,69.48,69.58,69.06,69.31,441463,69.31
37,69.31,69.45,69.0,69.18,403131,69.18
38,69.16,69.33,68.75,68.94,216555,68.94
39,68.95,69.28,68.95,69.09,246766,69.09
40,69.09,69.6,68.92,69.52,264411,69.52
41,69.52,69.79,69.33,69.58,794331,69.58
42,70.51,70.51,69.71,70.03,424541,70.03
