Date,Open,High,Low,Close,Volume,Adj Close
0,56.19,56.19,56.19,56.19,7265,56.19
1,56.395,56.85,56.01,56.07,16780,56.07
2,56.11,56.55,56.11,56.37,20184,56.37
3,56.09,56.33,55.99,56.11,26250,56.11
4,56.49,56.51,56.06,56.1068,15974,56.1068
5,56.28,56.695,56.27,56.45,6919,56.45
6,56.1,56.32,56.08,56.24,11079,56.24
7,56.33,56.38,56.1,56.17,9452,56.17
8,56.32,56.43,56.27,56.31,4466,56.31
9,56.5,56.63,56.39,56.39,11314,56.39
10,56.57,56.64,56.42,56.54,5300,56.54
11,56.49,56.58,56.44,56.54,9922,56.54
12,56.29,56.5,56.15,56.5,8000,56.5
13,55.94,56.26,55.94,56.23,8772,56.23
14,56.131,56.17,55.95,55.95,14004,55.95
15,56.15,56.28,56.04,56.13,8967,56.13
16,56.07,56.16,56.01,56.13,14440,56.13
17,56.1,56.12,56.01,56.07,7643,56.07
18,56.23,56.26,55.99,56.09,6100,56.09
19,56.22,56.32,56.17,56.21,2985,56.21
20,55.92,56.18,55.86,56.13,6945,56.13
21,56.16,56.2,55.82,55.9,11732,55.9
22,56.39,56.41,56.07,56.21,5730,56.21
23,56.53,56.71,56.41,56.46,20357,56.46
24,56.49,56.59,56.33,56.58,5950,56.58
25,56.58,56.65,56.37,56.48,16965,56.48
26,56.64,56.69,56.5101,56.57,58891,56.57
27,57.2,57.6,57.17,57.17,14746,57.17
28,58.5,59.22,57.21,57.21,151912,57.21
29,57.86,58.84,57.69,58.5,75398,58.5
30,58.18,58.49,57.71,57.85,65738,57.85
31,58.33,58.49,58.075,58.19,72844,58.19
32,58.33,58.5,58.3,58.3,45431,58.3
33,57.81,58.35,57.8,58.35,24452,58.35
34,57.89,58.01,57.78,57.81,12625,57.81
35,57.53,57.92,57.53,57.909,16600,57.909
36,57.59,57.67,57.33,57.58,15500,57.58
37,57.77,57.81,57.52,57.52,21137,57.52
38,57.52,57.832,57.48,57.832,9642,57.832
39,57.31,57.51,57.17,57.51,9163,57.51
40,57.37,57.43,57.23,57.3334,11104,57.3334
41,57.155,57.39,57.1,57.365,13679,57.365
42,57.3,57.34,57.17,57.177,6886,57.177
43,57.48,57.61,57.29,57.32,12070,57.32
44,57.42,57.59,57.42,57.53,11100,57.53
45,57.2411,57.41,57.23,57.38,5000,57.38
46,56.86,57.294,56.86,57.294,9452,57.294
47,56.92,57.01,56.68,56.86,14794,56.86
48,56.85,57.04,56.85,56.98,10800,56.98
49,57.18,57.22,56.72,56.85,21509,56.85
