Date,Open,High,Low,Close,Volume,Adj Close
0,62.895,63.0,62.59,62.59,23813,62.59
1,62.995,63.07,62.75,62.9,26200,62.9
2,63.0,63.06,62.97,63.0,32736,63.0
3,63.02,63.03,62.99,62.9911,11932,62.9911
4,63.25,63.36,62.99,63.07,29667,63.07
5,62.9532,63.29,62.89,63.29,13011,63.29
6,62.93,63.03,62.8275,62.93,36481,62.93
7,62.87,63.11,62.79,63.0,11391,63.0
8,62.8201,63.1,62.74,62.84,34136,62.84
9,62.85,62.9,62.74,62.82,9878,62.82
10,62.79,62.85,62.7,62.85,9678,62.85
11,62.707,62.8001,62.66,62.79,7139,62.79
12,62.7301,62.84,62.66,62.7268,10245,62.7268
13,62.47,62.74,62.4,62.74,65326,62.74
14,61.048,61.22,60.55,60.83,294770,60.83
15,61.05,61.13,60.81,61.03,167359,61.03
16,61.0,61.06,60.8,61.03,98054,61.03
17,60.9872,61.1,60.9,60.97,48923,60.97
18,60.775,61.03,60.739,61.0,63975,61.0
19,60.67,60.87,60.53,60.77,80135,60.77
20,60.7,60.88,60.6,60.74,93984,60.74
21,62.17,62.29,60.76,60.9,204431,60.9
22,61.54,62.68,61.37,62.03,88736,62.03
23,61.58,62.08,61.415,61.52,57580,61.52
24,61.49,61.63,61.44,61.57,38644,61.57
25,61.52,61.55,61.45,61.507,35951,61.507
26,61.51,61.59,61.39,61.5,47143,61.5
27,61.58,61.64,61.42,61.51,94534,61.51
28,62.44,62.53,60.92,60.92,73010,60.92
29,62.54,62.79,61.99,62.35,98871,62.35
30,62.1719,62.68,62.01,62.68,49442,62.68
31,62.11,62.32,62.047,62.13,31253,62.13
32,62.0,62.29,61.97,62.1,40588,62.1
33,62.0,62.285,61.915,62.0,33067,62.0
34,62.15,62.22,61.98,62.0,57717,62.0
35,60.87,61.5,60.5,60.5,115139,60.5
36,61.05,61.1,60.57,60.86,121246,60.86
37,60.48,61.06,60.205,61.06,119058,61.06
38,60.58,60.63,60.2463,60.48,101652,60.48
39,59.94,60.58,59.91,60.58,83125,60.58
40,59.64,60.02,59.56,59.85,74904,59.85
41,59.5,59.82,59.5,59.64,203433,59.64
42,60.47,60.89,60.1,60.4,128151,60.4
43,60.26,60.44,59.85,60.4175,87850,60.4175
44,60.04,60.38,59.84,60.18,99906,60.18
45,59.84,60.05,59.75,60.04,104656,60.04
46,59.92,60.05,59.63,59.86,46140,59.86
47,59.75,60.21,59.71,59.91,27653,59.91
48,59.41,59.85,59.03,59.755,223204,59.755
49,57.98,59.0,57.76,58.82,305887,58.82
50,58.27,58.45,57.65,57.91,135346,57.91
