Date,Close,High,Low,Open,Volume,Adj Close
2015-12-17 10:30:00,62.91,63.18,62.15,63.05,85472,62.91
2015-12-17 11:30:00,63.49,63.49,62.64,62.96,52404,63.49
2015-12-17 12:30:00,63.82,63.92,63.5172,63.53,38111,63.82
2015-12-17 13:30:00,63.99,63.99,63.793,63.88,18213,63.99
2015-12-17 14:30:00,63.9,64.0,63.71,63.94,32044,63.9
2015-12-17 15:30:00,63.89,63.99,63.82,63.97,23776,63.89
2015-12-17 16:00:00,63.9,63.98,63.7805,63.85,34629,63.9
2015-12-18 10:30:00,64.48,64.5095,63.86,63.86,295474,64.48
2015-12-18 11:30:00,65.08,65.4001,64.4,64.5,404305,65.08
2015-12-18 12:30:00,64.69,65.43,64.51,65.2,77707,64.69
2015-12-18 13:30:00,64.68,64.95,64.52,64.68,38671,64.68
2015-12-18 14:30:00,64.78,64.805,64.59,64.62,63893,64.78
2015-12-18 15:30:00,64.61,64.866,64.57,64.775,39751,64.61
2015-12-18 16:00:00,64.87,64.97,64.55,64.6,33668,64.87
2015-12-21 10:30:00,65.33,65.48,64.742,64.742,212622,65.33
2015-12-21 11:30:00,65.05,65.4,64.8,65.35,106906,65.05
2015-12-21 12:30:00,65.21,65.22,64.86,65.02,40803,65.21
2015-12-21 13:30:00,65.22,65.455,65.07,65.28,54981,65.22
2015-12-21 14:30:00,64.88,65.24,64.85,65.2,51832,64.88
2015-12-21 15:30:00,65.02,65.25,64.75,64.94,43280,65.02
2015-12-21 16:00:00,65.18,65.2397,65.04,65.08,51743,65.18
2015-12-22 10:30:00,64.97,65.28,64.85,65.03,179523,64.97
2015-12-22 11:30:00,64.64,64.87,64.2901,64.85,102688,64.64
2015-12-22 12:30:00,64.57,64.71,64.5,64.64,17602,64.57
2015-12-22 13:30:00,64.595,64.79,64.53,64.54,14607,64.595
2015-12-22 14:30:00,64.69,64.76,64.57,64.63,22382,64.69
2015-12-22 15:30:00,64.67,64.74,64.59,64.7,30376,64.67
2015-12-22 16:00:00,64.93,64.93,64.63,64.65,30720,64.93
2015-12-23 10:30:00,63.8199,64.735,63.6,64.69,126772,63.8199
2015-12-23 11:30:00,63.91,63.945,63.71,63.85,64354,63.91
2015-12-23 12:30:00,63.77,63.8,63.6,63.8,73481,63.77
2015-12-23 13:30:00,63.7,63.9,63.7,63.77,42067,63.7
2015-12-23 14:30:00,63.75,63.798,63.57,63.798,56317,63.75
2015-12-23 15:30:00,63.78,63.9,63.69,63.74,52899,63.78
2015-12-23 16:00:00,64.0,64.01,63.82,63.825,40220,64.0
2015-12-24 10:30:00,64.31,64.3945,64.0,64.0,35834,64.31
2015-12-24 11:30:00,63.91,64.25,63.84,64.25,83759,63.91
2015-12-24 12:30:00,64.02,64.12,63.92,64.0,35845,64.02
2015-12-24 13:30:00,63.99,64.02,63.95,64.02,12558,63.99
2015-12-28 10:30:00,63.12,64.3,63.09,63.5301,134389,63.12
2015-12-28 11:30:00,62.87,63.12,62.66,63.02,37786,62.87
2015-12-28 12:30:00,63.0,63.08,62.74,62.89,18678,63.0
2015-12-28 13:30:00,62.9835,63.0,62.86,63.0,25167,62.9835
2015-12-28 14:30:00,63.0,63.02,62.9201,62.94,17902,63.0
2015-12-28 15:30:00,63.03,63.14,62.96,63.0001,24689,63.03
2015-12-28 16:00:00,63.08,63.15,62.93,63.01,23636,63.08
2015-12-29 10:30:00,63.085,63.26,62.88,63.2,31194,63.085
2015-12-29 11:30:00,62.98,63.12,62.97,63.11,49461,62.98
2015-12-29 12:30:00,63.01,63.18,62.71,62.995,33764,63.01
2015-12-29 13:30:00,63.08,63.3,62.98,63.02,24234,63.08
2015-12-29 14:30:00,63.13,63.24,63.04,63.08,7471,63.13
2015-12-29 15:30:00,63.09,63.16,63.03,63.09,8577,63.09
2015-12-29 16:00:00,63.05,63.13,63.01,63.04,18154,63.05
2015-12-30 10:30:00,63.03,63.03,62.59,62.59,40053,63.03
2015-12-30 11:30:00,63.0,63.0584,62.98,63.0,37321,63.0
2015-12-30 12:30:00,63.0,63.05,63.0,63.0,10775,63.0
2015-12-30 13:30:00,63.01,63.07,62.99,63.03,11778,63.01
2015-12-30 14:30:00,63.11,63.36,63.0,63.02,30832,63.11
2015-12-30 15:30:00,62.96,63.08,62.93,63.08,13466,62.96
2015-12-30 16:00:00,62.955,62.98,62.87,62.96,26487,62.955
2015-12-31 10:30:00,62.845,63.055,62.79,62.92,36727,62.845
2015-12-31 11:30:00,62.87,62.87,62.74,62.86,15832,62.87
2015-12-31 12:30:00,62.7101,62.9,62.7101,62.7942,7924,62.7101
2015-12-31 13:30:00,62.79,62.85,62.6709,62.71,8752,62.79
2015-12-31 14:30:00,62.6701,62.78,62.66,62.78,7189,62.6701
2015-12-31 15:30:00,62.4899,62.84,62.4201,62.69,22278,62.4899
2015-12-31 16:00:00,62.5,62.5,62.42,62.46,41318,62.5
2016-01-04 10:30:00,60.89,61.1482,60.55,60.55,368618,60.89
2016-01-04 11:30:00,60.91,61.06,60.81,60.94,139812,60.91
2016-01-04 12:30:00,61.04,61.04,60.87,60.9,79913,61.04
2016-01-04 13:30:00,60.88,61.03,60.81,60.94,59941,60.88
2016-01-04 14:30:00,60.81,60.9,60.62,60.89,79336,60.81
2016-01-04 15:30:00,60.79,60.805,60.57,60.71,41478,60.79
2016-01-04 16:00:00,60.7,60.85,60.6701,60.8,45148,60.7
2016-01-05 10:30:00,61.98,62.52,60.77,60.87,272249,61.98
2016-01-05 11:30:00,61.5,62.0,61.38,62.0,43793,61.5
2016-01-05 12:30:00,61.53,62.02,61.44,61.53,54970,61.53
2016-01-05 13:30:00,61.48,61.56,61.45,61.535,34511,61.48
2016-01-05 14:30:00,61.43,61.57,61.39,61.47,39439,61.43
2016-01-05 15:30:00,61.49,61.55,61.42,61.43,52387,61.49
2016-01-05 16:00:00,61.5,61.6,61.45,61.49,51726,61.5
2016-01-06 10:30:00,62.5701,62.75,61.25,61.28,128053,62.5701
2016-01-06 11:30:00,62.275,62.67,62.02,62.62,79987,62.275
2016-01-06 12:30:00,62.18,62.56,62.09,62.3,29957,62.18
2016-01-06 13:30:00,62.05,62.29,62.047,62.21,29130,62.05
2016-01-06 14:30:00,62.02,62.17,62.0,62.03,41737,62.02
2016-01-06 15:30:00,62.12,62.12,62.0,62.0,40565,62.12
2016-01-06 16:00:00,62.1,62.22,62.01,62.22,18299,62.1
2016-01-07 10:30:00,60.77,61.5,60.58,60.99,174959,60.77
2016-01-07 11:30:00,60.635,61.06,60.43,60.85,125574,60.635
2016-01-07 12:30:00,60.58,60.665,60.205,60.58,118137,60.58
2016-01-07 13:30:00,60.23,60.63,60.1826,60.63,80865,60.23
2016-01-07 14:30:00,59.73,60.11,59.73,60.11,79722,59.73
2016-01-07 15:30:00,59.59,59.87,59.51,59.67,110527,59.59
2016-01-07 16:00:00,59.5,59.6605,59.5,59.64,79529,59.5
2016-01-08 10:30:00,60.3,60.75,59.91,60.745,180664,60.3
2016-01-08 11:30:00,60.25,60.36,60.03,60.2601,80799,60.25
2016-01-08 12:30:00,60.0,60.3,59.84,60.26,101892,60.0
2016-01-08 13:30:00,59.69,60.03,59.64,59.94,93674,59.69
2016-01-08 14:30:00,60.03,60.05,59.77,59.77,22800,60.03
2016-01-08 15:30:00,59.66,60.14,59.64,60.0,44414,59.66
2016-01-08 16:00:00,59.34,59.65,59.095,59.65,53231,59.34
2016-01-11 10:30:00,58.35,58.52,57.66,57.91,395352,58.35
2016-01-11 11:30:00,58.35,58.48,58.215,58.29,74648,58.35
2016-01-11 12:30:00,58.1,58.475,57.94,58.3,98487,58.1
2016-01-11 13:30:00,57.67,58.05,57.53,57.96,64682,57.67
2016-01-11 14:30:00,57.38,57.64,57.25,57.62,95234,57.38
2016-01-11 15:30:00,57.585,57.8625,57.32,57.44,91376,57.585
2016-01-11 16:00:00,57.5,57.72,57.5,57.6,75551,57.5
2016-01-12 10:30:00,57.32,57.9,57.31,57.8,156005,57.32
2016-01-12 11:30:00,56.84,57.287,56.7015,57.21,139147,56.84
2016-01-12 12:30:00,55.94,56.8841,55.9,56.87,121996,55.94
2016-01-12 13:30:00,55.64,56.3,55.36,55.95,85834,55.64
2016-01-12 14:30:00,55.6,56.08,55.42,55.64,70084,55.6
2016-01-12 15:30:00,55.94,56.03,55.52,55.56,73410,55.94
2016-01-12 16:00:00,56.49,56.49,55.95,55.97,74794,56.49
2016-01-13 10:30:00,57.16,57.53,56.76,56.79,96222,57.16
2016-01-13 11:30:00,57.38,57.45,56.98,57.16,61053,57.38
2016-01-13 12:30:00,57.27,57.605,57.03,57.57,54643,57.27
2016-01-13 13:30:00,56.92,57.23,56.92,57.18,34289,56.92
2016-01-13 14:30:00,56.51,56.98,56.37,56.98,48348,56.51
