symbol,rank,name,sector,industry,pid
VRNG,0,Vringo Inc.,Consumer Services,Telecommunications Equipment,0
SPP,0,Sanchez Production Partners LLC,Energy,Oil & Gas Production,0
SPR,1,Spirit Aerosystems Holdings Inc.,Capital Goods,Military/Government/Technical,0
SPU,0,SkyPeople Fruit Juice Inc.,Consumer Non-Durables,Packaged Foods,0
SPW,4,SPX Corporation,Technology,Industrial Machinery/Components,0
SPH,3,Suburban Propane Partners L.P.,Consumer Services,Other Specialty Stores,0
SPN,5,Superior Energy Services Inc.,Energy,Oilfield Services/Equipment,0
BSDM,0,BSD Medical Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0
SPA,3,Sparton Corporation,Technology,Electrical Products,0
SPB,3,Spectrum Brands Holdings Inc.,Miscellaneous,Industrial Machinery/Components,0
SPE,0,Special Opportunities Fund Inc.,n/a,n/a,0
SPF,3,Standard Pacific Corp,Capital Goods,Homebuilding,0
SPG,3,Simon Property Group Inc.,Consumer Services,Real Estate Investment Trusts,0
XPO,2,XPO Logistics Inc.,Consumer Services,Transportation Services,0
XPL,3,Solitario Exploration & Royalty Corp,Basic Industries,Precious Metals,0
JNS,2,Janus Capital Group Inc,Finance,Investment Managers,0
REMY,3,Remy International Inc.,Capital Goods,Auto Parts:O.E.M.,0
MBSD,0,FlexShares Disciplined Duration MBS Index Fund,n/a,n/a,0
JNJ,3,Johnson & Johnson,Health Care,Major Pharmaceuticals,3
MBFIP,-1,MB Financial Inc.,Finance,Major Banks,0
BEN,4,Franklin Resources Inc.,Finance,Investment Managers,0
BEL,3,Belmond Ltd.,Consumer Services,Hotels/Resorts,0
BEE,3,Strategic Hotels & Resorts Inc,Consumer Services,Real Estate Investment Trusts,0
BEP,2,Brookfield Renewable Powerr Fund,Public Utilities,Electric Utilities: Central,0
GHDX,3,Genomic Health Inc.,Health Care,Medical Specialities,0
ENG,0,ENGlobal Corporation,Consumer Services,Military/Government/Technical,0
BIRT,3,Actuate Corporation,Technology,Computer Software: Prepackaged Software,0
GRT,0,Glimcher Realty Trust,Consumer Services,Real Estate Investment Trusts,0
TPRE,4,Third Point Reinsurance Ltd.,Finance,Property-Casualty Insurers,0
GRR,0,Asia Tigers Fund Inc. (The),n/a,n/a,0
GRX,-1,The Gabelli Healthcare & Wellness Trust,n/a,n/a,0
GRF,0,Eagle Capital Growth Fund Inc.,n/a,n/a,0
GRC,3,Gorman-Rupp Company (The),Capital Goods,Fluid Controls,0
GRA,4,W.R. Grace & Co.,Basic Industries,Major Chemicals,0
GRO,0,Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling,0
GRH,2,GreenHunter Resources Inc.,Basic Industries,Major Chemicals,0
NSLP,4,New Source Energy Partners L.P.,Energy,Oil & Gas Production,0
DYAX,2,Dyax Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,0
LPSN,2,LivePerson Inc.,Technology,Computer Software: Prepackaged Software,0
AVHI,3,A V Homes Inc.,Capital Goods,Homebuilding,0
NOG,4,Northern Oil and Gas Inc.,Energy,Oil & Gas Production,0
HLS,1,HealthSouth Corporation,Health Care,Hospital/Nursing Management,0
NOA,2,North American Energy Partners Inc.,Energy,Oilfield Services/Equipment,0
NOC,2,Northrop Grumman Corporation,Capital Goods,Industrial Machinery/Components,2
HLF,4,Herbalife LTD.,Health Care,Other Pharmaceuticals,0
NOV,5,National Oilwell Varco Inc.,Energy,Metal Fabrications,0
HVT/A,-1,Haverty Furniture Companies Inc.,Consumer Services,Other Specialty Stores,0
NOR,1,Noranda Aluminum Holding Corporation,Basic Industries,Aluminum,0
SYPR,0,Sypris Solutions Inc.,Capital Goods,Industrial Machinery/Components,0
MGPI,0,MGP Ingredients Inc.,Consumer Non-Durables,Beverages (Production/Distribution),0
IFAS,0,iShares FTSE EPRA/NAREIT Asia Index Fund,n/a,n/a,0
PHMD,3,PhotoMedex Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0
ENZ,3,Enzo Biochem Inc.,Health Care,Medical Specialities,0
PTNR,0,Partner Communications Company Ltd.,Public Utilities,Telecommunications Equipment,0
ARTW,0,Art&#39;s-Way Manufacturing Co. Inc.,Capital Goods,Industrial Machinery/Components,0
KTOS,3,Kratos Defense & Security Solutions Inc.,Capital Goods,Military/Government/Technical,0
ARTX,3,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,0
HYI,-1,Western Asset High Yield Defined Opportunity Fund Inc.,n/a,n/a,0
EVBS,3,Eastern Virginia Bankshares Inc.,Finance,Major Banks,0
BFAM,2,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services,0
EDF,-1,Stone Harbor Emerging Markets Income Fund,n/a,n/a,0
RLH,0,Red Lion Hotels Corporation,Consumer Services,Hotels/Resorts,0
EDD,0,Morgan Stanley Emerging Markets Domestic Debt Fund Inc.,n/a,n/a,0
EDE,2,Empire District Electric Company (The),Public Utilities,Electric Utilities: Central,0
RLD,2,RealD Inc,Technology,Radio And Television Broadcasting And Communications Equipment,0
EDI,0,Stone Harbor Emerging Markets Total Income Fund,n/a,n/a,0
LMT,3,Lockheed Martin Corporation,Capital Goods,Military/Government/Technical,2
EDR,4,Education Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts,0
EDS,0,Exceed Company Ltd.,Consumer Non-Durables,Shoe Manufacturing,0
PDII,3,PDI Inc.,Miscellaneous,Business Services,0
EDU,3,New Oriental Education & Technology Group Inc.,Consumer Services,Other Consumer Services,0
DPW,0,Digital Power Corporation,Capital Goods,Industrial Machinery/Components,0
ABAC,0,Aoxin Tianli Group Inc.,Consumer Non-Durables,Farming/Seeds/Milling,0
HDRAW,-1,Hydra Industries Acquisition Corp.,n/a,n/a,0
DPS,3,Dr Pepper Snapple Group Inc,Consumer Non-Durables,Beverages (Production/Distribution),0
VXUS,3,Vanguard Total International Stock ETF,n/a,n/a,0
DUKH,-1,Duke Energy Corporation,Public Utilities,Power Generation,0
DPZ,3,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors,0
DPG,-1,Duff & Phelps Global Utility Income Fund Inc.,n/a,n/a,0
DPD,-1,Dow 30 Premium,n/a,n/a,0
THGA,-1,The Hanover Insurance Group Inc.,Finance,Property-Casualty Insurers,0
DCUB,-1,Dominion Resources Inc.,Public Utilities,Electric Utilities: Central,0
DPO,-1,Dow 30 Premium,n/a,n/a,0
ABAX,3,ABAXIS Inc.,Capital Goods,Industrial Machinery/Components,0
COHU,2,Cohu Inc.,Capital Goods,Electrical Products,0
LF,4,Leapfrog Enterprises Inc,Consumer Non-Durables,Recreational Products/Toys,0
LG,3,Laclede Group Inc.,Public Utilities,Oil/Gas Transmission,0
LE,1,Lands&#39; End Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,0
LB,2,L Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,0
LC,3,LendingClub Corporation,n/a,n/a,0
LO,4,Lorillard Inc,Consumer Non-Durables,Farming/Seeds/Milling,0
LL,4,Lumber Liquidators Holdings Inc,Consumer Services,RETAIL: Building Materials,0
LM,3,Legg Mason Inc.,Finance,Investment Managers,0
LH,3,Laboratory Corporation of America Holdings,Health Care,Medical Specialities,0
LQ,2,La Quinta Holdings Inc.,Consumer Services,Hotels/Resorts,0
A,5,Agilent Technologies Inc.,Capital Goods,Electrical Products,2
