symbol,pricesale,marketcap,avgvol,px,peg
JNJ,3.86,281050000000.0,7859930.0,101.35,3.22
NOC,1.3,31010000000.0,1201180.0,160.0,2.43
A,2.03,14270000000.0,2075460.0,42.5,29.28
MRK,4.1,167760000000.0,11264200.0,59.38,3.98
BIIB,9.32,93780000000.0,1967630.0,398.68,1.42
VNTV,2.14,5850000000.0,1017820.0,40.46,1.29
CTXS,3.37,10520000000.0,1588590.0,65.61,1.64
JAZZ,8.94,11180000000.0,673886.0,183.06,1.02
LMT,1.34,60370000000.0,1238620.0,192.86,1.94
LITB,0.61,238800000.0,92480.0,4.99,-0.17
MA,11.11,105690000000.0,4600850.0,92.69,1.54
COST,0.55,63220000000.0,1990220.0,143.68,2.67
CIEN,1.1,2520000000.0,3045530.0,23.24,1.25
BAC,2.18,176150000000.0,76985104.0,16.75,1.47
RHT,8.08,14450000000.0,1317330.0,78.81,2.81
BMRN,25.34,20390000000.0,1546340.0,127.19,-2.36
DIS,3.69,187080000000.0,5851790.0,110.26,1.43
UTX,1.63,105600000000.0,3398290.0,118.62,1.89
AZN,3.44,87780000000.0,1202440.0,69.45,5.35
BMY,7.13,113850000000.0,6202300.0,68.3,2.35
MGM,1.21,11550000000.0,12825900.0,20.51,4.21
AXP,2.56,82530000000.0,6446010.0,81.25,1.72
MSFT,4.05,379400000000.0,37023400.0,46.9,2.63
ACN,1.96,60360000000.0,2480050.0,96.39,2.05
GILD,5.95,164170000000.0,10767600.0,111.71,0.77
VOYA,0.95,10540000000.0,2373720.0,46.04,1.04
XOM,1.09,361750000000.0,12434100.0,86.52,-4.14
UNH,0.85,113840000000.0,3893500.0,119.59,1.96
AAL,0.69,29520000000.0,13846400.0,42.61,0.19
AAP,1.16,11660000000.0,981786.0,160.2,1.47
MCD,3.56,94880000000.0,7053740.0,98.99,3.08
C,2.39,166780000000.0,17642200.0,54.97,0.39
PG,2.71,216900000000.0,7983680.0,79.95,3.01
PSX,0.34,43860000000.0,3019160.0,80.97,1.22
CSCO,3.12,149360000000.0,25907800.0,29.26,1.44
APEI,1.19,413920000.0,126142.0,24.03,1.26
FB,16.59,224220000000.0,25172700.0,80.54,1.48
ERIC,1.3,36310000000.0,4389220.0,11.19,1.48
BWP,3.52,4219999999.9999995,898753.0,16.85,2.7
MAR,7.81,22040000000.0,1888330.0,80.15,1.25
MAN,0.33,6740000000.0,703197.0,86.16,1.7
AMZN,2.19,199140000000.0,3046510.0,427.63,32.0
VMW,5.97,37180000000.0,1448900.0,87.72,1.24
MOS,1.88,17170000000.000002,4150720.0,47.03,0.0
CVX,1.14,197240000000.0,6829010.0,104.89,-7.73
CMG,4.58,19450000000.0,500036.0,626.44,1.69
PCL,4.51,7300000000.0,871116.0,41.59,0.0
CAR,0.68,5740000000.0,1743010.0,54.27,0.79
F,0.43,60700000000.0,25043800.0,15.27,0.56
MMM,3.26,102120000000.0,2250120.0,160.98,2.35
WFC,3.46,288360000000.0,14562700.0,56.0,1.39
EMC,2.12,52120000000.0,15763200.0,26.84,1.17
COP,1.71,80280000000.0,6760300.0,65.11,-205.52
PEP,2.16,142080000000.0,4497040.0,96.26,3.36
COH,2.43,10370000000.0,3872250.0,37.53,115.59
MNST,8.67,22020000000.0,1426330.0,129.41,2.03
TSN,0.43,17430000000.0,4126510.0,42.95,0.67
HUM,0.53,26810000000.0,1370630.0,179.0,1.75
IBM,1.89,169590000000.0,4172360.0,172.22,2.44
IBB,0.0,0.0,1890350.0,364.54,0.0
CAT,0.99,53500000000.0,5365920.0,88.63,1.62
NFLX,6.5,37700000000.0,2499980.0,621.87,18.18
FITB,2.93,16719999999.999998,7053900.0,20.51,2.12
KLAC,3.389,9450000000.0,1354590.0,59.115,2.16
N,12.71,7630000000.0,401700.0,98.3,12.51
KRFT,2.79,50310000000.0,6838890.0,85.0,7.9
MS,2.12,75200000000.0,9226860.0,38.17,0.82
DOW,1.06,59130000000.0,7574660.0,51.29,1.97
AA,0.65,15820000000.0,25137400.0,12.94,1.06
ARLP,1.0,2280000000.0,236508.0,30.68,-2.26
SBAC,9.24,14680000000.0,910119.0,113.4,-23.03
QCOM,4.15,113270000000.0,11683400.0,69.51,1.38
BA,1.1,100140000000.0,4017270.0,144.81,1.37
GSK,3.1,109300000000.0,3514460.0,45.26,0.0
NTES,10.37,19110000000.0,664811.0,146.2,0.94
LLY,4.04,79070000000.0,4107310.0,74.3,5.08
ORCL,4.98,191850000000.0,12772900.0,43.93,1.91
ABBV,5.12,104310000000.0,11498200.0,65.48,1.04
V,12.87,170180000000.0,8692850.0,69.62,1.49
PRU,0.63,38560000000.0,2420290.0,85.12,0.9
LPLA,0.93,4099999999.9999995,1185120.0,42.67,1.1
SNY,3.41,132660000000.0,1407690.0,50.73,2.82
DD,1.89,64080000000.0,5973140.0,70.79,2.13
CL,3.66,61960000000.0,2680110.0,68.5,2.97
TWTR,14.79,23440000000.0,20315500.0,36.6,1.56
VZ,1.59,202330000000.0,14783600.0,49.61,2.18
WMT,0.51,244730000000.0,6857400.0,75.86,3.65
ALLY,1.62,10860000000.0,3542020.0,22.63,0.69
INTC,2.85,158690000000.0,30908100.0,33.45,1.88
ALSN,2.65,5660000000.0,1480380.0,31.53,1.74
KITE,0.0,2250000000.0,1240750.0,52.85,0.0
RTN,1.45,32560000000.000004,1562570.0,106.7,1.9
TRMB,2.63,6290000000.0,1265070.0,24.25,1.4
FEYE,14.16,7050000000.0,5209620.0,45.07,-0.72
BIDU,8.36,71580000000.0,3261740.0,203.8,1.08
PXD,5.98,23120000000.0,1967420.0,154.87,-101.95
HCA,0.9,34030000000.0,3399560.0,82.13,1.24
BLK,5.53,61500000000.0,478205.0,368.08,1.49
FOXA,2.28,70470000000.0,13053200.0,34.25,1.31
VIPS,3.8,14710000000.0,7338700.0,25.43,0.6
BRCM,3.329,28240000000.0,6259380.0,47.255,1.18
SCTY,23.23,6060000000.0,2627080.0,62.59,0.12
SOHU,1.44,2560000000.0,508780.0,66.36,-1.65
