symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,172,265,,2.06,2.06,2.06,2.06,2.06,16,1.71,1.71,1.72,1.73,1.73
NOC,N,2,175,265,,2.25,2.25,2.25,2.25,2.31,12,2.33,2.33,2.34,2.34,2.33
A,N,3,72,265,,2.09,2.09,2.09,2.09,2.09,11,0.40,0.42,0.42,0.42,0.42
MRK,N,3,172,265,,2.08,2.08,2.08,2.08,2.08,13,0.79,0.79,0.79,0.80,0.80
BIIB,O,3,102,265,,1.79,1.75,1.47,1.69,1.53,17,4.08,4.08,4.12,4.11,4.09
VNTV,N,3,80,265,,1.76,1.76,1.69,1.66,1.66,19,0.51,0.51,0.51,0.51,0.51
CTXS,O,3,167,265,,2.39,2.33,2.39,2.25,2.25,24,0.62,0.62,0.64,0.66,0.67
JAZZ,O,4,92,265,,1.33,1.33,1.33,1.31,1.29,12,2.16,2.16,2.17,2.17,NA
LMT,N,2,175,265,,2.54,2.54,2.54,2.54,2.54,13,2.68,2.69,2.74,2.74,2.74
LITB,N,3,169,265,,3.00,3.00,3.00,3.00,3.00,2,-0.22,-0.22,-0.22,-0.22,-0.10
MA,N,3,80,265,,1.74,1.82,1.77,1.76,1.76,25,0.85,0.86,0.88,0.89,0.89
COST,O,3,114,265,,1.88,1.88,1.88,1.88,1.88,21,1.16,1.17,1.17,1.17,1.17
CIEN,N,1,1,265,,1.57,1.57,1.53,1.53,1.47,14,0.14,0.14,0.12,0.12,0.12
BAC,N,3,67,265,,1.94,1.94,1.94,2.11,2.16,18,0.36,0.36,0.36,0.36,0.36
RHT,N,3,167,265,,1.41,1.41,1.41,1.41,1.41,23,0.27,0.27,0.27,0.27,0.28
BMRN,O,3,102,265,,1.47,1.47,1.47,1.44,1.44,15,-0.53,-0.53,-0.55,-0.55,-0.56
DIS,N,2,43,265,,1.91,1.91,2.10,2.08,2.00,22,1.43,1.43,1.42,1.42,1.42
UTX,N,3,207,265,,1.57,1.57,1.57,1.57,1.43,15,1.75,1.75,1.80,1.80,1.82
AZN,N,3,172,265,,2.33,2.33,2.33,2.33,2.00,6,1.08,1.08,1.06,1.10,NA
BMY,N,3,172,265,,1.97,1.97,1.97,2.06,2.06,15,0.34,0.34,0.38,0.38,0.38
MGM,N,3,214,265,,1.25,1.25,1.31,1.31,1.31,12,0.11,0.11,0.15,0.15,0.18
AXP,N,3,158,265,,2.59,2.59,2.57,2.45,2.45,23,1.32,1.32,1.32,1.39,1.39
MSFT,O,3,167,265,,2.04,2.04,2.15,2.32,2.32,24,0.57,0.57,0.62,0.64,0.66
ACN,N,3,40,265,,2.06,2.06,2.06,2.06,2.06,17,1.21,1.21,1.21,1.24,1.25
GILD,O,1,102,265,,1.59,1.68,1.59,1.61,1.58,16,2.83,2.83,2.65,2.76,2.76
VOYA,N,3,92,265,,2.33,2.33,2.23,2.17,2.17,12,0.84,0.84,0.84,0.84,0.83
XOM,N,3,182,265,,2.79,2.79,2.81,2.81,2.81,13,0.86,0.84,0.79,0.82,0.82
UNH,N,2,22,265,,1.35,1.35,1.35,1.45,1.52,17,1.55,1.55,1.55,1.51,1.51
AAL,O,3,107,265,,1.54,1.54,1.54,1.42,1.45,13,2.96,2.96,3.18,3.11,3.24
AAP,N,3,26,265,,1.86,1.86,1.86,1.86,1.86,18,2.50,2.50,2.51,2.51,2.52
MCD,N,3,49,265,,2.45,2.45,2.45,2.50,2.45,22,1.24,1.24,1.27,1.29,1.31
C,N,2,67,265,,1.31,1.31,1.31,1.28,1.44,16,1.32,1.32,1.32,1.32,1.31
PG,N,3,60,265,,2.53,2.53,2.37,2.33,2.33,19,0.94,0.94,0.95,0.97,0.97
PSX,N,3,114,265,,1.69,1.69,1.69,1.69,1.69,13,1.81,1.78,1.84,1.89,1.85
CSCO,O,3,196,265,,1.69,1.69,1.64,1.69,1.72,26,0.51,0.51,0.51,0.51,0.51
APEI,O,3,105,265,,3.00,3.00,2.67,2.67,2.71,4,0.45,0.45,0.48,0.48,0.61
FB,O,2,112,265,,1.31,1.31,1.27,1.23,1.24,29,0.32,0.32,0.30,0.30,0.30
ERIC,O,4,107,265,,2.29,2.29,2.50,2.57,2.50,7,0.14,0.14,0.17,0.18,0.16
BWP,N,5,191,265,,2.25,2.25,2.25,2.22,2.22,8,0.19,0.19,0.20,0.20,0.20
MAR,O,2,33,265,,2.24,2.24,2.24,2.35,2.35,17,0.81,0.81,0.83,0.83,0.85
MAN,N,3,17,265,,1.46,1.46,1.46,1.46,1.50,13,1.26,1.26,1.27,1.26,1.27
AMZN,O,3,67,265,,1.98,1.91,1.84,2.02,1.91,29,-0.20,-0.19,-0.23,-0.23,-0.16
VMW,N,3,167,265,,1.89,1.89,1.89,1.93,2.08,28,0.66,0.66,0.67,0.67,0.68
MOS,N,3,182,265,,2.20,2.20,2.27,2.27,2.27,15,0.95,0.95,1.00,1.01,1.02
CVX,N,3,182,265,,2.29,2.29,2.14,2.14,2.29,14,0.91,0.92,0.80,0.83,0.90
CMG,N,3,49,265,,1.90,1.90,1.98,2.02,2.02,24,4.45,4.45,4.46,4.43,4.40
PCL,N,4,,,,,,,,,,0.09,0.09,0.19,0.19,0.17
CAR,O,3,195,265,,2.67,2.67,2.43,2.33,2.33,6,0.74,0.74,0.81,0.82,0.82
F,N,3,114,265,,2.40,2.40,2.40,2.40,2.40,15,0.38,0.38,0.41,0.41,0.43
MMM,N,3,207,265,,2.48,2.38,2.38,2.38,2.38,13,2.01,2.01,2.07,2.08,2.07
WFC,N,3,67,265,,2.23,2.23,2.19,2.19,2.30,22,1.04,1.04,1.04,1.04,1.04
EMC,N,3,196,265,,1.68,1.68,1.65,1.60,1.36,25,0.32,0.32,0.33,0.33,0.33
COP,N,3,114,265,,2.07,2.07,2.07,1.93,1.93,15,-0.03,-0.02,0.02,0.08,0.07
PEP,N,3,169,265,,1.34,1.34,1.34,1.39,1.37,16,1.24,1.24,1.32,1.33,1.33
COH,N,3,80,265,,2.62,2.62,2.68,2.68,2.61,23,0.29,0.29,0.30,0.29,0.30
