symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,61,265,,2.07,2.07,2.07,2.14,2.07,15,1.43,1.43,1.43,1.44,1.44
NOC,N,3,75,265,,2.15,2.15,2.25,2.42,2.42,13,2.03,2.04,2.44,2.46,2.47
A,N,2,173,265,,2.09,2.09,2.09,2.09,2.09,11,0.47,0.47,0.47,0.47,0.50
MRO,N,2,173,265,,1.87,1.87,1.81,1.81,1.56,15,-0.39,-0.40,-0.46,-0.41,-0.34
MRK,N,3,61,265,,2.00,2.00,2.00,2.00,2.00,14,0.90,0.90,0.90,0.91,0.91
BIIB,O,2,83,265,,1.80,1.80,1.85,1.85,1.93,22,4.09,4.08,4.00,4.05,4.01
VNTV,N,1,75,265,,1.93,1.93,1.84,1.80,1.74,22,0.60,0.60,0.58,0.58,0.58
SWKS,O,3,110,265,,1.19,1.19,1.19,1.29,1.25,16,1.49,1.49,1.46,1.46,1.45
CTXS,O,2,83,265,,2.06,2.06,2.10,2.10,2.10,22,0.99,0.99,0.97,0.97,0.97
GPRO,O,5,159,265,,2.13,2.13,1.87,1.77,1.71,15,0.30,0.30,0.67,0.72,0.80
JAZZ,O,3,47,265,,1.33,1.18,1.18,1.18,1.18,12,1.67,1.81,1.81,1.81,1.81
LMT,N,3,75,265,,2.38,2.38,2.29,2.23,2.23,13,2.91,2.93,2.99,2.96,2.96
LITB,N,1,12,265,,3.00,3.00,3.00,3.00,3.00,1,0.13,0.13,0.13,-0.08,-0.08
MA,N,3,75,265,,1.56,1.56,1.56,1.73,1.78,24,0.71,0.72,0.76,0.76,0.76
COST,O,3,169,265,,1.79,1.83,1.73,1.79,1.79,21,1.16,1.16,1.15,1.14,1.13
CIEN,N,3,192,265,,1.71,1.71,1.59,1.50,1.63,17,0.35,0.35,0.35,0.35,0.33
BAC,N,3,147,265,,1.72,1.72,1.72,1.68,1.94,18,0.35,0.35,0.36,0.37,0.37
RHT,N,2,83,265,,1.44,1.44,1.47,1.47,1.50,18,0.31,0.31,0.31,0.31,0.31
BMRN,O,3,83,265,,1.54,1.54,1.57,1.57,1.50,13,0.89,0.89,-0.77,-0.73,-0.73
DIS,N,3,173,265,,2.00,1.96,1.96,1.96,2.00,23,1.42,1.42,1.39,1.37,1.36
UTX,N,3,188,265,,1.91,1.91,1.85,1.72,1.59,16,1.49,1.49,1.56,1.51,1.52
AZN,N,3,61,265,,2.33,2.33,2.33,2.33,2.33,6,0.34,0.43,0.43,0.43,0.43
BMY,N,3,61,265,,1.81,1.81,1.75,1.75,1.89,13,0.26,0.26,0.22,0.22,0.22
MGM,N,3,104,265,,1.23,1.23,1.25,1.25,1.23,13,0.07,0.07,0.05,0.06,0.05
AXP,N,3,110,265,,2.63,2.63,2.50,2.63,2.64,20,1.14,1.14,1.26,1.26,1.26
MSFT,O,3,83,265,,1.86,1.86,1.95,2.04,2.04,21,0.69,0.69,0.72,0.72,0.72
ACN,N,3,156,265,,1.87,1.87,1.87,1.87,2.00,15,1.31,1.31,1.31,1.31,1.31
GILD,O,2,83,265,,1.73,1.73,1.73,1.59,1.47,15,2.88,2.88,2.98,2.98,2.98
VOYA,N,3,198,265,,2.23,2.33,2.29,2.23,2.33,15,0.79,0.79,0.82,0.84,0.85
XOM,N,3,99,265,,2.49,2.49,2.59,2.74,2.75,15,0.76,0.76,0.72,0.81,0.96
UNH,N,3,96,265,,1.19,1.19,1.29,1.29,1.29,18,1.56,1.56,1.60,1.60,1.60
AAL,O,3,48,265,,1.83,1.83,1.92,1.83,1.92,12,1.88,1.88,1.85,1.77,1.83
AAP,N,4,31,265,,1.79,1.79,1.79,1.79,1.72,17,1.46,1.53,1.53,1.54,1.54
MCD,N,2,69,265,,2.18,2.18,2.27,2.33,2.33,22,1.22,1.22,1.16,1.15,1.16
C,N,3,147,265,,1.50,1.50,1.38,1.50,1.50,16,1.20,1.20,1.21,1.20,1.20
CRM,N,3,83,265,,1.37,1.38,1.38,1.38,1.37,31,0.05,0.05,0.05,0.05,0.04
PG,N,3,110,265,,2.43,2.43,2.40,2.40,2.47,21,0.98,0.98,1.02,1.04,1.06
SBUX,O,2,69,265,,1.40,1.40,1.40,1.40,1.38,24,0.45,0.45,0.47,0.47,0.47
PSX,N,3,30,265,,1.64,1.64,1.75,1.69,1.54,11,1.48,1.33,1.18,1.29,1.35
CSCO,O,3,3,265,,1.85,1.85,1.85,1.92,1.88,26,0.50,0.50,0.50,0.50,0.50
APEI,O,3,38,265,,3.00,3.00,3.00,3.00,3.00,3,0.54,0.53,0.53,0.55,0.53
FB,O,2,69,265,,1.19,1.19,1.20,1.28,1.28,31,0.50,0.50,0.46,0.46,0.46
AGN,N,5,110,265,,1.36,1.36,1.34,1.34,1.34,14,3.24,3.24,4.54,4.60,4.64
ERIC,O,3,198,265,,2.38,2.38,2.38,2.57,2.00,8,0.24,0.24,0.25,0.24,0.24
BWP,N,1,89,265,,2.00,2.00,2.25,2.25,2.25,8,0.21,0.21,0.18,0.18,0.19
MAR,O,3,102,265,,2.27,2.27,2.27,2.40,2.44,15,0.77,0.77,0.80,0.80,0.80
MAN,N,3,16,265,,1.50,1.50,1.46,1.46,1.46,12,1.51,1.51,1.54,1.54,1.54
AMZN,O,2,105,265,,1.43,1.43,1.50,1.48,1.59,28,1.62,1.63,1.51,1.55,1.49
VMW,N,3,83,265,,2.43,2.43,1.88,1.84,1.96,28,0.99,0.99,0.96,0.96,0.96
MOS,N,5,245,265,,2.21,2.21,2.21,2.21,2.08,14,0.60,0.60,0.79,0.94,0.94
MON,N,5,256,265,,2.21,2.21,2.21,2.25,2.09,14,0.01,0.01,0.03,0.60,0.64
CVX,N,3,99,265,,2.07,2.07,2.20,2.20,2.40,15,0.64,0.63,0.52,0.65,0.93
CVS,N,3,204,265,,1.28,1.28,1.36,1.36,1.36,16,1.52,1.52,1.51,1.51,1.50
CMG,N,3,69,265,,1.98,1.98,1.90,1.85,1.85,26,4.35,4.35,4.39,4.39,4.38
PCL,N,3,110,265,,2.67,2.57,2.88,2.50,2.78,6,0.16,0.16,0.23,0.23,0.24
CAR,O,3,169,265,,2.43,2.43,2.14,2.14,2.14,7,0.24,0.24,0.33,0.33,0.33
F,N,3,110,265,,2.21,2.21,2.46,2.50,2.50,14,0.47,0.46,0.49,0.49,0.49
MMM,N,3,188,265,,2.44,2.44,2.44,2.44,2.44,12,1.71,1.72,1.88,1.88,1.87
CELG,O,3,83,265,,1.33,1.33,1.36,1.44,1.47,15,1.10,1.10,1.17,1.16,1.16
WFC,N,3,147,265,,1.85,1.85,1.90,2.00,2.15,20,1.03,1.03,1.04,1.05,1.05
EMC,N,4,159,265,,2.20,2.12,2.04,1.75,1.70,25,0.55,0.55,0.57,0.60,0.60
COP,N,3,173,265,,2.33,2.33,2.23,2.29,2.20,12,-0.14,-0.14,-0.16,-0.11,0.16
